A0A286YCV9	Q70AM4
Q2QI47	F1M2F9
P25799	F1LQH2
P54130	P36364
Q03958	Q6MGC4
Q8VDP3	D3ZBP4
P39876	Q4V8L0
Q66JW3	D4A1U5
P19973	Q4QQV6
O54804	Q01134
O35679	E9PU35
Q91VR7	Q6XVN8
Q8VHG2	A0A0G2JX94
Q62158	B5DFI5
Q8BUE4	D4AA14
Q9JM51	Q9JHF3
Q9JHQ5	Q562C6
Q8C708	Q5BK39
Q6P5B5	B1H2A6
Q6ZQ89	F1M1F1
F6XAI7	D3ZZK0
Q8CB76	M0R5T3
Q6NVG5	D4A9U9
P13346	D3ZLB7
Q9DD06	Q5BK77
Q8VEE4	Q7TP21
Q6NZL1	D4A1R0
Q8BJL1	Q5XI67
Q8VEJ3	D4ADQ6
Q7TMB8	D4A8H8
Q6P1I3	D3ZH50
Q80VJ8	D3ZPX3
P50516	D4A133
E9Q286	D3ZK16
Q8R1F9	Q5BK64
P09025	F1MAK7
Q5SSH7	D3ZG78
Q9JJR5	D3ZV70
O89013	Q9JLS8
Q8VI59	D3ZSQ1
Q64441	Q09128
Q9D051	P49432
P55086	Q63645
Q3V2D2	D3ZIS7
Q9JKV9	D4A2T8
P62715	P62716
E9Q4P1	A0A0G2K3L8
Q9R0A0	Q642G4
Q80WM7	D4AB49
Q5SDA5	P51842
Q9ER80	D4A238
P0C7N9	B2RZB8
Q8VCI1	B2RZ94
P34152	O35346
Q8C267	D3ZDZ9
Q9CQG3	Q7TSV3
Q9DB43	M0RCA3
Q9CQW1	Q5EGY4
Q9JMH7	Q99PW5
A2AG50	D4A4L4
Q62432	O70436
P39429	B5DFH7
Q5SUA5	A0A0G2K6E3
Q3U1Z5	Q6MG88
Q640R3	D3ZEI4
A0A0U1RNL9	A0A0G2KAJ3
Q60795	O54968
A0A087WSB9	F1LVJ1
D3YZV8	A0A0G2JTP3
Q8K1M6	O35303
Q8BMJ8	D3ZQL2
Q922G2	D3ZEU8
Q9D1C3	Q5U1Z8
P97370	Q63377
Q8BHB3	Q5FVQ5
P55097	O35186
E9Q774	D3ZS99
Q8R007	D3ZET1
P18293	P18910
Q9D416	Q6AXT3
Q9D6N5	A0JPP1
Q9CY58	Q6AXS5
P15920	Q3B7D3
Q6P5F9	Q80U96
P32300	P33533
Q9R1C7	D3ZJ92
P01193	Q8K422
Q91VN2	B0BNK2
Q3V1N5	F1M590
O35593	Q4V8E2
D3YZI9	D3ZSZ4
P52785	V9GZ79
Q9EQS9	F7EL93
Q9CQH0	Q923S2
O08850	A0A0G2JVF3
Q60631	P62994
Q8BQM8	F1LSA8
P11680	B0BNN4
Q7TPM6	B1H2A2
Q8K3J5	B1WC22
P39061	F1LR02
Q9R0K7	P11506
Q3UFB7	P35739
Q64131	A0A0G2K9V0
Q9D0L4	D3ZRJ0
P70371	Q5EB98
Q91VJ1	D4A9W0
Q8K249	D0V9T4
Q8R079	Q5PQN2
Q9Z1Q4	D3ZX79
Q5S006	F1LNJ1
P19221	G3V843
Q8BYA0	F1M1D5
Q9CQS6	Q29TV8
Q8K0U3	Q5HZE5
O08804	F7F6T5
Q8VE10	D3ZZQ5
Q9WUK2	Q5XI72
Q64237	G3V9S4
Q4PJX1	D3ZV63
Q6PI63	D3ZQI0
Q3UHG7	Q0PGW2
B2RQE8	F1M2Q1
Q8BG19	F1MAQ6
Q5H8A1	Q5H8A2
E9Q3H6	D3ZX74
O54965	Q66HG0
O09053	F1LTH9
Q62035	P46002
Q3ULW6	Q5XIR4
Q8C0M0	D3ZGZ9
F6W8I0	F1M695
Q9WV85	G3V816
A0A1L1SU27	D3ZQ60
O89084	F1M8I9
Q9D5J5	D3ZNP4
O88602	Q71RJ2
O54949	D3ZSZ3
Q80XB4	D4A4K6
Q9JJU9	P02524
Q9R1W3	F1LNY7
P63277	P63278
P39428	M0R5V5
O08992	Q9JI92
Q8R3P9	D3ZVR6
Q6P1C1	G3V7Z5
Q0VAV1	A0A0G2K3A4
Q8K003	D3ZZW2
Q9CPW4	Q4KLF8
Q91W63	Q6AY91
Q8BHN1	A0A0G2QC39
O35375	O35276
Q61532	P27704
E9QAF4	A0A0G2KB72
O35607	F1LQC5
Q6PR54	A0A0G2KB73
Q3TPJ7	D4AE48
P48316	Q66HL6
Q7TSN6	Q7TSN5
Q9JJG0	D3ZXK3
Q8R5A3	D3ZDZ1
O09198	Q64349
O09106	Q4QQW4
A7L9Z8	M0RAF9
Q99P72	Q9JK11
A2ABU4	D4A228
Q9JHU3	Q4KM34
Q9QZS2	O88846
Q02257	Q6P0K8
Q8CI52	D4A135
P61982	P61983
P80318	Q6P502
O35284	D4A7E1
O70572	Q9ET64
Q8K1A0	B0BNB3
P51942	Q5XI24
E9Q921	A0A0G2K0C8
Q9Z255	Q6AXR9
Q00286	P10037
Q9WVK5	A0A0G2K9S2
P28867	A0A140UHX0
Q8BPP1	D4ACZ1
Q3TTL0	Q66H33
Q9ERY9	D3ZBN4
Q9ERA0	A0A0G2JTJ9
O88819	Q99JB3
Q7TQ95	A0JN29
P35276	Q63942
B2KFW1	D3ZCC2
Q9EP52	D4A9T2
Q8C079	G3V8E2
Q8BNJ2	D4A0C5
Q9CS42	P09330
Q8VE11	A0A0G2JXT6
M9MMK0	D3ZHJ3
Q8VDG5	D4A6X7
G3X8X7	Q642A9
Q8BH07	Q68FV2
P30882	Q6PED1
F7DCP6	D3ZBN0
Q2M3X8	F1LNB2
Q6ZQJ5	A0A0H2UH92
Q64314	B1PLB1
Q14DH7	A0A0G2K047
P11247	A0A0G2K1A2
Q8VEK3	Q6IMY8
P49817	Q2IBC6
Q9Z0F8	G3V711
Q99K70	Q0D2L6
Q6P9Z1	Q5U3Y2
Q0VF58	D3ZCQ0
G3X9H5	G3V9P7
Q9QZN1	D3ZVD0
Q78YZ6	Q5RJZ6
P13634	B0BNN3
P35347	P35353
A2ATK9	D4A7Y4
Q6K1E7	Q5J2D6
E9Q0J2	A0A0G2K0K8
Q9Z1D8	A0A0G2K008
Q61035	Q4QQV4
E9Q7N9	E9PU24
Q8CJ69	F1M661
P70377	Q9ERW3
Q8VE19	D3Z9C0
E9PZ54	Q5EB94
Q9CR21	D3ZF13
O55222	Q99J82
Q8CG64	Q4KLJ4
P70196	B5DF45
G3UVW3	F1LRY2
Q04573	G3V7T1
P97858	A0A0H2UHC9
Q99JX7	F1MA52
P43120	F7F7Q9
Q60899	G3V6U4
Q8BN21	A0A0G2JVP1
Q32NY8	A0A0G2JYQ8
A2AF47	A0A0G2JV16
Q9D979	D4A8L7
Q9CQ35	M0R4P4
Q921Z5	A0A0G2K2P3
Q61062	D4ADV8
A2A891	Q3KQW8
P56203	Q561Q9
Q5SV41	P53809
Q6PIE5	P06686
Q8BPB5	Q6AXN2
E9QNX7	F1LRK1
Q9R059	D3ZPF0
Q7TMY8	A0A0G2JVW5
P97377	Q6P751
Q8BYR5	F1LWT1
P29121	D3ZKU8
Q78J03	Q4FZX5
Q6NXL5	A0A0G2K5N8
Q5FW53	Q5PQM4
P34968	A0A0G2JY06
Q9EQX0	Q9QYH7
P21855	Q5BK59
D3YXF5	A0A0G2K7X7
Q9D906	Q641Y5
P54728	Q4KMA2
Q5F2E8	F1M9G6
Q03366	Q9QXY8
Q6PHZ5	D3ZHD6
Q3TYH2	P35289
Q8C5Q4	A0A0G2JTY6
Q2VPA6	E9PT19
Q9CY73	Q4G067
Q8K3F7	D3ZN15
Q6QD59	Q8VHI8
Q91YE2	Q6AYU4
Q6NS82	Q3MHU5
O35226	O88321
Q9QXN5	A0A0H2UHH0
Q3V2J9	D3ZBW4
P43021	D3ZGK9
P53612	F1LSM6
Q60994	Q8K3R4
Q8CJ67	F1LN29
P61290	Q5FVM2
Q60677	M0R6T8
Q8CF89	A0A0U1RRU5
P23249	D3ZUC2
P98063	F1M798
Q9JL70	D3ZQL0
Q7TQD2	D3ZQL7
P97766	F1LV65
Q62388	D4ACL8
Q78YY6	D3ZCM4
Q6W5C0	Q10746
Q6P539	D3ZPE2
Q3TDN2	Q5BK32
Q8R2N0	D4ADF2
Q9WV56	M0RB87
Q4ZJM9	D3ZMN4
Q9ERE8	Q5BJV3
Q9CQJ4	Q4KLY4
P20181	P18280
P35821	P20417
Q8VCG4	D3ZPI8
D3Z689	F1M9K2
Q9CPY6	F7ES04
E9PW37	A0A0G2JTA7
Q32Q92	D3ZSE3
Q8R5L3	A0A0G2KA50
Q3TDV8	D3ZV88
Q8CJ70	D3ZFI7
P97313	D3ZTN0
M0QWN7	F1M8S4
Q9D992	Q6AYM7
Q99LI9	Q5PQL4
Q99J23	D3ZX06
P68510	P68511
P59280	D3ZHE1
Q80T69	D4A1U7
Q62313	P19814
P61080	D3ZDK2
Q3UMT1	A0A0G2K4R1
A2RSQ0	M0R5A9
Q9EQC7	Q99PW7
Q9D385	Q4V8C5
Q80WR1	D4A3U2
Q04692	D3Z9Z9
Q8K2J0	D4A978
Q80V91	F1LY78
Q60611	Q5U2Y2
Q3TUA9	Q4V8A9
Q8CGN4	D4A2J9
P51908	P38483
Q3UQ44	F1LW74
D3Z7P3	A0A0G2K1T0
P26369	F2Z3T9
Q5ND04	A0A0G2JX71
E9Q9V5	D4A4X2
Q3UC65	Q5U2S0
Q9Z1K6	D3ZJB8
Q9CZ04	F1MAA2
Q3URV1	D4A050
P70168	F2Z3Q8
Q69Z61	B2RYP9
Q9ERD7	Q4QRB4
Q64321	D4A579
Q921L5	D3ZT01
A2ABV5	D4A020
Q61550	Q4KLH7
Q9R229	A0A0H2UHH4
Q9D2V5	B1WC03
Q8VCR3	D4A7K0
Q2TV84	F1M9X0
P23738	D3ZMT4
Q80YT7	A0A0G2K463
Q61187	Q6IRE4
M0QW46	D3ZS54
Q8BP00	D4A6J0
P00687	E9PSQ1
Q5IBH7	Q8R496
Q8BT18	D3ZYI3
P41183	B2GUV8
Q9D8U7	F1M7Q4
Q9JLV1	Q5U2U8
Q9D2D7	D3ZT56
P24788	D4A3G2
A7MCT6	D3ZRW8
Q3UGS4	B0BN72
Q8VIG3	A0A0G2K8M2
O08911	Q63538
P52479	Q3KR59
P29533	P29534
Q8BKJ9	B2RZ55
Q52KG4	D4A1A3
Q9CQ60	G3V8D5
Q8BK63	D3ZRE3
P63056	P63057
Q80XM9	Q5M880
Q80Y24	F1M0J7
Q7TSH2	Q5RKH5
Q3U4G0	D3ZYC4
Q80TH2	M0R9T2
Q8R2Y0	Q5XI64
Q3UVL4	F1M4I4
F8VQ75	D3ZM20
Q91YI6	Q5U315
Q9D2E9	D4A5Y0
P97310	D3ZP96
Q8R493	P12392
Q8BSM7	F7FL53
Q9D1T5	A0JPP6
Q3TYX8	A0A0G2JUI2
Q3UQS2	D3ZU79
P58659	D4A895
Q8BZ39	Q9ESQ4
Q9WUL8	Q99MA0
P28293	G3V9Q7
Q9QXV1	Q4FZS1
Q9D1N9	D3ZMR9
Q60954	B1WC31
A2AR95	F1LXB2
Q8C0E3	D3ZA22
P28474	P12711
Q9D3J5	D4ADM7
A2ACG1	D3ZQ38
P97792	Q9R066
Q8BJQ4	D3ZXR7
Q3TVC7	A0A0H2UHJ2
P97812	F1LP42
Q8R527	Q9JJL4
O70263	B6RHI6
Q922R1	G3V7W8
Q9DCV6	G3V8I7
Q8VE96	Q5RKH7
Q0VFX2	Q4V7B0
Q8BKY8	Q5XIE2
P61249	P61250
E9QMA6	M0R7W8
Q5SV80	D3Z8I9
E9PXB7	A0A0G2JXP3
Q9Z1X9	B1WBZ4
Q8BMQ8	D4A0L1
Q5M9N4	D4A0Z0
Q5SRY7	D3ZXC6
O54824	D4A4I9
Q8R1Q8	G3V7G0
Q8R2R1	Q99PR0
Q505D1	F1M400
P49452	E9PSW8
Q8R1J3	Q5XII6
Q8BHA9	Q66H78
Q00560	F1LPK1
Q07076	Q6IRJ7
Q62376	B2RZ74
P18828	P26260
Q8BKN5	D4A2A9
Q8C3Y4	D3ZVJ3
A2AH22	F1LNQ2
Q3V209	Q4FZV7
O88854	O08726
Q9WUA1	Q6IN38
Q2EY15	F1LNL1
Q8BX70	D4A4K4
G3X9J3	M0R583
P61406	D4A589
Q8CI61	F1M3K6
P32443	G3V6T9
Q9D976	D3ZIG2
P24288	P54690
P42866	P33535
Q6GQS1	M0R4V4
Q9CWQ8	Q5BJZ0
Q9WUP0	Q9JHJ1
Q80WJ6	F1M7G9
Q9DCN7	D3ZG84
Q8R1H8	D3ZT85
Q9Z1W9	O88506
Q8BHG3	D3Z9E9
Q8R2G4	Q6AYJ9
Q9JIY0	A0A0G2KBB3
Q8BHC4	Q6AY55
Q61089	G3V6L1
Q5SWP3	F1M6E5
Q9JLV2	B2RYF4
Q6ZPI0	D3ZM64
Q69ZS0	A0A0G2K4K7
Q3UA06	Q5XHZ9
F8WGX2	D4A680
P81615	P55090
Q9JI48	B5DF36
P52734	M0R6Q4
Q0VBL1	F1LVC4
Q9CWG8	Q5XI79
E9QK83	F1LXT3
Q3U0X6	D4AB75
Q8K4K2	Q9WTQ6
F8VPR5	F1M9G7
Q925F2	Q6AYD4
Q04207	Q7TQN4
Q9D850	D3ZF19
Q6VNS1	Q03351
F8WJF7	B1WBW7
P01108	P09416
Q9Z108	Q9ET50
P59598	A0A0G2JU33
Q3U3J1	F7EV94
P17553	D3ZCR1
Q76MZ3	Q5XI34
Q9D2Y6	F1M4T6
Q9D0F1	F7F189
Q6ZQ88	F1MA31
P59053	F1LQV8
Q3UTQ8	D3ZG85
Q9Z2Y2	D4A2A5
O08686	D4A7E7
Q9R078	P80386
Q9R0Q3	Q63524
G3UW60	D3ZSC1
P35377	P35370
P25118	A0A0G2JSU9
Q91V79	D3ZIQ3
Q9JJL9	Q924U0
Q8BG99	A0A096MJK1
Q8JZM4	A0A1W2Q656
P33896	D3ZDS9
Q6PE84	D4A100
D3Z5T8	F1LZD2
O70570	A0A0G2K639
P18762	Q8VBU7
Q8K352	B5DFK2
Q9CPX9	D3ZXH8
Q3UN58	D4AAA5
Q78T81	M0RAC2
O70165	Q5M8B4
Q9WUP4	Q5RJM1
Q5SW46	D4A400
Q3V096	D3ZA25
P32082	Q02644
Q3U2G2	F1LRV4
Q8BZ36	D4A4T6
Q6PGC9	F7ETL6
Q8BWZ3	Q6QI44
F8VPX2	F1MAM1
Q6PD29	Q5FWU5
P0C872	D3ZZV5
Q8JZS7	D4A5C3
Q8BUB6	D3ZPB6
B2RY04	F1LVA9
E0CXC6	Q5XIU7
Q9CQQ8	D4A2D8
Q8CI33	D3Z863
Q9CQV8	P35213
Q64387	Q62923
P27641	G3V817
Q9JIT1	F7ENQ2
O35903	Q32PX4
Q99MV1	D4A3N0
Q9EQ14	Q91Z84
E9PV60	D4A748
Q8JZL2	P97639
Q8BJU0	O70593
P63054	P63055
Q3TQQ9	Q5XI94
Q9DB15	D3ZXF9
Q5S003	D3ZXP4
Q3U2C5	D3ZI66
Q80UL9	D4A1C2
Q3U1D0	D3ZVQ9
Q9CRA0	F1MA10
Q62181	F7FHT4
Q9QXT9	D3ZUE7
Q8BYR1	Q5XIA3
P68500	F1M173
B7ZCC9	A0A0G2JXP6
Q9QYK7	A0A0G2JZP9
Q9D7C9	D3ZBU8
Q9JJF9	D3ZNG3
Q68FD9	D3Z9D0
P05480	Q9WUD9
Q9ESK9	D3ZHK4
Q9R1B9	F1MA79
Q8VDV8	Q5I0J5
Q8VCR2	Q5M875
P49117	G3V7F5
Q8BPS4	G3V799
Q3UN02	D3ZFF4
P01575	P70499
Q9DBT5	Q02356
Q64326	G3V848
O08970	A0A0G2JZ65
Q9D0T2	Q9JIM4
P20722	Q04906
P59108	F1M1L9
Q8R015	B2GV52
P97474	Q9R0W1
Q9CPX5	Q4KLN5
Q5PR73	D3ZHX3
O88634	M0R6X7
Q9JHG1	B2GUT8
P60710	P60711
Q3TD49	Q5PQL3
Q3U3I9	M0R740
Q8CDM1	D3ZJD2
Q9DBJ6	Q5BJY4
P39688	Q62844
Q80YR6	B1WC58
Q3V1U8	D3ZDJ3
Q9ER75	D4A7R4
Q99JB0	F1M8Z3
Q61733	B0BN56
Q9D880	D3ZJX5
Q99MB1	F1LN63
A2RTU1	D3Z9R9
P98200	D4A3X6
Q6PJN8	Q641Y9
Q6P5D3	A0A0G2JZH9
Q8BLX4	D3ZWW0
Q61826	O70540
Q9R007	D3ZPN6
P80314	Q5XIM9
Q9DBF7	G3V6I3
A2A5J5	B0BMZ0
Q8VBV3	D3ZBP3
Q8K2G4	Q66H90
D3YYZ1	D4A460
E9Q0Y4	E9PSX8
B1AVK5	A0A0G2K601
Q78PG9	D4AAU6
Q5BJ29	F1M6W6
Q921F4	D4A3E1
Q3U2K0	D3ZDR1
P36916	Q6MG06
P48678	G3V8L3
Q8R191	D4ABK1
P52955	Q1XID0
P47212	P10683
Q921R8	Q3SWT5
E9Q9B7	D3ZWB2
Q3UZP0	A0A0G2K663
Q99LU8	Q7TP28
Q91W86	D3ZTB4
Q9D1G2	Q5RK24
G3X8R0	B2RZ37
Q91Z22	A0A0G2K349
Q9Z1P5	Q5HZW5
Q8BKE6	F1LSK6
Q6P549	V9GZ88
Q61080	M0R8R8
P48756	Q06145
Q9CYP7	D4A469
P20263	Q6MG27
Q6NSU3	Q6AYF6
Q8K0E8	P14480
Q9Z1T2	A0A0G2K7L8
Q9EST5	F1LP34
Q3UQ17	Q5S3S9
P04117	A0A0G2K586
Q99LM2	Q642E3
Q61510	D4A9N5
Q5HZK2	B0K009
Q80TE3	D3ZNC9
P47873	G3V890
Q9D3R3	D3ZVQ1
O70166	D3ZI49
Q8BJD1	M0RAR2
A2ARA8	B5DEG1
D3Z5L6	D4A9K4
Q99L04	Q6AXY8
Q8BJQ2	Q569C3
F7AC58	A0A0G2JWS3
Q9CQE6	D3ZFM1
Q6NZQ8	D4A6K8
Q8BUL6	A1A5P7
O88947	A0A0H2UHR6
P61219	O88828
P81068	D4A9L1
Q9CYG7	Q3KRD5
Q6DID7	Q6P689
P16254	B2RYW7
E9Q2E9	D3ZX50
Q60739	F1LRM5
P05627	P17325
E9Q1D4	Q6AY26
Q9ES81	A0A096MJH9
Q9D842	F6Q5G6
Q56A04	D3ZC60
Q9WU03	G3V8S0
Q3U4G3	D4ADL7
Q8VED2	G3V6R9
Q9Z2C5	A0A140TAI5
Q60754	M0R9F7
Q8C1Z7	D4A8B1
Q8C253	P08699
Q9WVK0	Q642A2
Q99JP4	Q6YDN7
P41047	P36940
Q8R2Z5	Q642A6
E9Q3S4	F1LVM0
Q8CJ78	D4A8F7
P59648	P59649
O55237	M0R613
Q80TN5	E9PTT0
A2A8Z1	F1LRE5
Q8BLY2	Q5XI17
Q8BND3	A6N6J5
Q9CR33	D4AE21
P56479	Q62805
O88207	G3V763
Q3UZZ4	D3ZMI6
Q91WC9	P0C1S9
Q9D424	M0R8P3
Q9CZN7	Q5U3Z7
P97318	Q8CJH2
Q7TMI3	D3ZK36
Q9D0B6	G3V6C3
E9QAE4	D4AA06
O88522	Q6TMG5
Q9D159	D4A897
Q8CJG0	F1LRP7
Q91XF4	Q5XIL0
Q8BW00	F1M8A9
A3KGS3	D3ZKI6
Q8CAB8	G3V665
Q6PHQ8	Q6DKG0
Q06770	P31211
F7DDS0	D4ADU7
P70324	Q7TST9
Q8VHP6	Q91XU7
Q64205	D4ADD0
Q9R001	G3V673
Q99P50	O08725
Q811D0	A0A0G2K1M2
Q8BTK5	D4AEC7
Q0GGX2	D3Z8I0
E9QAU8	M0RCK2
Q8VIG1	D4A7T2
Q99K43	D3ZES9
Q6NVF0	D3ZGS3
Q3U145	D3ZV19
Q8BPA8	Q6AYM4
Q9D009	D3Z9Z2
B9EKE5	A0A0H2UI37
Q9D8Q6	F1M541
F8VQ87	D4ABN8
Q05BA5	F1M8E5
P59470	D3ZV30
Q91WG5	A0A140UHX4
P09535	P01346
P19096	P12785
Q9DBY4	Q496Z2
A2AKB9	D4A8G6
Q9CQB7	G3V950
Q3UR70	A0A0G2JV19
A2AQ52	Q5PQV1
D3Z1Q2	D4AE95
O88876	Q3B7V0
P20615	D3ZW24
Q9DBL2	Q66H63
Q6PGD0	B2RYU3
Q9WU20	D4A7E8
E9Q0X2	Q6B959
Q9DAI6	F1LZ91
Q3ULA2	F1LMH8
D3YYU8	D3ZZ80
Q5NC32	B5DFC0
P35564	P35565
Q810A1	Q642B9
P63085	P63086
Q8K2W3	B2RYB1
Q793I8	Q5XIB9
P51450	A0A0G2QC01
P18155	D4A1Y5
P59941	Q4FZY2
G5E8J6	G3V8S6
P55065	E9PSP1
Q5RJI4	F1LMM4
Q8K3K7	D4AC45
P70372	B5DF91
O70551	E9PTN4
Q9CQ39	D4AA11
O35160	P81062
Q9Z0L4	E9PTU9
Q91YI1	D3ZA45
Q91YP1	D4ABH7
P21274	G3V8W4
Q9DCX7	Q68FU0
Q8K301	Q99PT0
F8VPK8	F1LS01
Q99LG4	Q5BK48
P63001	Q6RUV5
Q7TN22	D3ZQK4
A2APB8	D3ZA78
Q9WUK7	D3ZFS1
Q91Z50	Q5XIP6
A0PK84	Q2TGI8
Q8BWM0	D4AE56
Q8R4H9	D3ZY54
P51944	Q8K4F8
Q9CZH7	M0RA39
O54917	D4ACR8
Q6IR41	Q3T1I2
Q91WS4	F1LMG2
Q91YK8	O55162
Q9R0P6	Q6P9X2
A2AWP8	M0RBM9
Q9CZX5	A4L691
Q00PI9	D4ABT8
G5E872	M0RA44
Q8R3R8	Q0VGK0
O35864	F7EUU4
P23804	A0A0G2JVC1
Q8C5T4	M0R7B3
Q80VA0	Q9R0C5
Q8R1G1	Q0VGK5
Q8BHH8	Q6AYR5
Q9DD03	P35286
