E9PV87	G3V9B1
O88602	A0A0H2UHF5
P47741	Q6TXJ0
Q810Y9	E9PTY6
Q99M80	F1M491
Q3UVD6	D3ZHE7
Q6KAQ7	Q4KLI2
Q9JKX8	D3ZZ76
Q91WM1	P83868
Q8BHC1	Q5M807
Q9CWU5	F1LSX3
Q9CXK9	D3ZTA8
P82343	D3ZAT9
P18654	D3Z8E0
Q6NXZ1	D4A2C1
Q9CZX5	A4L691
O70302	Q62812
Q8BHB8	P41738
Q8K1E0	Q08851
Q925Q5	D3ZP89
D3Z4Z0	M0R6E1
Q9EPX5	D3ZZ65
Q99PT9	D4A2W7
O88319	P20789
Q8K136	D3ZSG1
Q9Z1X0	D3ZDM8
E9Q3R6	D3Z9A8
Q810N5	G3V8X3
Q3TC93	D3ZCS9
P41588	P35000
H7BX21	Q9EPG9
A0A1Y7VNZ0	Q99J86
A0A0R4J0S8	D3ZKW6
G3X914	A0A0H2UHG3
Q3UTY6	A0A0G2K4K7
E9Q9Q6	G3V6E0
Q3V3W4	B0BMX8
A0A0A6YVZ7	F1M8L9
Q8VI56	Q9QYP1
Q8K3P0	M0R5K7
Q80VI1	Q8CGV7
Q9QXN0	Q00954
Q810N9	D4A7H9
P80318	Q6P502
Q62205	P17988
Q9Z2B1	B0K037
Q71UK0	D3ZYF6
A0A0A6YW14	A0A0G2K857
Q8BPB5	Q6AXN2
Q9Z0J7	Q3MHC1
Q9D8W5	D4ACW0
Q60687	D3ZKI8
Q9ERI6	D3ZUY0
Q7M6Y2	Q6IE12
Q9Z0D9	D4A7S6
P49817	Q2IBC6
S4R1T9	M0R6N0
Q6T264	F1LNX4
Q3V209	Q4FZV7
Q61510	D4A9N5
Q7TN83	A0A0G2K018
O88634	M0R6X7
Q9EQP6	Q64349
Q9JHD6	D3ZWD6
Q9D306	D3ZEV3
Q8CCM6	E9PU85
Q60773	F1LW90
O55226	A0A0H2UHB8
P70191	P35407
Q148V7	F1LML3
P51141	Q9WVB9
Q80ZX0	Q5XFW6
P50481	D4A474
Q9D9T6	D4A784
Q8BFS6	D4AAZ2
B2RUS7	D3ZCH6
P08122	F1M6Q3
Q9CQQ0	D3ZMR4
P48759	Q9R044
P52795	Q6P7B6
P48026	P82995
G3X9Q2	O88181
P97292	F1LNK8
Q3UA16	F1LWG4
P80205	A0A0G2K288
Q4VBE4	A0A0G2K399
P16043	F1M4T8
Q6PGH1	O70454
E9Q3P4	Q8K4F8
Q9Z1L8	F1M7F7
Q6A051	D3ZLQ9
Q3TRE0	D3ZZC5
Q7TNK4	M0R6E4
Q8R5I6	F1LWN7
Q69Z26	D3ZR10
P38649	D4AEJ6
Q8CII8	O88181
Q9Z280	M0RD26
Q3LAC4	A0A0G2JY62
P48760	F1MAS4
Q69ZF7	D3ZH92
P08152	P51774
Q8BV57	D4A477
Q3TB92	A0A0G2K456
A2ADB0	D3ZZK8
Q62520	G3V976
Q9CXG9	D3Z9K5
Q8R4V3	D3ZCS9
Q8BH83	G3V9V6
Q9CR21	D3ZID7
Q8CF93	Q6UE39
A0A0G2JH17	D3ZTB4
P70124	A0A0G2K929
P81067	B0BMY5
O88472	O08560
Q8C129	Q68G30
Q3U1Z5	Q6MG88
Q9CZC8	Q6AY84
Q8C050	A0A0G2K366
G5E898	D3ZTE6
Q810J1	A0A0G2JU12
Q60571	O35761
O55057	D3ZRD3
P24638	D4AC81
Q8CAE2	A0A0G2K2K4
Q920C1	F1LQZ2
A0A0R4IZY9	Q09137
Q9CZX9	A1L1J7
Q04207	Q7TQN4
Q8C5R2	M0RAK0
Q99JW4	P00564
P24788	B5DEZ8
A2AIV8	P23358
P19785	A0A0G2K0D4
Q3V5L4	D3ZSN2
Q6ZPV2	D4A6Q6
Q3UN04	Q5PQL3
Q91Z96	D3ZYC9
Q9D7K2	Q68FP7
Q6GQW0	D4A7F7
Q6IE26	D3ZKP8
Q9JJ06	F1LRA6
Q9CQI3	G3V965
A0A0G2JDC3	F1LSS7
P43027	M0RAY4
Q99M03	A0A0G2K698
Q91XY3	D4AC39
Q9D8T0	B5DFJ2
A0A1D5RMC2	M0RCM3
P18762	Q6AYJ7
Q6PDH0	D4AC95
P62325	Q63073
Q4U4S6	A0A0G2K318
A2AIL4	D3ZPG6
Q6PGC7	D4A7E4
A0A0R4J004	Q4V8E5
D3Z792	Q6AZ45
Q9JLA2	F1LXP8
A0A0J9YTR2	D4AC05
Q8BYI8	D3ZWJ9
Q3UW41	Q6IE41
A7L9Z8	M0RAF9
Q5SV41	P53809
Q8C0Q9	A0A0G2K3P2
Q8R1E8	B2GV89
G5E899	F1LM16
D3YYI7	P49651
Q3V0B4	A0A0G2K240
P62141	D3ZTN0
P35639	Q496Y7
Q8CI43	Q66HA4
E9Q152	F7ENY6
Q9D572	Q6AYP4
Q5XPT3	Q6P7A1
Q6IFX3	Q6IFW2
Q8VC65	Q5XIS8
A0A0R4J0H1	A0A0G2JTT6
O35473	D3ZUK3
Q9QXV1	D4AB66
O88621	D4ABD3
Q80T21	P22829
D3Z4S3	Q6AY30
E9Q2E9	D3ZX50
Q8C1M2	Q6AZ51
Q6NV66	D3ZHQ5
P22518	D4ADG3
P28357	D4A2V8
P25425	F7FNS3
P51807	Q5M8C6
Q99L48	F7ERL4
Q9JM05	A0A140TAA0
Q3TC33	G3V7Q3
Q6PDK2	D4A750
Q61602	P11348
B8JJ69	Q08602
P70451	A0A140TAC4
A0A0R4J0Q4	P00758
Q8BJD1	Q5XIN7
Q80V62	A0A0G2K5U0
A6X8Z5	D4A987
P48301	B5DF69
Q9D7I5	Q5I0D5
Q6AZB0	Q63187
Q61324	D3ZTE1
Q3UZP0	Q66H35
Q9D4C1	A0A0H2UHA0
Q78HU7	Q6XFR6
P31361	A0A0G2K640
Q8BTF8	D3ZZK6
E9Q5K9	Q9WVB1
Q9JJZ9	F1LX27
Q9WUR2	Q5XIC0
P31041	Q5FVQ7
Q68FG3	F1LRM0
Q9ESG2	P97712
Q80WS1	D3ZVS5
Q9D952	Q5U362
P15409	M0R3V3
Q61088	Q9QZH0
Q810M5	A0A0G2JUE3
Q921G7	M0RCH5
P08043	A0A0G2JYF9
Q9QZM4	A0A0G2JZE1
Q8K3V1	Q63799
Q8CGR6	D4ADR7
O88554	G3V749
Q8BLI0	A0A1W2Q6M9
A2CG28	D3ZSY0
Q6DFV3	F1LMC1
Q3TY65	D3ZTK4
Q07279	G3V8A0
A2A4U6	D3ZDM8
Q99PQ2	B1H278
Q8K1I3	D3ZRJ3
E9QP73	D3ZZ26
Q64253	Q6MG57
Q9D8U3	D4A9L9
Q64685	G3V680
Q8K135	Q8BFS3
Q9D2G2	G3V6P2
P26955	Q568Y5
P28662	Q5PPK1
Q9D9V3	Q566D2
Q8BGU2	P98087
P24472	Q5I0N0
Q61184	A0A0H2UHJ0
P16951	Q00969
Q924W5	D4AB26
Q9CR04	A0A0G2JYC9
Q8BL95	A0A0G2JZ40
P39689	Q64315
P52927	O88791
Q9Z1T1	A0A0G2JWD6
P51829	A0A096P6L4
O55196	F1M7X9
Q8R035	D3ZDP2
Q3TQR0	Q2TA63
P54320	D4A9U4
P97382	P81718
Q5U4C1	M0R9R0
P06332	P05540
O70220	Q5PPG8
Q91X23	F1LM64
Q5SUV2	A0A0G2K1H9
Q2TB54	P53563
P01872	A0A140TAF5
Q6NXH2	A0A140TAG4
E9Q492	D3ZXM0
A2NTY6	D3ZJS6
O88601	P27321
Q6PDS3	Q9ER31
F8VPQ4	A9UMW0
P48410	P50503
Q52KG4	D4A1A3
Q8K0E1	F1LP07
F7AC58	A0A0G2K8C5
Q921Q3	Q6IMY1
A0A140LIP2	Q9WUB8
Q9CSH0	Q63416
P98063	D3ZX15
Q8C432	Q9QWG5
Q62077	G3V845
K3W4R5	F1M949
Q8BGY2	D3ZLG5
Q505H4	D4A0X1
Q8R143	A0A0H2UHD0
Q925F3	D3ZYY5
O08542	G3V7J7
Q9D2Y4	D3ZKP6
Q9WV86	D4A5J1
Q9CQE7	D4ADM8
Q9ESN9	D4A5U3
Q7TSK3	F1MAK4
Q9CX34	B0BN85
E9QMN1	Q0ZFS7
Q9CXR4	Q5PQQ4
Q80VK6	F1LNN2
Q9DA64	A0A0G2K9P7
Q61324	A0A0G2K721
Q3UFY8	Q5U2R4
Q8BTI8	A0A0G2K2M9
Q7TT16	F1LMH2
Q9CPZ8	D3ZTN2
Q8C9V1	Q923V7
Q8C6C9	F1M171
Q6PB70	A0A0G2K5K1
Q8CF89	B1WBQ5
Q6P3E7	D4A6W7
Q505K2	M0R5L5
Q6WQJ1	A4F267
Q91WN2	F1LNF3
Q5M9N4	D4A0Z0
Q6ZQ11	P42335
Q62203	D3ZLR9
P46471	D3ZQ46
A2A6M5	A0A0G2JUH9
Q9QXT9	F1LNQ2
Q810M6	D4A218
O88983	D3ZHF8
Q3V3N7	D4A4U2
Q80YW0	G3V9Y3
Q8R015	B2GV52
E9QK82	P06907
Q7TMC8	A0A0G2JVI4
A0A286YDA8	Q5XIF3
Q8K0C5	D4AD36
Q5DTP7	A0A0G2JXT9
P39428	M0R5V5
Q9WUG6	D3ZD24
Q8BNU0	B2RYL4
E9PXB7	A0A0G2JXP3
G3X9N5	A0A0G2JSW7
Q9Z0S2	Q8VI81
O55103	D3ZUX1
Q9ERP3	G3V9N2
O88968	F1LSG7
P30882	D4A3M8
A2AAX3	D4A589
Q8BGS5	D4ADL6
Q9JIF3	Q9JJZ1
Q9CRB8	Q5XIM0
E9PWB6	A0A0G2K8X5
Q91XQ5	Q9QZ81
Q9DCL4	F7F172
O88854	O08726
O35969	D4A7D7
P63280	P11506
Q8C8K6	D3ZR26
Q64096	Q5M7T9
Q9CR56	D3ZCK2
O88622	E9PSQ1
Q9Z1S3	D4A981
P30554	D4A731
Q6GTI0	M0R986
Q78IQ7	A0A0H2UHY4
Q91Y10	D4A9U2
Q9DA44	D3ZLU1
Q78PG9	F1MAQ6
Q923E4	A0A182DWI7
Q99PU7	A0A0A0MXZ5
P61969	Q5FVM6
B1AQJ2	D3ZNQ4
O35648	D3ZPG5
Q9CXY6	B2RZC6
Q9WV55	Q9Z270
E9QL04	D4A7V8
Q8BUE1	P56745
F8VPK8	F1LS01
O89093	F1LR79
Q6NZQ2	G3V9V8
Q9QXV0	F1LX28
P70390	G3V7M9
Q80VM7	A0A0G2K000
P63166	Q5I0H3
Q9CQC2	D4A2E3
Q8QZZ7	F1LPW1
Q6PFQ7	F1M4Q1
Q6TAW2	Q6LED0
P05480	Q9WUD9
P0CG49	G3V8T5
Q9ESH5	Q63692
Q8R5A3	D3ZDZ1
Q9QXT5	A0A0G2K7K0
A2RRY8	A0A0G2K8X4
Q80UF4	D4ABZ4
O35608	O35462
Q9Z0H3	Q6IN22
Q3V3V9	D3ZC15
Q99JB6	D4Q8I2
Q9JIL2	G3V896
Q8CEK7	P54282
Q8BHC7	D3ZA59
Q3TT04	G3V9B8
Q9DAC7	Q9R120
Q8R5B8	P08427
A0A0R4J111	G3V6Y3
Q07424	Q9Z1L1
Q9CQ35	M0R4P4
O70552	D3ZW34
Q99MY8	B3DM97
Q5SSH7	D3ZG78
P37242	A0A0G2JZE8
Q91X34	Q9QX67
Q60952	F1M7J7
P70425	Q5PQU0
P05213	Q6P9V9
Q9CX47	D3ZPC8
Q8CI17	D4AE70
Q9D3P8	A0A096MJB5
Q80TA9	D3ZJ07
Q91YI4	P29067
Q3TRE0	D4ABT9
Q99MV5	D4A9N9
Q8CC27	A0A0G2K2N8
H3BLQ9	D3ZYT5
Q6P9R2	D3ZUC9
Q8R3N1	D3ZVJ3
P99024	P81155
Q9D6P8	Q5XIU3
Q8BZQ2	G3V9T1
P69566	F1LVV3
Q9WUD1	D4A4T0
Q8BHY8	Q5M821
Q8VDV8	Q5I0J5
Q6P5B5	B1H2A6
Q3TD35	D3ZCK4
P26928	F7FMS0
P49443	A0A0H2UHE5
Q2M4I6	P42930
Q9CQH0	Q923S2
Q9R0M6	Q99P75
Q9CQW5	Q9Z144
Q8BR86	D3ZF67
A2A7Y5	D3Z9R6
Q9JKC7	D3ZT94
Q9D4H8	A0A0G2K761
Q8BG92	A6JUQ6
Q8BKT6	Q5EB62
Q8K342	A0A1W2Q6J0
Q8C8K6	F7FKK4
Q8BX94	Q66HI4
Q8BVG4	G3V7G0
Q8C8T7	G3V6L2
Q9CXI0	Q4G064
P04095	P0DP31
Q8K371	D3ZRK7
Q99N94	Q673L6
P97929	Q66MH4
Q8CD94	D4AD32
P54130	A0A0G2K0M8
P61211	Q498C8
Q8BPQ7	D3ZAS2
Q9WTN6	D3ZU70
Q3UV88	B2RZC0
Q9QUQ5	Q91ZM1
Q2KN98	D3ZPD6
Q9EQY0	A0A0G2K8H6
Q8VBV8	F1LNJ1
O88559	A0A0G2K639
P51480	Q0VGJ9
Q9WVL1	Q5BJQ5
Q1XH17	F1M2B5
Q0VE82	Q5PPG7
J3KMM6	D4A0Y3
Q5JCT0	Q8CH87
E9QP19	D3ZUK4
O88508	Q1LZ53
Q6A065	P07151
Q505D1	F1M400
Q62252	A0A0G2K6Q8
B1AWN6	B5DF17
V9GXH0	Q642B2
Q8CFA7	Q9JJV7
E9Q8T2	D3ZQ99
B1ASM0	D3ZW02
P54843	P63016
Q923B0	P81795
Q9CR50	Q5XIE4
Q8BHA0	Q5BJY3
A0A1B0GSS6	P50463
Q8CE94	F1LME7
B9EKE5	Q6AY05
Q9CQZ7	E9PT53
P28649	F1M7S2
Q9D270	Q2TGJ9
Q3TQF0	Q5NUI4
Q793I8	F1LQR5
Q91WT7	D3ZCV5
Q3TT66	P32214
Q91VJ1	D4A9W0
P62880	P54313
Q9EPB4	G3V8L1
Q9JLH8	F1LYY7
P10855	P41739
F8VPK6	F1LM32
A0A0B4J1L1	Q499N2
F7CGC9	E9PU35
Q3V1D3	Q6DKY8
Q9ERA0	A0A0G2JTJ9
P70354	D3ZW88
Q8CGP4	Q9WTQ1
Q9D3U0	Q66H95
Q4KML4	P49242
Q80TN5	E9PTT0
Q99LH8	D3Z962
P21279	D4AE68
Q3U284	D3ZG27
Q9Z211	Q2KN99
Q99M20	Q6IE55
Q9WVL5	D3ZKF3
Q9D687	G3V9C6
Q3U276	D3ZLK1
Q80W22	F1LNW3
Q9D0Y8	G3V816
A0A2I3BPT2	A0A0A0MY35
Q6ZPR6	O54968
Q9D7N3	B0BN68
P53690	Q10739
Q8CI61	F1M3K6
Q811L6	E9PT49
Q99PE8	M0R7Z4
E9QNX7	F1LRK1
O55237	M0R613
Q6TAW2	D3ZGW9
P33896	D3ZDS9
V9GXA7	F1M3U4
Q3U5F6	D4A934
Q7TS99	D4ADJ5
Q8BGF6	Q9QYV1
Q80WC9	B0BNI6
Q99JL1	Q642B5
A0A0A0MQ90	D3ZTB5
Q3UA16	D3ZFQ3
P15920	Q3B7D3
Q9EQW6	A0A0G2K8E5
Q920G9	Q5I287
Q921E6	B5DF02
Q61129	A0A0G2K135
Q9CWS1	Q641X3
Q9CXY1	D3ZG87
Q99LJ7	A0A0G2K102
Q8BQZ5	B1WC01
Q9Z1G3	A0A096MJC8
Q8VHQ3	D4AA72
P09838	D4A3U1
P04342	P10067
Q8CGB3	F1M9H4
Q8VI23	D3ZF32
Q80Y32	F1M947
F8WJF7	B1WBW7
Q80T91	F1M8D4
Q9WTM5	D4AC23
P10923	P08721
Q62559	D4A5T7
Q3U0X8	Q5BK49
Q80X32	M0R469
Q8CGS6	D4A628
Q8C804	D4A543
E9PXZ3	P18596
Q9R0Q8	Q6AY79
Q3UHD3	A0A0G2K4U7
O35445	Q5M807
Q60676	P53042
Q9CQR5	D3ZYC1
P55065	E9PSP1
P51830	A0A0G2K8J3
Q8BPP0	M0RDB0
O70624	G3V6E8
P47873	G3V890
Q08943	Q04931
Q8CI17	D3ZGI1
E9PX92	B1WBS3
Q7TSN2	Q924C9
P27790	A0A0G2K7F0
Q9DBR0	Q63014
G5E8S8	A0A0G2JW60
O70566	A0A0G2JY31
Q9CQQ0	G3V8Z7
Q9JJ61	Q9Z1X8
Q9JKD3	D3ZU10
Q9D9N5	D3ZX64
Q8C5S7	A0A0G2K8K1
O88207	G3V763
E9Q3H6	D3ZX74
J3QPP8	G3V6F7
Q9JIP4	P60570
Q6IMH7	A0A140TAE4
P56386	O89117
Q6PAQ9	G3V8C0
Q8BQV2	A0A0G2JYQ6
Q8BHN0	P16228
Q6PIX5	P38650
Q9CQA3	P21913
Q9R0Y8	A0A0G2K0J5
A2AV25	G3V791
Q6PI63	D3ZUW6
P48410	P58405
Q810M6	F1M2G3
Q99P58	Q99P74
Q8QZR4	Q6AYE5
Q01822	Q6P7D7
P97363	F1LSV4
Q91XL1	Q5M8C3
G3X9H5	G3V9P7
Q8BN51	O70239
Q6TCG5	D3Z8L0
O35071	F1M9C8
Q3UUV5	Q5M808
E9PX92	P10719
Q64387	Q62923
Q8R459	D4A9I5
Q6VN19	D4AA02
Q62086	Q6AXM8
Q8BSM7	A0A0G2JWJ2
O08648	P61354
Q9CQJ4	Q4KLY4
Q8BJM5	B2RZA8
Q9CWW7	B2RYC7
Q80TG9	G3V7J3
Q8C119	D4A6W5
Q8R1T1	D4A1S9
Q6PFD7	A0A0G2K7Z6
S4R1S4	P04157
Q91XX8	D3ZUH3
E9Q7F2	F7FA48
D3YZG8	D3ZUA0
Q60I23	D4A543
Q91VM9	D4ACE9
P61375	P61376
Q8C0Q5	P38656
F8WIC0	A0A0G2JZ71
Q8C8N2	Q6RI88
Q62186	Q07984
Q8R0V5	A0A0G2K4T5
Q8QZV0	M0R7V1
P62515	D3ZLM8
Q8C0L0	P18421
Q9JM76	A0A0G2K6E5
A0A0A6YW14	O55227
P29037	A0A0G2K2I0
Q03249	Q5XFW4
Q9Z2C8	Q9EST9
P19221	G3V843
Q8BVZ1	M0R7Z9
Q8CDD9	F1LM54
Q78IQ7	Q6IE55
Q62087	D3ZV40
Q810P2	D4A9X9
P02340	P10361
Q8BHW4	D4A7E9
Q78TU8	P19491
G3X8R7	B2RZ99
Q8BSP2	B5DEQ1
Q9Z1A9	F1LWZ7
B2RY64	F7FMK8
Q91ZY2	Q8VIB2
B2RR82	Q568Z6
Q99LL3	Q498S0
A0A0R4J021	D3ZA46
Q45HK4	F1LQ87
P43407	Q6IRK3
Q9JKM7	P17945
Q8BZ60	A0A0G2K5G6
O70176	Q6P6T5
Q922Q5	D3ZVN5
P30677	D3Z8K5
Q6ZQ08	G3V7M0
P97411	D3ZRG1
Q6P8G8	A0A0H2UHQ7
Q61016	A0A0G2JSR6
Q61767	D3ZRI9
O35710	Q9ET55
Q4KL14	D3ZEX3
Q8BR65	Q5I0H5
Q8K0T4	B0BN31
Q3LR78	M0RCM7
Q80XZ4	D3ZIM3
A2ARI4	Q9Z2H4
Q3UP24	D3ZBV8
P83714	B0BMZ6
Q8K2T1	D3Z8Q6
Q60838	D3ZB71
Q9D3P9	G3V6J4
Q99KZ6	D4A0R1
Q3U284	F1LPP6
Q9D880	D3ZJX5
Q5XJV7	M0R5E8
Q64687	D3Z8B0
Q6NZR2	F1LR51
A0A1W2P872	F1LW70
Q8CE13	G3V7C3
Q9JKQ4	A0A0G2K2M1
A2AQ99	G3V8A3
