Q3UNH6,A0A0G2K331
Q61550,Q4KLH7
Q8BXQ2,D4A604
Q920L1,Q920R3
Q9QYK5,D4A6E6
Q9CYH2,Q6AXX6
Q9Z2A0,O55173
P97310,D3ZP96
Q9JJ66,Q62623
Q8R1Y2,Q5FVJ5
Q9QZN4,Q923V4
Q8C569,Q4QQT2
Q4VA53,D3ZXE2
Q76MZ3,Q5XI34
Q8BG79,D4A877
Q3UFM5,M0R6J5
Q3V3R1,B2GUZ3
A0A0R4J0M9,Q8CF97
P41588,P35000
Q6KCD5,A0A0G2K0J4
Q9QUP5,P03994
P70695,Q9Z1N1
Q8BWL5,F1LVI3
A4QPD3,F1M5R1
A0A0R4IZW5,Q9R0T4
Q711T7,B1WBP4
P14685,Q5U2S7
Q62432,O70436
Q3UPL0,Q9Z2Q1
P02716,P25110
Q8VBV4,D3Z902
O54819,Q02445
Q9JJZ2,Q6AY56
O55003,Q9ET45
A8C756,D3ZVT2
Q6ZWY3,P24051
Q0VEE6,D3ZPQ4
Q9JI11,D4A648
P08228,P07632
P47754,Q3T1K5
Q69ZR9,M0RAP6
P31955,P24338
A2AIX1,D3ZN76
P83917,D4A3T3
Q6XE40,O88954
E9PYG6,G3V9H0
P21279,D4AE68
Q71RI9,F1M572
Q3UDR8,Q6TUD4
Q64522,D3ZWE0
Q7TPD0,D3ZUT9
P05480,Q9WUD9
Q3UQ17,Q5S3S9
Q62108,P31016
Q62425,B2RZD6
Q8BJW6,D3ZUV3
O08689,O35312
A0A140LI59,D3ZZV0
Q9ESW4,D3Z9L0
Q8C0D4,A0A0G2K1Z2
Q80UG8,D4A331
Q80TZ3,A0A0G2JY26
P25916,B4F7B6
Q91VN6,B2RYL8
Q99P69,Q6AYL9
Q9CXE6,D4A5N4
Q8R1H8,D3ZT85
