Q96M02 D3ZAA3
Q8IVT5 Q9Z2H4
P04637 P60711
P19099 M0RAK3
P05412 P08592
P10109 D4AE21
Q8IWL3 Q9JI92
Q92905 G3V6K6
Q3SYG0 A0A0G2K666
P08238 D4A4T0
Q9NVH6 E9PSQ1
Q13501 P62138
O95905 A0A0G2K6X9
P04637 G3V8D5
Q9Y2G2 Q4KM58
Q9Y6K9 Q63429
Q9BTP7 Q6AXU8
Q9Y4K3 Q3MHS9
Q96FE5 D4A4I3
Q08379 P21913
Q9BXA7 D3ZBE5
P08238 A0A140TAD2
Q9NPC8 Q5XIH0
Q14974 P19139
Q9H165 Q9JJ05
Q13547 Q03351
Q9NS87 D3ZKB4
P13500 D4ADG3
P22894 Q9Z2I7
P10145 O55166
Q96CA5 P15999
P63279 P21708
P16401 D9I2F9
Q8IYX0 D3ZYS4
P04637 Q63014
P61018 Q6MGB4
P51149 P19139
P04637 P10361
P42858 G3V9P7
Q8IWA5 D4A9P9
P46663 P97583
P35240 G3V717
O14980 Q80U96
P10451 P12346
P68400 P09416
P51685 A0A0G2JYF9
Q9Y282 A0A0G2JWU7
Q9H1B5 F1LR11
Q13547 A0A0G2K2S5
Q6IA86 Q76KC6
Q9UBU9 Q7TQN4
Q8IY95 M0R934
P38606 A0A0G2JSU9
O75147 P10361
O94901 F1LVZ9
Q9UBU9 Q4QQW4
Q16635 Q07120
Q96S06 D4ADL6
Q9HCE1 D3ZJX5
O43291 D3ZCC2
Q9H0R1 G3V9Y6
P26367 D3ZKI6
Q9NVR7 D4AAU6
O43699 D4AEJ6
P15884 P84817
O00391 A0A0G2K9S3
P49736 G3V913
P63211 M0R5X1
Q9Y6K9 P47196
Q15746 Q9WVR8
P62829 P41499
P20036 F1LNN2
P30511 Q501W4
Q9HCE1 Q63429
Q16635 Q5PQN0
P02751 P60711
P15502 Q9Z2H4
P55001 Q2TGK5
Q9H0W5 B2GV01
Q8TF50 M0RAT6
P61289 G3V7D9
Q9NWW5 Q6P9X2
Q6ZUS5 F1M7G0
O60341 F1LNF0
Q13948 D3ZTZ6
P62633 D3ZME7
Q13733 Q4KLY9
Q92905 A0A0H2UHG3
Q7Z7G8 D3ZG95
P49674 F1LPJ6
Q32MH5 A0A0G2K023
P25054 B4F7A9
Q9H3C7 P02524
Q9Y297 B2RYB3
Q9UIL8 A0A0G2JY46
Q04206 D4A8U7
Q8N461 M0R4P4
P0CG47 F1LVV3
Q9P2X3 A0A0G2K313
Q6P1J9 G3V8S5
Q9NZC9 F1LQ24
P04637 Q8CFN2
Q04864 F1M5R1
Q5JT82 D4ADI3
Q96Q77 D4A189
Q8TBB1 B6RHI6
P62993 P62994
Q9H6I2 A0A096MJ32
Q15910 O70436
Q8N6N6 Q4V7B0
Q12933 D3ZK73
O95817 Q6UY90
P62993 P06761
Q96LR7 M0RCK7
O15217 Q5RJS8
P10451 P10824
Q92905 P17325
Q9BV73 D3ZDP2
Q14258 P17325
Q0WX57 Q792S6
Q9UHI8 A0A0G2K602
P01023 D3ZME7
P62993 F7EUU4
O95180 D3ZWK0
Q9UGL1 Q80WE1
O00584 M0RAI9
Q9NRD1 D3ZME7
P23919 G3V868
Q9HCE1 P10824
P51397 G3V7F6
P42345 Q63429
Q96JT2 B8QP48
P10275 A0A140TAH1
Q6IED9 D3ZVU3
P60520 P19139
Q99489 E9PTQ0
Q92905 Q80WE1
Q86V21 A0A0G2K947
Q99816 D3ZP96
Q86YR7 Q5PPM8
Q96EB6 Q5BK32
Q15415 Q4FZY2
P61978 P09416
Q5VWT5 O08950
P30419 R9PXV5
Q96I15 Q5I0J5
P34897 G3V817
Q8NCR3 Q5BJS9
P63165 A0A0G2JWU7
Q8WWL2 A0A096MK15
P63104 D3ZP96
P02751 A0A096P6L8
P48039 A0A0G2K1M0
O75636 A0A0G2K0U8
P26022 D4AE08
P01023 D3ZER1
P62993 P62260
P04637 Q56A27
O43623 G3V7Z4
Q7RTT5 D3ZJ70
Q14999 A0A096P6L8
Q16385 F7FHF3
P62829 B5DF02
Q9Y5F2 O35274
Q9Y5F1 Q6IRH4
Q9UH99 Q63429
Q9Y5E2 P29476
O14777 Q6P689
Q6ZNE9 D3ZCR1
Q8TBB1 D4ACM8
P62993 O35346
P12757 Q9Z2H4
Q16557 I7GAZ6
Q6VMQ6 G3V6S6
Q01844 P09416
P11362 P29067
P0CG48 Q80U96
P78562 P07808
Q9GZV9 P56718
P21802 P29066
Q16659 A0A096P6L8
P55061 Q6IN24
Q6UWT4 Q924A5
P14735 F7EUU4
Q9HAB8 A0A0G2K3B1
Q96G42 G3V950
Q8IVD9 P35559
Q96S96 Q925D4
P04049 Q63429
Q86Y78 Q62925
P18031 P63086
Q15822 Q06226
P17787 Q4KSH6
Q6UXH1 P49185
P49841 P17325
P04637 D4A8G7
Q92754 E9PTT0
Q9BPW4 D4A1U5
Q8TBB1 Q6IMZ0
P62993 P09416
P08253 E9PSM5
O60882 D3ZXD9
E7EX88 D4A7Y1
Q9NZW4 E9PTW3
P23142 D3ZQ25
Q04917 B5DF02
Q86X19 O88791
Q96BD0 A0A140TAA2
P05067 G3V6K6
O43542 F1LNG5
Q02045 P63035
Q9Y6K9 P62332
O15552 F1LRA6
P08069 F1LVV3
Q5VZF2 F1LQR5
P37059 D4ADC7
Q96RQ1 A0A0G2K1M2
P42858 F1LMH7
P04637 A0A0G2JVW5
Q9BPX4 Q02644
Q14258 B5DF91
Q96HT8 P09916
Q8IUH5 A0A0G2K238
Q13573 G3V6K6
O60522 Q5PPI9
Q16659 Q4KMA2
Q9C0D0 G3V963
P62136 D3ZUC2
Q3YBA8 F1LP07
Q15831 A0A0G2KA50
Q16877 D3ZZ38
P49841 B5DF02
P26367 P63016
Q09472 A0A0G2QC09
Q9NUS5 A0A0G2K3F6
Q9H0R1 Q499N2
Q9Y5Q9 D4A7Q9
Q9UBU9 A0A0G2K6Z8
Q7Z3S9 A0A0G2KBA2
P05067 P35739
O75508 A0A0G2K9S2
Q15717 D4A9N5
O14817 D3ZEV3
P60033 O35867
Q14258 Q80U96
P68366 Q68FP1
Q8N307 G3V6X2
Q9HB03 Q9ESG3
Q96G23 F1LR71
P29965 Q7TNB2
O43866 Q6AYS5
P60709 F7EUU4
O75364 P31388
Q99496 D4A8G7
Q5VU43 E9PTT0
P50440 D3ZX79
Q9UNE7 Q63429
P05181 Q66H73
Q9UBU9 A0A0G2K0D4
Q7Z3S9 Q63827
Q9HB89 G3V723
P48645 Q8VI82
P38398 A0A0G2JZG2
Q63HR2 F1LM54
Q9Y4K3 Q6AZ64
P98073 Q9WTV5
Q9Y6Q6 P52947
P01023 P21708
P08686 F1M1A2
P05108 P20428
P15538 F1M702
P84022 B1WBY1
