P54823 D3ZD73
Q6NVF0 D3ZGS3
Q8BGN3 B0BND0
Q61193 Q6MGC5
Q9D738 Q32Q00
Q64701 D3ZS28
G3X8P9 F1LRQ1
P47941 Q5U2U2
Q5BL07 D3ZZB2
Q8C0N1 Q5XI51
Q9JI11 D4A648
Q62210 B2RYH5
Q3V1I0 P10758
P39429 F1LMH8
S4R1F8 P14423
P60954 D4A3P4
P07147 Q566R2
Q4VGL6 Q32Q54
P43081 D3ZII9
P14602 G3V913
Q9D4H8 A0A0G2K761
P40338 Q64259
O08641 B0BNA1
Q8VHX6 D3ZHA0
P82347 F1LYS7
P11531 P11530
P16563 O88205
Q99LH8 D3Z962
P62908 D3ZVH2
Q7TPD2 M0RDY2
Q9WTK8 D3Z8A8
Q01705 Q07008
P18181 P10252
P39688 Q62844
P22682 D3ZV15
S4R1L6 D3ZF35
P30285 P35426
Q922F4 P62138
P33173 G3V778
P68369 P09527
P36993 P35815
Q5PRF0 F1LSK5
Q63850 P17955
Q9DB94 D4ADI9
A2AHD1 G3V7F3
Q3UM33 A0A0G2K1C8
Q9R0M3 Q63769
Q91VR7 Q6XVN8
P18762 Q8VBU7
Q8CG64 Q4KLJ4
Q78IQ7 A0A0H2UHY4
Q6P2B1 D4AAM0
Q64685 G3V680
O70172 F1LX22
Q9QXZ7 M0R4U8
E9PYV1 E9PT44
K3W4R5 F1M949
Q8BYI8 D3ZWJ9
P21729 P52500
Q60952 F1M7J7
Q7TNS7 G3V8N2
P60766 Q8CFN2
Q8BUY9 P53610
P32883 P08644
Q8R4D5 Q8R455
Q0P678 Q6TQE1
Q9D2C7 P55062
Q8BTM8 Q4V8E2
Q64689 Q80WD1
G5E8F8 Q5M823
Q61545 P68511
B2RUG9 B2RYU7
Q8R1B8 P04640
P63280 Q6IN22
Q8VEM1 M0R915
Q64729 D4ADD3
Q6ZPU9 G3V614
Q8BUZ3 D4AC64
Q923J1 A0A0G2JYN5
O88346 Q7TNB2
P11499 P34058
P28301 P16636
E9QQ21 Q695P6
Q2XU92 A1L1K7
P61213 P61214
Q99MH6 D4AAV5
Q76MZ3 Q5XI34
P51942 Q5XI24
P18893 P29456
Q921K2 P27008
P27870 A0A0G2K0P1
Q9R0A5 D3ZEI3
Q9Z2V5 D4ACL8
Q9QUI0 P61589
Q64264 G3V7B9
Q8BZA7 Q9QXI3
Q61702 B2RYM3
Q68FF6 A0A0G2K527
Q8C5T8 A0A0G2JWV4
Q8CAQ8 A0A0G2JVH4
Q9CZ82 M0R976
B2RUG9 Q6TMG5
Q9EPM5 D3ZM91
O88522 A0A0G2K8G0
P23927 P23928
P04344 F1LP53
Q61597 F1LQX2
Q925U3 O70534
Q8K2Y3 B2RZB3
Q3U9N4 G3V8V1
Q8BLI0 A0A1W2Q6M9
O70433 O35115
P43432 E9PU71
Q6PHP6 D3ZAV8
Q64727 A0A0G2K8V2
Q60838 P54645
Q9CWH0 P17702
P26369 P61980
A0A140LI28 F1M276
Q8BZ36 D4A4T6
Q9JIL2 G3V896
O70421 G3V833
Q80YW0 A0A0G2K0A0
P01101 P12841
P47754 Q3T1K5
Q3V3V9 D3ZC15
Q6P1D7 F1LU18
E9PVC2 D4A4V7
Q3U133 F1LSG4
O09105 D4A7M5
P52927 O88791
Q9CR46 Q5I0J4
Q6DTY7 D4A9K6
Q9WV60 P60522
Q9EPR5 F1M805
P51141 Q9WVB9
Q6NXI8 M0RDW5
Q08297 B5DF04
Q9WVB0 F1M9Y9
Q8BYK4 D3ZEP9
P70362 Q9ES53
Q69ZS6 Q9Z2I6
P46096 P21707
P43241 Q9ESV7
Q8CGP5 Q6I8Q6
E9PXY8 Q6AZ64
Q6PCZ4 B2RZ48
Q8BP00 D4A6J0
Q61550 Q4KLH7
O70283 G3V7U3
Q91ZT5 A0A0G2K2N8
Q4VA93 A0A0G2JTW1
O55022 A0A096MJY3
Q80XL7 B1WC86
Q61592 Q63772
P20029 P06761
O89110 Q9JHX4
Q8QZV0 M0R7V1
Q64261 F1MA87
A0A1L1SQU7 A0A0G2K5L1
E9Q5I3 D3ZAU0
Q9D1D4 Q63584
P04426 D4A9J2
P97760 Q5EB90
Q8BX07 M0R5X1
P19091 A0A0G2JSI8
A0A0R4J0K8 M0RCM9
P23116 Q1JU68
P29788 Q3KR94
Q0VBD0 A0A0G2JVU1
P04202 P17246
Q8BWJ3 F1M1C9
P47774 Q6U2D6
Q9JIW9 F1LQ62
Q3UYI5 D3Z832
Q61411 P20171
Q5SRY7 D3ZXC6
Q9ERZ3 P08483
Q99LV7 F1LRM6
P23804 A0A0G2JVC1
E9Q152 F7ENY6
P55258 P35280
Q768S4 O54880
Q62523 D4A7U1
Q61462 Q62737
Q80XI4 O88377
Q8K1Z0 Q68FT1
Q6PB70 A0A0G2K5K1
G5E8E3 A0JPQ7
Q8BJM5 B2RZA8
Q8BRC6 D3ZBC9
A2ANY6 A0A0G2K9L9
Q8R2G4 Q6AYJ9
P28867 A0A140UHX0
P48299 F1LQB0
Q8VEG6 F1M642
P25799 F1LQH2
Q99JX7 Q5U2U8
Q61501 D3Z8J6
P05017 A0A0G2KA77
P15208 P53565
Q9R0L6 A0A0G2K0X1
Q9Z2C9 A0A0G2K1P1
Q8BGM7 D4A7E4
O88933 M0R8Z6
Q9CQN1 Q5XHZ0
Q8K3I9 B2RYK0
D3Z6S9 A0A0H2UHL0
Q8VC10 Q8R430
Q9CZN7 Q5U3Z7
O70589 A2RUW1
Q99P47 Q6AZ28
Q3U214 Q5XIF4
P54841 P54842
P59267 Q9JKR5
P32443 G3V6T9
P20181 P18280
P81269 Q6PDW4
Q8R0V5 D3ZBB7
Q6PGB8 G3V781
P47811 Q56A33
B2RTJ2 D4ADH5
Q99N11 D3ZC16
Q8VDD8 A0A0G2K6R7
A4UUI3 F1LVN3
P70434 F7FGY2
Q3U0X8 Q5BK49
A2AN08 F1LQI5
P35456 M0R3P2
Q5XPT3 Q6P7A1
I7HJS2 Q4KLG6
Q9CXI3 G3V9S5
Q8BX57 A0A140TAA2
Q8BU14 Q7TP42
P43275 D4A3K5
O35565 P70492
Q9ET39 D4A6B3
P06240 A0A0H2UHH7
Q8C428 D3ZJC3
Q07832 A0A140TAD2
Q6NXZ1 D4A2C1
P63087 P63088
O08705 P26435
Q9CQI4 F1LQ29
Q9CR83 G3V6X2
P13020 Q68FP1
Q6NZK5 F1LT68
B2RUG9 A0A0G2K8G0
Q501J2 Q5I0J2
Q8VHS6 F1M9V9
O08749 Q6P6R2
Q64010 Q63768
Q91XX8 D3ZUH3
Q91Y21 E9PSN7
O08992 Q9JI92
Q61224 P28565
Q9CQV8 P35213
O08530 P48303
P52787 A0A0G2JSS6
E9QNX7 F1LRK1
Q9CQ25 D4AA02
Q8BIR2 E9PU85
Q14DH7 A0A0G2K047
Q8CFE2 D3ZMN2
P59941 Q4FZY2
P0C7N9 B2RZB8
Q91Z58 F1LWM8
A0A0R4IZW5 Q6TMG5
E9QM77 T2CB11
P97321 F1LMH7
A2A6Q5 Q4V8A2
Q53YU8 Q6SJV7
Q8BZP8 A0A0H2UHN0
F8VPR5 O70593
Q9JLF7 P21555
Q8VHP8 P10683
Q6R5P0 O08726
Q6ZQ38 B5DF91
Q8BZL8 M0R4L0
Q9Z1D7 A0A0G2K4Z9
P59178 Q3MIF2
P17012 A0A096MJV6
P27661 O54861
P28649 Q8K5A9
Q6GQT1 P07174
O08795 B1WC34
Q8BH65 D4A544
Q62312 P38438
Q9CRC3 Q505I4
Q9Z120 M0R637
A2A9C3 D3ZUQ8
P49312 Q0ZFS8
O09000 D3ZMR1
P53566 D4A414
P97929 Q66MH4
O35719 A0A0G2JTF1
Q4U2R1 A0A0G2JUC9
B2RQA5 Q99P67
Q9EQM6 D4A2G4
Q9WV52 D4ACD5
Q6P549 V9GZ88
Q6P3B9 A0A0G2K1B0
P60710 F7EUU4
P33766 D3ZNA8
Q63844 Q4QQW4
Q9QXA6 P82252
Q9D3J8 Q3HS82
Q8BP47 F1LPV0
P08226 P02650
O55123 G3V788
P41245 D3ZYK8
Q9ERA6 Q5U2Y6
P07321 P29676
Q91WR6 D3ZJB2
B2RWS6 A0A0G2QC09
E9PZW7 D4A4J1
Q9CQA3 P21913
Q8CIM3 P84850
Q9WTK7 A0A0H2UI02
Q9D2Z4 Q5FVJ8
Q5DU14 Q9ERC1
O08537 Q59IV8
O35160 P81062
O08859 M0R4G8
Q8C145 Q4V887
P08752 P04897
Q61016 A0A0G2JSR6
P62880 P54313
Q3UIK0 P56741
E9PYB0 F1LUD3
Q9CQF3 Q4KM65
A0A0A0MQ90 D3ZTB5
P41539 P06767
Q8C9S4 A0A0G2K8K1
S4R1M9 F1LWM8
Q4VA93 F1LS98
Q8BQV2 A0A0G2JYQ6
H3BJD6 O35867
B1AYB6 A0A1B0GWQ8
Q8BGW6 D4AB29
P05214 B2RYB3
O89098 A0A0G2JXF2
Q8C2A2 D3ZUE3
Q6PFY1 Q62747
Q32KG4 M0R6H3
P25118 A0A0G2JSU9
O88495 G3V7H9
Q6NXH9 Q6IG03
Q9D529 D3ZH38
Q99NA9 Q5XI70
P22933 P18506
P83741 Q9JIH7
Q6PR54 A0A0G2KB73
P56386 O89117
P86049 D3ZAE2
Q8CI61 F1M3K6
Q3TTL0 Q66H33
P61027 Q5RKJ9
Q80UF4 A0A0G2JUD0
P70331 B0BN88
Q8C8K6 F7FKK4
O08786 F1LQR7
Q9D9X6 Q68FQ1
B1AUC4 F1M158
Q6Y4S4 Q7TSB7
Q6PGH1 O70454
Q9R0S2 A0A0G2KA10
Q70IV5 G3V9G5
Q8CF93 Q6UE39
Q8VBV3 D3ZBP3
H3BKP8 F1LRC7
Q3TNB8 A0A0G2K2U9
Q924C6 D4A9V5
Q61081 A0A140TAG9
B1AR17 F1LPP8
Q99L96 B0BN20
Q9DCD2 Q99PK0
Q8BHA0 Q5BJY3
Q62186 Q07984
Q61625 F1LXB6
Q8BGU2 P98087
Q9JHG0 D3Z9H1
Q9R171 P63182
Q80X66 Q5EAP0
Q80WQ4 D3ZQW3
P18654 D3Z8E0
Q9DB10 D4A7Y9
Q8VCZ2 Q497B2
Q9WUR0 A0A0G2KAE5
Q8QZS3 Q76JQ2
Q68FD7 F1LUD4
O54799 F1M5M1
Q62210 Q6P6S1
Q9CR53 D4A1W6
Q01279 G3V6K6
Q9ERZ6 D3ZYS4
Q9DBR0 Q63014
P97819 P97570
P61979 P61980
Q9WU78 A0A140TAA4
Q9WUP1 Q9JJ73
P46460 F1LQ81
Q69ZK0 D3ZS72
V9GXA7 F1M3U4
P51437 G3V8S9
Q91Y86 F1LP66
A0A0R4J046 D3ZNU1
Q80ZA7 A0A0G2K2Z5
A2AN08 Q63768
Q5STE3 D3ZRF7
Q80UY2 A0A0G2JSI8
Q7M6Z4 Q7M6Z5
P10833 D3Z8L7
Q8CIT0 P01143
O70481 D3ZQC6
Q9QUQ5 Q91ZM1
P24638 Q9R297
P21761 Q01717
Q9Z1E3 Q63746
Q9CR56 D3ZCK2
P04184 M0RCX2
A2A259 D3ZDT6
A2ARI4 Q9Z2H4
P82350 D3ZDQ9
Q8VEK3 Q6IMY8
O09106 P84079
Q8CFC2 F6QBA3
P97477 A0A0U1RVI2
Q9D906 Q641Y5
Q14BN8 D3ZAT3
Q60825 Q924U5
Q3UH60 F1LQP9
P98083 G3V8S2
F8VPU6 A0A0G2JZU8
Q61658 D4AEG9
Q6DFW4 Q9QZ86
Q7TT16 Q99NI4
P70451 A0A140TAC4
Q9D7X1 D3ZXL9
Q6P5B5 B1H2A6
Q9CXV0 G3V7Z7
P25801 A0A0G2QC60
Q3ZT31 F1M998
Q8BH80 Q9Z269
O35367 D3ZVD7
O35459 Q62651
Q8BTE0 D4A7Q3
Q8K2B3 Q920L2
P48540 F8WFL7
Q9JKF6 F1M753
A0A0R4IZW5 Q6AXM8
Q8BGX7 F1LW07
Q63844 P21708
Q8BWD2 D4AEE6
Q9Z1R2 Q6MG49
A0A0R4J049 D4A0E8
P30873 P28646
Q505D9 D3ZTX1
Q8R0N9 Q2TGK5
Q9R190 B2GV01
O55042 P37377
Q9QXE5 Q3MHS0
Q920H4 P08911
Q9D8V7 G3V878
Q9CPQ3 Q75Q41
Q3TB92 A0A0G2K456
Q8BJ90 F1M1R7
E9Q5M9 D3ZAB7
P06684 A0A096P6L9
P48678 G3V8L3
O88738 A0A0G2JZ53
Q8QZY4 D3ZWD2
Q8BZY3 A0A0G2JZQ1
Q8R182 A0A0G2K045
Q924W7 D4A9H6
Q7TSU7 D4A934
O35305 F1M8Z6
P54116 Q5XI04
Q925H0 A0A0G2JTM0
Q05306 A0A0G2K7A5
P52800 B2B9A9
A2AGA4 D3ZA62
O35393 G3V7D4
Q05BC3 M0RDD8
P99024 P69897
Q9Z320 Q6IFW8
Q8BZ00 D4A7H1
Q0GGX2 D3Z8I0
P49452 E9PSW8
Q8R1F6 D4A0C3
Q2PZL6 D3ZEH1
Q80ZF2 F1LVL8
B8JJ61 Q6MG46
P35762 Q6P9V1
Q9ERS7 G3V7W4
Q9QZ06 A2RUW1
Q6A025 D3ZPW4
P01575 P70499
P33896 D3ZDS9
O35664 M0R8H7
Q6P6L0 D4A900
E9Q6H8 E9PTG5
O54833 Q7TQN4
Q8BRU6 F1LPL9
Q8BK63 P52631
O35972 Q63750
Q9D7N6 P0C2C1
Q8K2M0 Q5PQN9
Q99LI2 A0A140TAF5
Q8R5A3 D3ZDZ1
P97503 A0A0G2JZE5
Q8BHB8 P41738
P51678 G3V6M2
P14234 Q5FWY5
P10855 P41739
Q9CX99 Q4KM68
Q3TTA7 A0A0G2K8K2
Q9D2G2 G3V6P2
Q8R2G6 Q6QD51
P46061 F1MAA5
Q91YL3 D3ZYQ8
Q6PCN3 A0A0G2JTK1
P56473 F1MAG1
P09055 D3ZWA8
P49766 G3V707
Q01853 P46462
P18762 D3ZWB1
O54709 O70215
Q9Z1K6 D3ZJB8
O35544 F1LR26
Q68FM7 A0A0G2JZC6
P35639 Q496Y7
Q9JLC6 P41224
Q9D1B9 D3ZJY1
P55086 Q63645
P97952 Q00954
Q9JJY3 D3ZLQ6
P68040 O08837
Q3V3A1 P62986
Q3V188 D4A3B8
Q9CTH6 Q3MHU2
Q8BGN6 D3ZZA9
P46938 Q2EJA0
P70380 Z4YNI9
Q9Z0M9 F7F5P4
Q8QZT4 A0A0G2JY65
Q80XD8 Q9ES75
Q8R5L3 A0A0G2KA50
Q8R015 B2GV52
Q8VED2 G3V6R9
Q5EE38 Q4FZR5
H7BX60 M0R4T5
Q8K2X3 A0A0H2UHR9
A2RT67 D4A2H4
P61375 P61376
O55203 E9PTQ0
Q9D0T1 P55770
Q8BG92 A6JUQ6
Q91VN6 B2RYL8
Q6VNS1 Q03351
Q9JJ06 Q9JJ05
F8VQ87 D4ABN8
O08586 O54857
O08842 O35977
E9PYG6 G3V9H0
Q9R0X2 D3ZW34
O35598 A0A0G2K562
Q99PT1 Q5XI73
Q2TUM3 D3ZIP1
Q8BX46 P84551
O88712 F7FG31
Q99J56 F7FNS3
Q9R0R1 D4ADK7
P27773 A0A0H2UHM5
O35732 C0H5Y5
A2RRY8 A0A0G2K8X4
Q3ULF4 Q7TT47
Q8R5F8 D3ZDV2
P62073 P62074
F6ZW42 E9PU86
P61028 P70550
Q8VDR7 D3Z877
Q80UW5 D3Z837
Q9QXP4 E9PSU2
Q8C6G0 G3V761
E9Q4E4 D3ZX30
O35704 D4A2H2
Q925E8 D3ZG45
P97363 F1LSV4
Q1RLK6 D4A3H6
Q8BUK6 Q7TQ77
Q505K2 M0R5L5
Q64362 Q5FVH4
P16305 G3V6G3
Q64518 A0A0G2K9N9
O08712 O08727
P48193 D3ZIP3
Q78HU7 Q6XFR6
P11247 A0A0G2K1A2
Q5SW46 D4A400
Q8BGV3 A0A0G2JSJ1
P16951 Q00969
Q6ZQM0 Q8CIN9
