4419-8043;0:0,1:3,2:4,5:2,6:5,7:6;3:1-4:1,7 P54823,Q3UFB7,P12023,Q3KNM2,P70372,Q91XD8,Q61510,P62259,Q80V62,P70196 D3ZD73,P35739,P08592,B0BNF6,B5DF91,Q499U1,D4A9N5,P62260,A0A0G2K5U0,B5DF45
6559-6710;0:1,1:2,2:0,4:6,5:4,6:7;3:5 Q3UFB7,Q9WTX6,Q61508,P12023,Q80V62,P70372,P05627,P62259,Q61510,Q80TQ2 P35739,B1WBY1,Q62894,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,F1LPJ6
6578-6710;0:1,1:2,3:0,4:6,5:4,6:7;7:5 Q80V62,P35761,Q8BFW9,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,P02340 A0A0G2K5U0,A0A0G2K2S5,D3ZNG4,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,P10361
6561-7145;0:0,1:2,3:1,4:5,5:3,6:6;7:4,7 Q80V62,P09405,Q76KJ5,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q9CQJ4 A0A0G2K5U0,Q5U328,D4ADE7,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,Q4KLY4
6557-7145;0:0,1:2,2:1,4:5,5:4,6:6;3:7-7:7 Q3UFB7,Q6PCM2,Q8BGA7,P12023,Q80V62,P70372,Q61510,P62259,P05627,Q7TPD0 P35739,A0A0G2K7S2,F1M0G5,P08592,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,D3ZUT9
6583-7155;0:0,1:2,3:1,4:5,5:3,6:6;7:4,7 Q80V62,Q7TPD0,Q8BGA7,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q6PCM2 A0A0G2K5U0,D3ZUT9,F1M0G5,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,A0A0G2K7S2
6169-6673;0:1,1:0,2:2,3:3,4:4,6:6;5:5,7-7:5,7 Q3UFB7,Q7TPD0,Q8BGA7,Q80V62,P12023,P05627,Q61510,P70372,Q6PCM2,P62259 P35739,D3ZUT9,F1M0G5,A0A0G2K5U0,P08592,P17325,D4A9N5,B5DF91,A0A0G2K7S2,P62260
4229-8044;0:3,1:0,3:4,5:5,6:6,7:2;4:1,7 Q99JX7,Q80V62,Q00780,P12023,P70372,Q61510,P62259,Q6IFX3,Q3UFB7,P97310 F1MA52,A0A0G2K5U0,D4AC70,P08592,B5DF91,D4A9N5,P62260,Q6IFW2,P35739,D3ZP96
4350-8044;0:5,1:3,4:1,5:2,6:4,7:6;2:7 Q3UFB7,Q99JX7,Q61510,Q00780,Q80V62,Q6IFX3,P70372,P62259,P12023,P97310 P35739,F1MA52,D4A9N5,D4AC70,A0A0G2K5U0,Q6IFW2,B5DF91,P62260,P08592,D3ZP96
6578-6671;0:1,1:2,3:0,4:6,5:3,6:7; Q80V62,Q3U0M1,Q4KL14,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q91XA2 A0A0G2K5U0,E9PU02,D3ZEX3,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,D4AEL2
7145-7157;0:0,2:2,3:4,4:3,5:5,6:6;1:1 Q3UFB7,P60521,Q8BGW1,P12023,Q61510,P05627,P70372,P62259,Q80V62,Q921E6 P35739,P60522,Q2A121,P08592,D4A9N5,P17325,B5DF91,P62260,A0A0G2K5U0,B5DF02
6559-7145;0:0,1:2,3:1,4:5,5:4,6:6;7:3 Q3UFB7,Q921E6,Q8BGW1,P12023,Q80V62,P70372,P05627,P62259,Q61510,P60521 P35739,B5DF02,Q2A121,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,P60522
6585-6671;0:1,1:2,2:0,4:6,5:4,6:7;7:3 Q3UFB7,P14211,P21275,P12023,Q80V62,P70372,Q61510,P62259,P05627,P36895 P35739,P18418,Q6AYU9,P08592,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,Q78EA7
7143-8044;0:3,2:0,4:5,5:4,6:6,7:7;1:1 Q80V62,P05627,Q8CJ69,P12023,Q61510,P70372,P62259,Q60676,Q3UFB7,P21274 A0A0G2K5U0,P17325,F1M661,P08592,D4A9N5,B5DF91,P62260,P53042,P35739,G3V8W4
6554-6579;1:2,2:1,3:7,5:4,6:6,7:0;4:5 P21274,Q61510,Q80V62,P12023,Q60676,P70372,P62259,Q8CJ69,Q3UFB7,P05627 G3V8W4,D4A9N5,A0A0G2K5U0,P08592,P53042,B5DF91,P62260,F1M661,P35739,P17325
6554-6554;0:7,2:1,4:5,5:4,6:6,7:0;1:2,3-3:2 Q80V62,Q60676,P21274,P12023,Q61510,P70372,P62259,Q8CJ69,Q3UFB7,P61161 A0A0G2K5U0,P53042,G3V8W4,P08592,D4A9N5,B5DF91,P62260,F1M661,P35739,Q5M7U6
6554-8148;0:4,2:2,4:6,5:0,6:7,7:1;1:5-3:3 P12023,P61161,Q8CJ69,Q80V62,P70372,Q61510,P62259,P21274,Q3UFB7,Q60676 P08592,Q5M7U6,F1M661,A0A0G2K5U0,B5DF91,D4A9N5,P62260,G3V8W4,P35739,P53042
7145-7157;0:0,2:2,3:4,4:3,5:5,6:6;1:1,7 Q3UFB7,Q9CQJ4,Q8VCD5,P12023,P05627,Q61510,P70372,P62259,Q80V62,P68510 P35739,Q4KLY4,D4ABU0,P08592,P17325,D4A9N5,B5DF91,P62260,A0A0G2K5U0,P68511
6157-7157;0:0,1:1,2:2,3:4,4:3,6:5;5:6-7:6 Q3UFB7,Q80TQ2,Q6IFZ6,Q80V62,P12023,Q61510,P05627,P70372,P62259,D3YZV8 P35739,F1LPJ6,Q6IG01,A0A0G2K5U0,P08592,D4A9N5,P17325,B5DF91,P62260,A0A0G2JTP3
6673-6673;1:1,2:2,3:4,4:3,6:6,7:7;0:0-5:0,5 Q80V62,O54833,Q9R0B6,P12023,Q61510,P05627,P70372,P62259,Q3UFB7,O35071 A0A0G2K5U0,B4F7A9,A0A0G2K023,P08592,D4A9N5,P17325,B5DF91,P62260,P35739,F1M9C8
6557-6673;0:1,1:2,2:0,4:6,5:3,6:7;7:5 Q3UFB7,O54833,Q9R0B6,P12023,Q80V62,P70372,P05627,P62259,Q61510,O35071 P35739,B4F7A9,A0A0G2K023,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,F1M9C8
7154-7167;0:0,2:2,3:4,4:3,5:5,6:6;1:1,7-7:1 Q3UFB7,P35821,Q8BPP5,P12023,Q61510,P05627,P70372,P62259,Q80V62,P39054 P35739,P20417,D3ZTT2,P08592,D4A9N5,P17325,B5DF91,P62260,A0A0G2K5U0,P39052
6561-6671;0:1,1:2,2:0,4:6,5:4,6:7;7:3,5 Q3UFB7,P42227,Q9D771,P12023,Q80V62,P70372,Q61510,P62259,P05627,Q9JLN9 P35739,P52631,Q66H28,P08592,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,P42346
6555-7155;0:0,1:2,3:1,4:5,5:3,6:6;7:7 Q3UFB7,Q9QUI0,Q8BWA8,P12023,Q80V62,P70372,Q61510,P62259,P05627,P63001 P35739,P61589,D4A646,P08592,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,Q6RUV5
6673-7157;1:0,2:2,3:3,4:4,6:5,7:6;0:1,7-5:1 Q80V62,Q04207,G5E8Z2,P12023,Q61510,P05627,P70372,P62259,Q3UFB7,P70168 A0A0G2K5U0,Q7TQN4,F1LT11,P08592,D4A9N5,P17325,B5DF91,P62260,P35739,F2Z3Q8
6557-7157;0:0,1:2,2:1,4:5,5:4,6:6;3:7 Q3UFB7,Q04207,G5E8Z2,P12023,Q80V62,P70372,P05627,P62259,Q61510,P70168 P35739,Q7TQN4,F1LT11,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,F2Z3Q8
6671-7154;0:1,1:0,3:3,4:4,6:5,7:6;2:2-5:7 Q3UFB7,P97760,P12023,Q6NXY9,P70372,Q6P5F9,Q61510,P62259,Q80V62,Q9D483 P35739,Q5EB90,P08592,D4A1K1,B5DF91,Q80U96,D4A9N5,P62260,A0A0G2K5U0,Q5XIL3
6559-6710;0:1,1:2,3:0,4:6,5:3,6:7;7:5 Q80V62,Q60838,Q5HZK1,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q3ULA2 A0A0G2K5U0,D3ZB71,Q3B7T8,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,F1LMH8
6710-7156;1:0,2:2,3:3,4:4,6:5,7:6;0:1,7 Q3UFB7,P29037,Q91VF6,P12023,Q61510,P05627,P70372,P62259,Q80V62,P19324 P35739,Q66HB1,F1M0M7,P08592,D4A9N5,P17325,B5DF91,P62260,A0A0G2K5U0,Q5RJR9
6585-6708;0:1,1:2,2:0,4:6,5:4,6:7;3:5-7:3,5 Q80V62,P01108,O35710,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,Q3TDN2 A0A0G2K5U0,P09416,Q9ET55,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,Q5BK32
6585-7156;0:0,1:2,3:1,4:5,5:3,6:6;7:4,7 Q3UFB7,P01108,O35710,P12023,Q80V62,P70372,P05627,P62259,Q61510,Q3TDN2 P35739,P09416,Q9ET55,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,Q5BK32
6579-7157;0:0,1:2,3:1,4:5,5:3,6:6;2:7 Q3UFB7,P31750,P09225,P12023,Q80V62,P70372,Q61510,P62259,P05627,P68369 P35739,P47196,Q06332,P08592,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,P68370
4229-6708;0:1,1:0,3:3,4:2,5:6,6:7;2:4 P23249,Q9CXU1,P63157,P12023,P70372,Q80V62,Q61510,P62259,Q921E6,Q62440 D3ZUC2,D4A7J4,P63156,P08592,B5DF91,A0A0G2K5U0,D4A9N5,P62260,B5DF02,D3ZCM7
6556-7154;0:0,1:2,2:1,4:5,5:4,6:6;3:7-7:7 Q3UFB7,Q99N87,Q9D075,P12023,Q80V62,P70372,P05627,P62259,Q61510,Q9D7N3 P35739,D3ZYT2,Q5RJK3,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,B0BN68
6557-6578;0:0,1:1,2:2,3:3,4:4,6:6;5:5-7:5 P05627,Q3THK3,Q8BFZ2,P12023,Q80V62,Q3UFB7,P70372,P62259,Q61510,P35761 P17325,Q6AY96,F1LR11,P08592,A0A0G2K5U0,P35739,B5DF91,P62260,D4A9N5,A0A0G2K2S5
6231-6555;0:1,1:0,2:3,3:2,4:4,6:5;7:6 O54864,P01108,P12023,O35652,Q3UFB7,Q80V62,P70372,Q61510,P62259,Q64010 G3V6S6,P09416,P08592,G3V6V6,P35739,A0A0G2K5U0,B5DF91,D4A9N5,P62260,Q63768
6579-6710;0:1,1:2,2:0,4:6,5:4,6:7; Q80V62,P31750,Q9Z0F4,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,P02340 A0A0G2K5U0,P47196,Q9R010,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,P10361
6555-7157;0:0,1:2,2:1,4:5,5:3,6:6;7:4,7 Q3UFB7,Q04207,P28481,P12023,Q80V62,P70372,Q61510,P62259,P05627,P11276 P35739,Q7TQN4,F1LRM7,P08592,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,A0A096P6L8
6561-7155;0:0,1:2,2:1,4:5,5:4,6:6;7:7 Q80V62,P11276,P28481,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q04207 A0A0G2K5U0,A0A096P6L8,F1LRM7,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,Q7TQN4
6671-7143;1:0,2:2,3:4,4:3,6:5,7:6;0:1,7 Q3UFB7,Q8K2G4,Q3V3N7,P12023,Q61510,P05627,P70372,P62259,Q80V62,Q60676 P35739,Q66H90,D4A4U2,P08592,D4A9N5,P17325,B5DF91,P62260,A0A0G2K5U0,P53042
6579-6671;0:1,1:2,2:0,4:6,5:4,6:7;7:3 Q3UFB7,Q60676,Q3V3N7,P12023,Q80V62,P70372,P05627,P62259,Q61510,Q8K2G4 P35739,P53042,D4A4U2,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,Q66H90
6556-6585;0:0,1:1,2:3,3:2,4:4,6:6;5:5,7-7:5,7 P05627,P27641,Q5SSH7,P12023,Q80V62,Q3UFB7,P70372,P62259,Q61510,P01108 P17325,G3V817,D3ZG78,P08592,A0A0G2K5U0,P35739,B5DF91,P62260,D4A9N5,P09416
6555-7157;0:0,1:2,3:1,4:5,5:3,6:6;2:7 Q80V62,Q8K1M6,P47867,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,P25911 A0A0G2K5U0,O35303,F1M7L6,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,Q07014
6583-7157;0:0,1:2,3:1,4:5,5:3,6:6;7:4,7 Q3UFB7,P60710,O70624,P12023,Q80V62,P70372,Q61510,P62259,P05627,P11276 P35739,P60711,G3V6E8,P08592,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,A0A096P6L8
6561-7145;0:0,1:2,2:1,4:5,5:4,6:6;3:7-7:7 Q80V62,P11276,O70624,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,P60710 A0A0G2K5U0,A0A096P6L8,G3V6E8,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,P60711
6157-7169;0:0,2:2,3:3,4:4,5:1,6:5;1:6-7:6,7 Q3UFB7,P11276,O70624,P12023,Q61510,P05627,Q80V62,P70372,P62259,P60710 P35739,A0A096P6L8,G3V6E8,P08592,D4A9N5,P17325,A0A0G2K5U0,B5DF91,P62260,P60711
2827-6418;1:0,3:3,4:4,5:7,6:5,7:6;0:1 Q3UFB7,Q9Z2D8,Q91ZZ5,P12023,Q61510,Q5RL10,P70372,P62259,Q80V62,Q8VDI7 P35739,F7EY92,Q5ECL0,P08592,D4A9N5,Q9WUK0,B5DF91,P62260,A0A0G2K5U0,Q5XIR9
6582-7157;0:0,1:2,2:1,4:5,5:3,6:6;3:7-7:7 Q3UFB7,A2A432,Q5JCT0,P12023,Q80V62,P70372,Q61510,P62259,P05627,Q8C2Q3 P35739,D3ZK73,Q8CH87,P08592,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,M0R9Q1
6555-6673;0:1,1:2,2:0,4:6,5:3,6:7;3:5-7:4,5 Q3UFB7,O54833,P06796,P12023,Q80V62,P70372,Q61510,P62259,P05627,Q04207 P35739,B4F7A9,P04468,P08592,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,Q7TQN4
6557-7155;0:0,1:2,3:1,4:5,5:4,6:6;7:7 Q80V62,Q04207,P06796,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,O54833 A0A0G2K5U0,Q7TQN4,P04468,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,B4F7A9
6156-6673;0:1,1:0,2:2,3:3,4:4,6:6;5:5,7-7:5,7 Q3UFB7,Q04207,P06796,Q80V62,P12023,Q61510,P05627,P70372,O54833,P62259 P35739,Q7TQN4,P04468,A0A0G2K5U0,P08592,D4A9N5,P17325,B5DF91,B4F7A9,P62260
4378-6557;2:2,3:7,4:3,5:0,6:4,7:6;0:1,5 Q61510,G3X8R0,Q3UFB7,Q99JX7,Q80V62,Q9DCN7,P70372,P62259,P12023,P05627 D4A9N5,B2RZ37,P35739,F1MA52,A0A0G2K5U0,D3ZG84,B5DF91,P62260,P08592,P17325
6710-7154;1:0,2:2,3:3,4:4,6:5,7:6;0:1,7-5:1 Q80V62,P50516,Q99L60,P12023,Q61510,P05627,P70372,P62259,Q3UFB7,Q9D7N3 A0A0G2K5U0,D4A133,M0RBN8,P08592,D4A9N5,P17325,B5DF91,P62260,P35739,B0BN68
6561-7154;0:0,1:2,2:1,4:5,5:4,6:6;3:7 Q3UFB7,P50516,Q99L60,P12023,Q80V62,P70372,P05627,P62259,Q61510,Q9D7N3 P35739,D4A133,M0RBN8,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,B0BN68
6561-7157;0:0,1:2,2:1,4:5,5:4,6:6;3:7-7:3 Q3UFB7,P97313,Q8BHH2,P12023,Q80V62,P70372,Q61510,P62259,P05627,P51150 P35739,D3ZTN0,D3ZP15,P08592,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,P09527
6671-6671;0:0,1:1,2:2,3:3,6:6,7:7;4:4-5:5 Q921E6,Q6PR54,P12023,Q9QZ57,Q80V62,P70372,Q61510,P62259,Q6P5F9,D3YYC3 B5DF02,A0A0G2KB73,P08592,G3V7G6,A0A0G2K5U0,B5DF91,D4A9N5,P62260,Q80U96,A0A0G2K5A7
4229-6579;0:0,1:1,3:4,4:2,5:5,6:6;2:3 P23249,P37237,Q62559,P12023,P70372,Q80V62,Q61510,P62259,Q3UFB7,Q61166 D3ZUC2,Q76LI5,D4A5T7,P08592,B5DF91,A0A0G2K5U0,D4A9N5,P62260,P35739,Q66HR2
6710-7157;1:0,2:2,3:4,4:3,6:5,7:6;0:1,7-5:7 Q80V62,Q6QI06,Q99MX0,P12023,P05627,Q61510,P70372,P62259,Q3UFB7,P68369 A0A0G2K5U0,F1M4J0,D3ZPV2,P08592,P17325,D4A9N5,B5DF91,P62260,P35739,P68370
2827-6559;0:2,1:0,3:1,4:5,6:4,7:6;2:7 P02340,Q62158,Q80V62,Q8K136,P12023,Q61510,P70372,P62259,Q3UFB7,Q60838 P10361,B5DFI5,A0A0G2K5U0,D3ZSG1,P08592,D4A9N5,B5DF91,P62260,P35739,D3ZB71
6555-7155;0:0,1:2,2:1,4:5,5:3,6:6;3:7 Q80V62,Q9JLV1,Q61168,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q7TMY8 A0A0G2K5U0,Q5U2U8,Q6P9Z7,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,A0A0G2JVW5
6556-7142;0:0,1:2,3:1,4:5,5:4,6:6;7:3 Q80V62,Q9JLI8,Q8BWL5,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q8R035 A0A0G2K5U0,D3ZAS8,F1LVI3,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,D3ZDP2
2827-6585;0:3,1:0,3:1,4:5,6:4,7:6;2:7 P02340,Q62158,Q80V62,Q6PCQ0,P12023,Q61510,P70372,P62259,Q3UFB7,P01108 P10361,B5DFI5,A0A0G2K5U0,D4ADQ3,P08592,D4A9N5,B5DF91,P62260,P35739,P09416
6671-6711;1:7,2:5,4:6,5:0,6:3,7:4;0:2-3:1 Q3UFB7,P05627,Q91YK8,P12023,Q61510,Q9QZ09,P70372,P62259,P97477,Q80V62 P35739,P17325,O55162,P08592,D4A9N5,F1M8G0,B5DF91,P62260,Q3MHU2,A0A0G2K5U0
6555-6710;0:1,1:2,3:0,4:6,5:3,6:7;2:5-7:5 Q80V62,P97377,Q7TQI8,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,Q62432 A0A0G2K5U0,Q6P751,A0A096MJ32,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,O70436
6555-7157;0:0,1:2,2:1,4:5,5:4,6:6;7:7 Q3UFB7,P97377,Q7TQI8,P12023,Q80V62,P70372,P05627,P62259,Q61510,Q62432 P35739,Q6P751,A0A096MJ32,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,O70436
6671-7154;0:2,1:0,2:1,4:5,6:3,7:6;3:4 P05627,P60605,Q3UFB7,S4R1T9,P12023,Q61510,P70372,P62259,Q6P5F9,Q9CUN6 P17325,B2RYD0,P35739,M0R6N0,P08592,D4A9N5,B5DF91,P62260,Q80U96,A0A0G2K612
7154-7154;0:0,1:2,2:1,3:5,5:4,6:6;4:3 Q6P5F9,Q9CUN6,S4R1T9,P12023,Q80V62,P70372,Q61510,P62259,P05627,P60605 Q80U96,A0A0G2K612,M0R6N0,P08592,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,B2RYD0
7145-7154;0:0,2:2,3:3,4:4,5:5,6:6;1:1,7 Q3UFB7,Q62108,E9PXQ7,P12023,Q61510,P05627,P70372,P62259,Q80V62,Q8BVQ9 P35739,P31016,F1M6B6,P08592,D4A9N5,P17325,B5DF91,P62260,A0A0G2K5U0,G3V7L6
6554-7155;0:0,1:2,3:1,4:5,5:3,6:6;7:4,7 Q3UFB7,P05213,Q91ZJ9,P12023,Q80V62,P70372,Q61510,P62259,P05627,P68368 P35739,Q6P9V9,F1M963,P08592,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,Q5XIF6
