2827-6583;0:3,1:0,3:1,4:5,6:4,7:6;2:7 P02340,G3X9H5,Q3UFB7,P42866,P12023,Q61510,P70372,P62259,Q80V62,O35864 P10361,G3V9P7,P35739,P33535,P08592,D4A9N5,B5DF91,P62260,A0A0G2K5U0,F7EUU4
6555-6710;0:1,1:2,2:0,4:6,5:3,6:7;3:5 Q80V62,Q9JLV1,Q6NT99,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q921E6 A0A0G2K5U0,Q5U2U8,D3ZRL3,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,B5DF02
6583-6710;0:1,1:2,2:0,4:6,5:4,6:7;7:3,5 Q80V62,P60710,Q9CQF7,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,Q61188 A0A0G2K5U0,P60711,D3ZX38,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,B5DFE2
6710-7145;1:0,2:2,3:4,4:3,6:5,7:6;0:1,7-5:7 Q80V62,Q61188,Q9CQF7,P12023,P05627,Q61510,P70372,P62259,Q3UFB7,P60710 A0A0G2K5U0,B5DFE2,D3ZX38,P08592,P17325,D4A9N5,B5DF91,P62260,P35739,P60711
6559-6561;0:0,1:1,2:2,3:3,4:4,6:6;5:5 Q61510,Q9WTX6,Q61508,P12023,Q80V62,Q3UFB7,P70372,P62259,P05627,Q80TQ2 D4A9N5,B1WBY1,Q62894,P08592,A0A0G2K5U0,P35739,B5DF91,P62260,P17325,F1LPJ6
6157-6559;0:0,1:2,2:1,4:5,5:3,6:4;3:6-7:6 Q61510,Q80TQ2,Q61508,Q80V62,P12023,P05627,Q3UFB7,P70372,P62259,Q9WTX6 D4A9N5,F1LPJ6,Q62894,A0A0G2K5U0,P08592,P17325,P35739,B5DF91,P62260,B1WBY1
6561-7145;0:0,1:2,2:1,4:5,5:3,6:6; Q80V62,Q921E6,Q8BGW1,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,P60521 A0A0G2K5U0,B5DF02,Q2A121,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,P60522
6710-7145;1:0,2:2,3:4,4:3,6:5,7:6;0:1-5:1 Q3UFB7,Q921E6,Q8BGW1,P12023,P05627,Q61510,P70372,P62259,Q80V62,P60521 P35739,B5DF02,Q2A121,P08592,P17325,D4A9N5,B5DF91,P62260,A0A0G2K5U0,P60522
6558-7155;0:0,1:2,2:1,4:5,5:3,6:6; Q80V62,Q8VBT0,Q8BGZ8,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q99P72 A0A0G2K5U0,Q52KJ9,D4AAZ2,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,Q9JK11
6554-7167;2:2,3:7,4:4,5:5,6:6,7:0;1:1 P21274,Q80V62,P12023,Q60676,Q61510,P70372,P62259,Q8CJ69,Q3UFB7,P05627 G3V8W4,A0A0G2K5U0,P08592,P53042,D4A9N5,B5DF91,P62260,F1M661,P35739,P17325
7143-8148;0:4,1:2,4:0,5:6,6:7,7:5; P12023,P05627,Q8CJ69,Q80V62,Q61510,P70372,P62259,Q60676,P21274,Q3UFB7 P08592,P17325,F1M661,A0A0G2K5U0,D4A9N5,B5DF91,P62260,P53042,G3V8W4,P35739
6554-8044;0:3,1:0,4:4,5:5,6:6,7:2;2:1-3:1 Q80V62,P61161,Q8CJ69,P12023,P70372,Q61510,P62259,P21274,Q3UFB7,Q60676 A0A0G2K5U0,Q5M7U6,F1M661,P08592,B5DF91,D4A9N5,P62260,G3V8W4,P35739,P53042
6555-6673;0:1,1:2,3:0,4:6,5:4,6:7;7:3,5 Q80V62,O54833,Q9R0B6,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,O35071 A0A0G2K5U0,B4F7A9,A0A0G2K023,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,F1M9C8
6673-7155;1:0,2:2,3:4,4:3,6:5,7:6;0:1-5:7 Q80V62,O35071,Q9R0B6,P12023,P05627,Q61510,P70372,P62259,Q3UFB7,O54833 A0A0G2K5U0,F1M9C8,A0A0G2K023,P08592,P17325,D4A9N5,B5DF91,P62260,P35739,B4F7A9
6583-7145;0:0,1:2,3:1,4:5,5:4,6:6;7:3,7 Q80V62,P34152,Q61090,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q62108 A0A0G2K5U0,O35346,D4ACM8,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,P31016
6169-7145;0:0,1:1,2:2,3:4,4:3,6:5;5:6-7:6,7 Q3UFB7,P34152,Q61090,Q80V62,P12023,P05627,Q61510,P70372,P62259,Q62108 P35739,O35346,D4ACM8,A0A0G2K5U0,P08592,P17325,D4A9N5,B5DF91,P62260,P31016
6555-6673;0:1,1:2,2:0,4:6,5:4,6:7;3:5-7:5 Q80V62,Q9QUI0,Q8BWA8,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,P63001 A0A0G2K5U0,P61589,D4A646,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,Q6RUV5
7155-7157;0:0,2:2,3:3,4:4,5:5,6:6;1:1,7 Q3UFB7,Q04207,G5E8Z2,P12023,Q61510,P05627,P70372,P62259,Q80V62,P70168 P35739,Q7TQN4,F1LT11,P08592,D4A9N5,P17325,B5DF91,P62260,A0A0G2K5U0,F2Z3Q8
6157-7145;0:0,2:2,3:3,4:4,5:1,6:5;1:6 Q80V62,Q61062,Q9DBR2,P12023,P05627,Q61510,Q3UFB7,P70372,P62259,Q9CQA5 A0A0G2K5U0,D4ADV8,F1LUC1,P08592,P17325,D4A9N5,P35739,B5DF91,P62260,Q561Q8
6558-7145;0:0,1:2,2:1,4:5,5:3,6:6;7:4 Q3UFB7,Q61062,Q9DBR2,P12023,Q80V62,P70372,P05627,P62259,Q61510,Q9CQA5 P35739,D4ADV8,F1LUC1,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,Q561Q8
6671-7154;0:1,1:0,3:3,4:4,6:5,7:6;2:2-5:7 Q80V62,P97760,P12023,Q6NXY9,P70372,Q6P5F9,Q61510,P62259,Q3UFB7,Q9D483 A0A0G2K5U0,Q5EB90,P08592,D4A1K1,B5DF91,Q80U96,D4A9N5,P62260,P35739,Q5XIL3
6156-7144;0:0,1:1,2:2,3:3,4:4,6:5;5:6 Q80V62,O55222,Q80VM4,Q3UFB7,P12023,P05627,Q61510,P70372,P62259,Q61532 A0A0G2K5U0,Q99J82,B1WBW3,P35739,P08592,P17325,D4A9N5,B5DF91,P62260,P27704
6554-7144;0:0,1:2,3:1,4:5,5:3,6:6;7:4 Q3UFB7,O55222,Q80VM4,P12023,Q80V62,P70372,P05627,P62259,Q61510,Q61532 P35739,Q99J82,B1WBW3,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,P27704
6157-6585;0:0,1:2,2:1,4:5,5:3,6:4;3:6,7-7:7 P05627,Q3TDN2,O35710,Q3UFB7,P12023,Q61510,Q80V62,P70372,P62259,P01108 P17325,Q5BK32,Q9ET55,P35739,P08592,D4A9N5,A0A0G2K5U0,B5DF91,P62260,P09416
4419-6708;0:0,1:1,2:3,4:2,6:6,7:7;3:4 P54823,Q9CXU1,P12023,P63157,P70372,Q80V62,Q61510,P62259,Q921E6,Q62440 D3ZD73,D4A7J4,P08592,P63156,B5DF91,A0A0G2K5U0,D4A9N5,P62260,B5DF02,D3ZCM7
1888-6557;0:0,2:3,3:1,4:5,5:4,6:6; P39688,P35456,P59900,Q3UFB7,P12023,Q61510,P70372,P62259,Q80V62,Q64337 Q62844,M0R3P2,D3ZQ65,P35739,P08592,D4A9N5,B5DF91,P62260,A0A0G2K5U0,O08623
6156-7154;0:0,2:2,3:3,4:4,5:1,6:5;1:6,7-7:7 Q80V62,Q99N87,Q9D075,P12023,Q61510,P05627,Q3UFB7,P70372,P62259,Q9D7N3 A0A0G2K5U0,D3ZYT2,Q5RJK3,P08592,D4A9N5,P17325,P35739,B5DF91,P62260,B0BN68
6561-6579;0:0,1:1,2:2,3:3,4:4,6:6;5:5 P05627,P50516,P41731,P12023,Q80V62,Q3UFB7,P70372,P62259,Q61510,P05480 P17325,D4A133,P28648,P08592,A0A0G2K5U0,P35739,B5DF91,P62260,D4A9N5,Q9WUD9
6157-6579;0:0,1:2,2:1,4:5,5:3,6:4;3:6-7:6 Q61510,P50516,P41731,Q80V62,P12023,P05627,Q3UFB7,P70372,P62259,P05480 D4A9N5,D4A133,P28648,A0A0G2K5U0,P08592,P17325,P35739,B5DF91,P62260,Q9WUD9
6581-6671;0:1,1:2,3:0,4:6,5:3,6:7; Q80V62,Q60676,Q3V3N7,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,Q8K2G4 A0A0G2K5U0,P53042,D4A4U2,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,Q66H90
6671-7167;1:0,2:2,3:4,4:3,6:5,7:6;0:1 Q80V62,Q8K2G4,Q3V3N7,P12023,Q61510,P05627,P70372,P62259,Q3UFB7,Q60676 A0A0G2K5U0,Q66H90,D4A4U2,P08592,D4A9N5,P17325,B5DF91,P62260,P35739,P53042
6671-7143;0:2,1:0,2:1,3:5,6:4,7:6;5:3 D3YZV8,Q8K2G4,P12023,Q3V3N7,Q80V62,P70372,Q61510,P62259,P05627,Q60676 A0A0G2JTP3,Q66H90,P08592,D4A4U2,A0A0G2K5U0,B5DF91,D4A9N5,P62260,P17325,P53042
6581-7145;0:0,1:2,3:1,4:5,5:3,6:6; Q80V62,P61965,Q8CHV6,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q9CQA5 A0A0G2K5U0,Q498M4,Q6AYE3,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,Q561Q8
6168-7145;0:0,1:1,2:2,3:4,4:3,6:5;5:6-7:6 Q3UFB7,P61965,Q8CHV6,Q80V62,P12023,Q61510,P05627,P70372,P62259,Q9CQA5 P35739,Q498M4,Q6AYE3,A0A0G2K5U0,P08592,D4A9N5,P17325,B5DF91,P62260,Q561Q8
6555-7154;0:0,1:1,2:2,4:3,5:5,6:6;3:4-7:4 Q80V62,O09106,Q64104,P12023,Q3UFB7,P70372,Q61510,P62259,Q6P5F9,Q9CUN6 A0A0G2K5U0,Q4QQW4,M0R4V9,P08592,P35739,B5DF91,D4A9N5,P62260,Q80U96,A0A0G2K612
4419-6555;0:3,1:0,2:5,4:1,6:4,7:6;3:7 Q62108,P34968,Q80V62,Q8C561,Q61510,P12023,P70372,P62259,Q3UFB7,P08752 P31016,A0A0G2JY06,A0A0G2K5U0,D3ZUP8,D4A9N5,P08592,B5DF91,P62260,P35739,P04897
6156-6710;0:1,1:0,2:2,3:4,4:3,6:6;5:7 Q80V62,P61290,Q3U2V3,Q3UFB7,P12023,P05627,Q61510,P70372,P39429,P62259 A0A0G2K5U0,Q5FVM2,Q641Y7,P35739,P08592,P17325,D4A9N5,B5DF91,B5DFH7,P62260
6554-6710;0:1,1:2,3:0,4:6,5:4,6:7;7:3 Q3UFB7,P61290,Q3U2V3,P12023,Q80V62,P70372,P05627,P62259,Q61510,P39429 P35739,Q5FVM2,Q641Y7,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,B5DFH7
4378-6673;0:3,2:0,3:5,5:1,6:6,7:7; G3X8R0,Q80V62,Q61510,Q3UFB7,Q99JX7,Q9DCN7,P70372,P62259,P12023,P05627 B2RZ37,A0A0G2K5U0,D4A9N5,P35739,F1MA52,D3ZG84,B5DF91,P62260,P08592,P17325
1718-7155;1:7,2:2,4:5,5:3,6:1,7:0;0:6-3:6 G3X8R0,Q3UFB7,Q99JX7,P12023,P70372,Q61510,Q80V62,Q9DCN7,P05627,P62259 B2RZ37,P35739,F1MA52,P08592,B5DF91,D4A9N5,A0A0G2K5U0,D3ZG84,P17325,P62260
6559-7154;0:0,1:2,3:1,4:5,5:3,6:6;2:7-7:4 Q80V62,P50516,Q99L60,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,Q9D7N3 A0A0G2K5U0,D4A133,M0RBN8,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,B0BN68
7154-7157;0:0,2:2,3:3,4:4,5:5,6:6;1:1-7:1 Q80V62,Q9D7N3,Q99L60,P12023,Q61510,P05627,P70372,P62259,Q3UFB7,P50516 A0A0G2K5U0,B0BN68,M0RBN8,P08592,D4A9N5,P17325,B5DF91,P62260,P35739,D4A133
4229-6671;0:1,1:2,3:6,4:0,5:3,6:7;2:4-7:5 Q99JX7,D3YYC3,Q9QZ57,P12023,P70372,Q80V62,Q61510,P62259,P05627,Q6PR54 F1MA52,A0A0G2K5A7,G3V7G6,P08592,B5DF91,A0A0G2K5U0,D4A9N5,P62260,P17325,A0A0G2KB73
1718-3707;0:1,2:0,3:2,4:5,5:7,6:4;1:3-7:6 Q99JX7,D3YYC3,Q9QZ57,P12023,Q3UFB7,P70372,Q61510,Q80V62,Q921E6,Q6PR54 F1MA52,A0A0G2K5A7,G3V7G6,P08592,P35739,B5DF91,D4A9N5,A0A0G2K5U0,B5DF02,A0A0G2KB73
4350-6579;0:5,1:0,2:2,4:3,6:4,7:6; Q04207,P37237,Q61510,Q62559,Q80V62,Q3UFB7,P70372,P62259,P12023,Q61166 Q7TQN4,Q76LI5,D4A9N5,D4A5T7,A0A0G2K5U0,P35739,B5DF91,P62260,P08592,Q66HR2
4231-6710;0:1,1:2,3:6,4:0,5:3,6:7;2:4 Q99JX7,Q8BJU0,Q9JJF9,P12023,P70372,Q80V62,Q61510,P62259,P05627,P25799 F1MA52,O70593,D3ZNG3,P08592,B5DF91,A0A0G2K5U0,D4A9N5,P62260,P17325,F1LQH2
6555-6561;0:0,1:1,2:3,3:2,4:4,6:6;5:5-7:7 Q61510,P97377,Q7TQI8,P12023,Q80V62,Q3UFB7,P70372,P62259,P05627,Q62432 D4A9N5,Q6P751,A0A096MJ32,P08592,A0A0G2K5U0,P35739,B5DF91,P62260,P17325,O70436
6157-6555;0:0,1:3,2:1,4:5,5:2,6:4;3:6-7:6,7 Q61510,Q62432,Q7TQI8,Q3UFB7,P12023,P05627,Q80V62,P70372,P62259,P97377 D4A9N5,O70436,A0A096MJ32,P35739,P08592,P17325,A0A0G2K5U0,B5DF91,P62260,Q6P751
6673-7154;1:0,2:2,3:3,4:4,6:5,7:6;0:1-5:1,7 Q3UFB7,P68368,Q91ZJ9,P12023,Q61510,P05627,P70372,P62259,Q80V62,P05213 P35739,Q5XIF6,F1M963,P08592,D4A9N5,P17325,B5DF91,P62260,A0A0G2K5U0,Q6P9V9
6556-7155;0:0,1:2,3:1,4:5,5:4,6:6;7:7 Q3UFB7,P05213,Q91ZJ9,P12023,Q80V62,P70372,P05627,P62259,Q61510,P68368 P35739,Q6P9V9,F1M963,P08592,A0A0G2K5U0,B5DF91,P17325,P62260,D4A9N5,Q5XIF6
6156-6557;0:0,1:2,2:1,4:5,5:3,6:4;3:6-7:7 Q61510,P05213,Q91ZJ9,Q3UFB7,P12023,P05627,Q80V62,P70372,P62259,P68368 D4A9N5,Q6P9V9,F1M963,P35739,P08592,P17325,A0A0G2K5U0,B5DF91,P62260,Q5XIF6
6156-6671;0:1,1:0,2:2,3:3,4:4,6:6;5:5,7-7:5,7 Q80V62,P68368,Q91ZJ9,Q3UFB7,P12023,Q61510,P05627,P70372,P05213,P62259 A0A0G2K5U0,Q5XIF6,F1M963,P35739,P08592,D4A9N5,P17325,B5DF91,Q6P9V9,P62260
6561-7154;0:0,1:2,2:1,4:5,5:4,6:6;3:7 Q80V62,Q921E6,Q8VDV3,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,O70435 A0A0G2K5U0,B5DF02,F1LPG6,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,P18422
6557-6585;0:0,1:1,2:3,3:2,4:4,6:6;5:5,7 P05627,P67871,P00860,P12023,Q80V62,Q3UFB7,P70372,P62259,Q61510,P01108 P17325,P67874,P09057,P08592,A0A0G2K5U0,P35739,B5DF91,P62260,D4A9N5,P09416
6156-6585;0:0,1:3,2:1,4:5,5:2,6:4;3:6,7-7:6 Q61510,P67871,P00860,Q80V62,P12023,P05627,Q3UFB7,P70372,P62259,P01108 D4A9N5,P67874,P09057,A0A0G2K5U0,P08592,P17325,P35739,B5DF91,P62260,P09416
6579-7169;0:0,1:2,3:1,4:5,5:4,6:6; Q80V62,P49817,P48302,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,O35864 A0A0G2K5U0,Q2IBC6,P21451,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,F7EUU4
2827-4419;0:0,1:1,4:2,5:5,6:6,7:7;2:4-3:3,4 Q9D6Z1,Q3UFB7,P12023,O09118,P70372,P70661,Q61510,P62259,Q8R5L1,Q80V62 Q4KLK7,P35739,P08592,F1LPC8,B5DF91,O08718,D4A9N5,P62260,O35796,A0A0G2K5U0
6581-7167;0:0,1:2,2:1,4:5,5:3,6:6;7:4 Q80V62,P62889,E9Q8T2,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q60676 A0A0G2K5U0,A0A0G2K5E6,D3ZQ99,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,P53042
6557-6710;0:1,1:2,3:0,4:6,5:3,6:7;2:5-7:4 Q80V62,O08788,Q7TS74,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,D3YZV8 A0A0G2K5U0,D4A8U7,D3Z8Z9,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,A0A0G2JTP3
6555-7143;0:0,1:2,2:1,4:5,5:3,6:6;3:7 Q80V62,Q9JMH9,Q9JHI8,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q9WUD1 A0A0G2K5U0,A0A0G2JY08,Q924V1,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,D4A4T0
6557-6580;0:0,1:1,2:2,3:3,4:4,6:6;5:5-7:5,7 Q61510,P62137,Q9CQ35,P12023,Q80V62,Q3UFB7,P70372,P62259,P05627,P69566 D4A9N5,P62138,M0R4P4,P08592,A0A0G2K5U0,P35739,B5DF91,P62260,P17325,F1LVV3
6168-6557;0:0,1:2,2:1,4:5,5:3,6:4;3:6,7-7:7 Q61510,P69566,Q9CQ35,Q80V62,P12023,P05627,Q3UFB7,P70372,P62259,P62137 D4A9N5,F1LVV3,M0R4P4,A0A0G2K5U0,P08592,P17325,P35739,B5DF91,P62260,P62138
6560-8044;0:2,1:1,3:0,4:5,5:4,6:6;7:7 Q80V62,Q8CJG0,Q99PH1,P12023,Q3UFB7,P70372,Q61510,P62259,P10923,O35864 A0A0G2K5U0,F1LRP7,Q45R42,P08592,P35739,B5DF91,D4A9N5,P62260,P08721,F7EUU4
6585-7169;0:0,1:2,3:1,4:5,5:3,6:6;2:7-7:7 Q80V62,O35864,F7AA26,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q60631 A0A0G2K5U0,F7EUU4,F1LPQ9,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,P62994
6169-7169;0:0,1:1,2:2,3:4,4:3,6:5;5:6,7-7:6,7 Q3UFB7,O35864,F7AA26,Q80V62,P12023,Q61510,P05627,P70372,P62259,Q60631 P35739,F7EUU4,F1LPQ9,A0A0G2K5U0,P08592,D4A9N5,P17325,B5DF91,P62260,P62994
6579-6673;0:1,1:0,3:2,4:3,5:6,6:7;2:4 Q80V62,Q9CZN7,Q6P5E8,P12023,Q3UFB7,P70372,Q61510,P62259,Q6P5F9,H3BJD6 A0A0G2K5U0,Q5U3Z7,D3ZEY4,P08592,P35739,B5DF91,D4A9N5,P62260,Q80U96,O35867
6671-6671;0:2,1:1,2:0,4:6,6:3,7:7; P05627,Q923J1,Q80V62,B2RXZ1,P12023,Q61510,P70372,P62259,D3YZV8,Q8C1F4 P17325,A0A0G2JYN5,A0A0G2K5U0,A0A096UWG8,P08592,D4A9N5,B5DF91,P62260,A0A0G2JTP3,D4A5Z0
6559-7169;0:0,1:2,3:1,4:5,5:3,6:6;2:7-7:4,7 Q80V62,P35235,Q01965,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q60631 A0A0G2K5U0,P41499,D3ZEF7,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,P62994
6157-7169;0:0,1:1,2:2,3:3,4:4,6:5;5:6,7-7:6,7 Q3UFB7,P35235,Q01965,Q80V62,P12023,P05627,Q61510,P70372,P62259,Q60631 P35739,P41499,D3ZEF7,A0A0G2K5U0,P08592,P17325,D4A9N5,B5DF91,P62260,P62994
6579-7145;0:0,1:2,3:1,4:5,5:4,6:6;2:7-7:7 Q80V62,Q9ERG0,Q8R0J1,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,P60710 A0A0G2K5U0,F1LR10,D4ABR1,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,P60711
6157-6710;0:1,2:2,3:3,4:4,5:0,6:6;1:7-7:5,7 Q3UFB7,Q62432,Q64693,P12023,Q61510,P05627,Q80V62,P70372,P02340,P62259 P35739,O70436,D4A397,P08592,D4A9N5,P17325,A0A0G2K5U0,B5DF91,P10361,P62260
2827-6555;0:2,1:0,3:1,4:5,6:4,7:6;2:7 P02340,G3X9H5,Q3UFB7,Q9QUS4,P12023,Q61510,P70372,P62259,Q80V62,O09106 P10361,G3V9P7,P35739,G3V7S6,P08592,D4A9N5,B5DF91,P62260,A0A0G2K5U0,Q4QQW4
6581-6583;0:0,1:1,2:3,3:2,4:4,6:6;5:5,7-7:5,7 Q61510,P61963,D3Z1D3,P12023,Q3UFB7,Q80V62,P70372,P62259,P05627,Q61214 D4A9N5,B2RZ68,M0RD54,P08592,P35739,A0A0G2K5U0,B5DF91,P62260,P17325,Q63470
6169-6581;0:0,1:3,2:1,3:5,5:2,6:4;4:6,7-7:6,7 Q61510,Q61214,D3Z1D3,Q80V62,P12023,P05627,Q3UFB7,P70372,P62259,P61963 D4A9N5,Q63470,M0RD54,A0A0G2K5U0,P08592,P17325,P35739,B5DF91,P62260,B2RZ68
6578-6673;0:1,1:2,2:0,4:6,5:4,6:7;3:5 Q80V62,Q8CHK4,Q61193,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,P63001 A0A0G2K5U0,A0A0G2KA75,Q6MGC5,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,Q6RUV5
6559-7154;0:0,1:2,2:1,4:5,5:3,6:6;3:7-7:4 Q80V62,P11276,Q80TY5,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,Q9QYI3 A0A0G2K5U0,A0A096P6L8,A0A0G2JYX0,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,A0A0G2K435
6558-7169;0:0,1:2,2:1,4:5,5:4,6:6; Q80V62,Q9JI11,Q8C0N1,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,Q9Z108 A0A0G2K5U0,D4A648,Q5XI51,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,Q9ET50
6557-6673;0:1,1:2,3:0,4:6,5:4,6:7;7:5 Q80V62,Q02257,D3Z4I3,P12023,Q3UFB7,P70372,Q61510,P62259,P05627,Q9QY23 A0A0G2K5U0,Q6P0K8,M0R7T6,P08592,P35739,B5DF91,D4A9N5,P62260,P17325,D3ZJ50
6557-7155;0:0,1:2,2:1,4:5,5:3,6:6;3:7-7:7 Q80V62,P68368,P43081,P12023,Q3UFB7,P70372,P05627,P62259,Q61510,P14602 A0A0G2K5U0,Q5XIF6,D3ZII9,P08592,P35739,B5DF91,P17325,P62260,D4A9N5,G3V913
