8572 A0A287A2J9,A0A287BHC9,F1SV31,A3EX84,A0A286ZV23,A0A286ZQA1,P79307,F2Z558 G1TVU3,G1SZT9,G1T250,P47845,G1SZE4,G1SIC9,G1SZM2,G1SDY5
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F1SUT8,F1RHK6,A0A286ZQA1 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SLH7,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,A0A287B642,F1RHK6,A0A286ZQA1 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1TIP3,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,A0A286ZT34,F1RHK6,A0A286ZQA1 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1TIP3,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,A0A287AJJ6,F1RHK6,A0A286ZQA1 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SEN5,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,A0A287ARA4,F1RHK6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SX32,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,A0A287ARA4,F1RHK6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1TIP3,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,A0A287A9Y2,F1RHK6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1TIP3,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,A0A287AJ61,F1RHK6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SEN5,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,A0A287BJH4,F1RHK6,A0A286ZQA1 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SEN5,G1SZT9,G1SMY6
11390 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,R4JU57,F1RHK6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SEN5,G1SZT9,G1SMY6
4318 A0A286ZV23,Q08353,A0A287A2J9,K7GR70,A0A287B4M4,A0A286ZM08,F1RHK6,A0A287BHC9 G1SZE4,G1SZW1,G1SZR6,G1T143,G1TIX5,G1T4R1,G1SZT9,G1SMY6
4318 A0A286ZV23,Q08353,A0A287A2J9,K7GR70,A0A287B4M4,A0A286ZM08,F1RHK6,A0A287BHC9 G1SZE4,G1T9W2,G1SZR6,G1T143,G1TIX5,G1U6Y3,G1SZT9,G1SMY6
4318 A0A286ZV23,A0A287ANK9,A0A287A2J9,K7GR70,A0A287B4M4,F1SPK1,F1RHK6,A0A287BHC9 G1SZE4,G1T1W2,G1SZR6,G1T143,G1TIX5,G1T4M5,G1SZT9,G1SMY6
4318 A0A286ZV23,Q08353,A0A287A2J9,K7GR70,A0A287B4M4,F1SUY6,F1RHK6,A0A287BHC9 G1SZE4,G1T9W2,G1SZR6,G1T143,G1TIX5,G1T318,G1SZT9,G1SMY6
4318 A0A286ZV23,F1SV13,A0A287A2J9,K7GR70,A0A287B4M4,A0A287AF06,F1RHK6,A0A287BHC9 G1SZE4,G1SNL0,G1SZR6,G1T143,G1TIX5,G1SID9,G1SZT9,G1SMY6
11522 A0A286ZV23,D3K5N7,I3LNX4,A0A287A2J9,A0A287B4M4,F1SE91,F1RHK6,A0A287BHC9 G1SZE4,G1TAE2,G1SXC8,G1SZR6,G1TIX5,G1U998,G1SZT9,G1SMY6
9048 I3LNX4,A1Y2K0,F1RHK6,A0A286ZV23,P79307,K7GM45,A0A286ZQA1,F2Z558 G1TIX5,G1TD81,G1SZT9,G1SZE4,G1SZM2,G1SXH7,G1SIC9,G1SDY5
9048 I3LNX4,A1Y2K0,F1RHK6,A0A286ZV23,P79307,K7GM45,A0A286ZQA1,F2Z558 G1TIX5,G1TD81,G1SZT9,G1SZE4,G1SZM2,G1SXH7,G1SMY6,G1SDY5
9048 I3LNX4,A1Y2K0,F1RHK6,A0A286ZV23,P79307,K7GM45,A0A287BHC9,F2Z558 G1TIX5,G1TD81,G1SZT9,G1SZE4,G1SZM2,G1SXH7,G1SIC9,G1SDY5
9048 I3LNX4,A1Y2K0,F1RHK6,A0A286ZV23,P79307,K7GM45,A0A287BHC9,F2Z558 G1TIX5,G1TD81,G1SZT9,G1SZE4,G1SZM2,G1SXH7,G1SMY6,G1SDY5
9048 A0A287B4M4,F1RS27,F1RHK6,A0A286ZV23,P79307,Q6RVA9,A0A286ZQA1,F2Z558 G1TIX5,G1TMN2,G1SZT9,G1SZE4,G1SZM2,Q09YN6,G1SMY6,G1SDY5
9048 A0A287B4M4,F1RS27,F1RHK6,A0A286ZV23,P79307,Q6RVA9,A0A287BHC9,F2Z558 G1TIX5,G1TMN2,G1SZT9,G1SZE4,G1SZM2,Q09YN6,G1SMY6,G1SDY5
9048 I3LNX4,F1RSW9,F1RHK6,A0A286ZV23,P79307,K7GM45,A0A286ZQA1,F2Z558 G1TIX5,G1TMB8,G1SZT9,G1SZE4,G1SZM2,G1SXH7,G1SIC9,G1SDY5
9048 I3LNX4,F1RSW9,F1RHK6,A0A286ZV23,P79307,K7GM45,A0A287BHC9,F2Z558 G1TIX5,G1TMB8,G1SZT9,G1SZE4,G1SZM2,G1SXH7,G1SIC9,G1SDY5
9048 I3LNX4,F1RSW9,F1RHK6,A0A286ZV23,P79307,K7GM45,A0A287BHC9,F2Z558 G1TIX5,G1TMB8,G1SZT9,G1SZE4,G1SZM2,G1SXH7,G1SMY6,G1SDY5
9048 I3LNX4,F1SFF0,F1RHK6,A0A286ZV23,P79307,K7GM45,A0A286ZQA1,F2Z558 G1TIX5,G1T3P3,G1SZT9,G1SZE4,G1SZM2,G1SXH7,G1SIC9,G1SDY5
9048 I3LNX4,F1SFF0,F1RHK6,A0A286ZV23,P79307,K7GM45,A0A286ZQA1,F2Z558 G1TIX5,G1T3P3,G1SZT9,G1SZE4,G1SZM2,G1SXH7,G1SMY6,G1SDY5
9048 I3LNX4,F1SFF0,F1RHK6,A0A286ZV23,P79307,K7GM45,A0A287BHC9,F2Z558 G1TIX5,G1T3P3,G1SZT9,G1SZE4,G1SZM2,G1SXH7,G1SIC9,G1SDY5
9048 I3LNX4,F1SFF0,F1RHK6,A0A286ZV23,P79307,K7GM45,A0A287BHC9,F2Z558 G1TIX5,G1T3P3,G1SZT9,G1SZE4,G1SZM2,G1SXH7,G1SMY6,G1SDY5
5013 A0A286ZV23,F1RJG8,A0A287A2J9,K7GR70,D3K5N7,A0A286ZVL0,F2Z558,A0A287BHC9 G1SZE4,G1U4S3,G1SZR6,G1T143,G1TAE2,G1T7H0,G1SDY5,G1SMY6
5013 I3LIL0,A0A287B4M4,P79307,F1RHK6,A0A286ZV23,A0A287A2J9,F2Z540,A0A287BHC9 G1T856,G1TIX5,G1SZM2,G1SZT9,G1SZE4,G1SZR6,G1T1D9,G1SMY6
9475 Q9TUB2,A0A286ZQA1,A0A287A2J9,P79307,A0A286ZV23,F1S034,A0A287BHC9,F2Z558 G1TIX5,G1SZT9,G1TVU3,G1SZM2,G1SZE4,G1TEZ2,G1SIC9,G1SDY5
9475 Q9TUB2,A0A286ZQA1,A0A287A2J9,P79307,A0A286ZV23,F1S034,A0A287BHC9,F2Z558 G1TIX5,G1SZT9,G1TVU3,G1SZM2,G1SZE4,G1TAR0,G1SIC9,G1SDY5
9475 Q9TUB2,A0A286ZQA1,A0A287A2J9,P79307,A0A286ZV23,F1S034,A0A287BHC9,F2Z558 G1TIX5,G1SZT9,G1TVU3,G1SZM2,G1SZE4,G1SGX4,G1SIC9,G1SDY5
9475 Q9TUB2,A0A286ZQA1,A0A287A2J9,P79307,A0A286ZV23,F1S034,A0A287BHC9,F2Z558 G1TIX5,G1SZT9,G1TVU3,G1SZM2,G1SZE4,G1TRM4,G1SIC9,G1SDY5
9475 Q9TUB2,A0A286ZQA1,A0A287A2J9,P79307,A0A286ZV23,F1S034,A0A287BHC9,F2Z558 G1TIX5,G1SZT9,G1TVU3,G1SZM2,G1SZE4,G1T168,G1SIC9,G1SDY5
9475 Q9TUB2,A0A286ZQA1,A0A287A2J9,P79307,A0A286ZV23,I3LFX5,A0A287BHC9,F2Z558 G1TIX5,G1SZT9,G1TVU3,G1SZM2,G1SZE4,G1TEZ2,G1SIC9,G1SDY5
9475 Q9TUB2,A0A286ZQA1,A0A287A2J9,P79307,A0A286ZV23,I3LFX5,A0A287BHC9,F2Z558 G1TIX5,G1SZT9,G1TVU3,G1SZM2,G1SZE4,G1TAR0,G1SIC9,G1SDY5
9475 Q9TUB2,A0A286ZQA1,A0A287A2J9,P79307,A0A286ZV23,I3LFX5,A0A287BHC9,F2Z558 G1TIX5,G1SZT9,G1TVU3,G1SZM2,G1SZE4,G1SGX4,G1SIC9,G1SDY5
9475 Q9TUB2,A0A286ZQA1,A0A287A2J9,P79307,A0A286ZV23,I3LFX5,A0A287BHC9,F2Z558 G1TIX5,G1SZT9,G1TVU3,G1SZM2,G1SZE4,G1TRM4,G1SIC9,G1SDY5
9475 Q9TUB2,A0A286ZQA1,A0A287A2J9,P79307,A0A286ZV23,I3LFX5,A0A287BHC9,F2Z558 G1TIX5,G1SZT9,G1TVU3,G1SZM2,G1SZE4,G1T168,G1SIC9,G1SDY5
9475 Q9TUB2,A0A286ZQA1,A0A287A2J9,P79307,A0A286ZV23,I3LFX5,A0A287BHC9,F2Z558 G1TIX5,G1SZT9,G1TVU3,G1SZM2,G1SZE4,G1U4L6,G1SIC9,G1SDY5
8684 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,F1SPR8,A0A287BHC9,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1U1M3,G1SIC9,G1SDY5
8684 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,F1SPR8,A0A287BHC9,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1SN37,G1SIC9,G1SDY5
8684 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,F1SPR8,A0A287BHC9,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1T062,G1SIC9,G1SDY5
8684 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,F1SPR8,A0A287BHC9,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1T3N8,G1SIC9,G1SDY5
8684 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,I3LDL8,A0A287BHC9,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1SN37,G1SIC9,G1SDY5
8684 Q9TUB2,A0A287A2J9,A0A286ZQA1,A0A286ZV23,P79307,I3LDL8,A0A287BHC9,F2Z558 G1TIX5,G1TVU3,G1SZT9,G1SZE4,G1SZM2,G1T062,G1SIC9,G1SDY5
11592 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F1RHK6,A0A287BDL6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SZT9,G1T221,G1SMY6
11592 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F1RHK6,A0A287BDL6,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SZT9,G1SV63,G1SMY6
11592 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F1RHK6,A0A287BDL6,A0A286ZQA1 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SZT9,G1T221,G1SMY6
11592 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F1RHK6,A0A287BDL6,A0A286ZQA1 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SZT9,G1SV63,G1SMY6
11592 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F1RHK6,A0A287AV47,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SZT9,G1T221,G1SMY6
11592 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F1RHK6,A0A287AV47,A0A287BHC9 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SZT9,G1SV63,G1SMY6
11592 A0A286ZV23,I3LNX4,D3K5N7,A0A287B4M4,A0A287A2J9,F1RHK6,A0A287AV47,A0A286ZQA1 G1SZE4,G1SXC8,G1TAE2,G1TIX5,G1SZR6,G1SZT9,G1SV63,G1SMY6
10526 P79307,F1RHK6,I3LNX4,A0A287B4M4,A0A286ZQA1,A0A286ZV23,A0A287BBB5,A0A287A2J9 G1SZM2,G1SZT9,G1SXC8,G1TIX5,G1SMY6,G1SZE4,G1T2P2,G1SZR6
10526 P79307,F1RHK6,A0A287B4M4,I3LNX4,A0A287BHC9,A0A286ZV23,F1RGP5,A0A287A2J9 G1SZM2,G1SZT9,G1TIX5,G1SXC8,G1SMY6,G1SZE4,G1TB39,G1SZR6
10526 P79307,F1RHK6,A0A287B4M4,I3LNX4,A0A287BHC9,A0A286ZV23,F1RGP5,A0A287A2J9 G1SZM2,G1SZT9,G1TIX5,G1SXC8,G1SMY6,G1SZE4,G1U419,G1SZR6
10526 P79307,F1RHK6,I3LNX4,A0A287B4M4,A0A286ZQA1,A0A286ZV23,P10668,A0A287A2J9 G1SZM2,G1SZT9,G1SXC8,G1TIX5,G1SMY6,G1SZE4,G1T2P2,G1SZR6
10526 P79307,F1RHK6,I3LNX4,A0A287B4M4,A0A286ZQA1,A0A286ZV23,A0A287AQR4,A0A287A2J9 G1SZM2,G1SZT9,G1SXC8,G1TIX5,G1SMY6,G1SZE4,G1ST56,G1SZR6
10526 P79307,F1RHK6,I3LNX4,A0A287B4M4,A0A287BHC9,A0A286ZV23,A0A287AQR4,A0A287A2J9 G1SZM2,G1SZT9,G1SXC8,G1TIX5,G1SMY6,G1SZE4,G1ST56,G1SZR6
10526 P79307,F1RHK6,I3LNX4,A0A287B4M4,A0A287BHC9,A0A286ZV23,A0A287AQR4,A0A287A2J9 G1SZM2,G1SZT9,G1SXC8,G1TIX5,G1SMY6,G1SZE4,G1T2P2,G1SZR6
10526 P79307,F1RHK6,A0A287B4M4,I3LNX4,A0A287BHC9,A0A286ZV23,F2Z5I5,A0A287A2J9 G1SZM2,G1SZT9,G1TIX5,G1SXC8,G1SMY6,G1SZE4,G1TB39,G1SZR6
10526 P79307,F1RHK6,A0A287B4M4,I3LNX4,A0A287BHC9,A0A286ZV23,F2Z5I5,A0A287A2J9 G1SZM2,G1SZT9,G1TIX5,G1SXC8,G1SMY6,G1SZE4,G1U419,G1SZR6
10526 P79307,F1RHK6,I3LNX4,A0A287B4M4,A0A286ZQA1,A0A286ZV23,A0A287ARI1,A0A287A2J9 G1SZM2,G1SZT9,G1SXC8,G1TIX5,G1SMY6,G1SZE4,G1ST56,G1SZR6
10526 P79307,F1RHK6,I3LNX4,A0A287B4M4,A0A286ZQA1,A0A286ZV23,F1SC64,A0A287A2J9 G1SZM2,G1SZT9,G1SXC8,G1TIX5,G1SMY6,G1SZE4,G1TVH9,G1SZR6
10526 P79307,F1RHK6,I3LNX4,A0A287B4M4,A0A287BHC9,A0A286ZV23,A7UNK0,A0A287A2J9 G1SZM2,G1SZT9,G1SXC8,G1TIX5,G1SMY6,G1SZE4,G1T2P2,G1SZR6
10526 P79307,F1RHK6,I3LNX4,A0A287B4M4,A0A286ZQA1,A0A286ZV23,A0A286ZZL7,A0A287A2J9 G1SZM2,G1SZT9,G1SXC8,G1TIX5,G1SMY6,G1SZE4,G1TVH9,G1SZR6
8675 P79307,I3LNX4,F1RHK6,F1SI55,A0A287B4M4,A0A286ZQA1,A0A286ZV23,A0A287A2J9 G1SZM2,G1SXC8,G1SZT9,G1SZQ7,G1TIX5,G1SMY6,G1SZE4,G1SZR6
8675 P79307,I3LNX4,F1RHK6,F1SI55,A0A287B4M4,A0A286ZQA1,A0A286ZV23,A0A287A2J9 G1SZM2,G1SXC8,G1SZT9,G1T2N2,G1TIX5,G1SMY6,G1SZE4,G1SZR6
8675 P79307,I3LNX4,F1RHK6,F1SI55,A0A287B4M4,A0A287BHC9,A0A286ZV23,A0A287A2J9 G1SZM2,G1SXC8,G1SZT9,G1SZQ7,G1TIX5,G1SMY6,G1SZE4,G1SZR6
8675 P79307,I3LNX4,F1RHK6,F1SI55,A0A287B4M4,A0A287BHC9,A0A286ZV23,A0A287A2J9 G1SZM2,G1SXC8,G1SZT9,G1T2N2,G1TIX5,G1SMY6,G1SZE4,G1SZR6
8675 P79307,I3LNX4,F1RHK6,P67937,A0A287B4M4,A0A287BHC9,A0A286ZV23,A0A287A2J9 G1SZM2,G1SXC8,G1SZT9,G1SP98,G1TIX5,G1SMY6,G1SZE4,G1SZR6
8675 P79307,I3LNX4,F1RHK6,P67937,A0A287B4M4,A0A287BHC9,A0A286ZV23,A0A287A2J9 G1SZM2,G1SXC8,G1SZT9,G1SY36,G1TIX5,G1SMY6,G1SZE4,G1SZR6
8675 P79307,I3LNX4,F1RHK6,I3L7Q7,A0A287B4M4,A0A287BHC9,A0A286ZV23,A0A287A2J9 G1SZM2,G1SXC8,G1SZT9,G1SP98,G1TIX5,G1SMY6,G1SZE4,G1SZR6
8675 P79307,I3LNX4,F1RHK6,I3L7Q7,A0A287B4M4,A0A287BHC9,A0A286ZV23,A0A287A2J9 G1SZM2,G1SXC8,G1SZT9,G1SY36,G1TIX5,G1SMY6,G1SZE4,G1SZR6
8675 P79307,I3LNX4,F1RHK6,F1SPG1,A0A287B4M4,A0A287BHC9,A0A286ZV23,A0A287A2J9 G1SZM2,G1SXC8,G1SZT9,G1SY36,G1TIX5,G1SMY6,G1SZE4,G1SZR6
8675 P79307,I3LNX4,F1RHK6,I3L9S9,A0A287B4M4,A0A287BHC9,A0A286ZV23,A0A287A2J9 G1SZM2,G1SXC8,G1SZT9,G1SZQ7,G1TIX5,G1SMY6,G1SZE4,G1SZR6
8675 P79307,I3LNX4,F1RHK6,I3L9S9,A0A287B4M4,A0A287BHC9,A0A286ZV23,A0A287A2J9 G1SZM2,G1SXC8,G1SZT9,G1T2N2,G1TIX5,G1SMY6,G1SZE4,G1SZR6
2308 K7GSF2,A0A287AFY4,A0A286ZV23,K7GR70,D3K5N7,A0A287BHC9,A0A286ZKH9,F1S834 Q256T0,G1SKU2,G1SZE4,G1T143,G1TAE2,G1SMY6,G1TB50,U3KM17
11558 F1RJ53,K7GR70,A0A287A2J9,D3K5N7,A0A287B4M4,I3LNX4,A0A287BHC9,F2Z558 G1T1S7,G1SZT9,G1TVU3,G1TAE2,G1SMY6,G1SXC8,G1SIC9,G1SDY5
11558 P79307,I3LNX4,D3K5N7,A0A287BHC9,A0A287B4M4,Q6QAQ1,F2Z558,A0A287A2J9 G1SZM2,G1SXC8,G1TAE2,G1SMY6,G1TIX5,G1SIT9,G1SDY5,G1SZR6
11558 I3L8G0,K7GR70,A0A287A2J9,D3K5N7,A0A287B4M4,I3LNX4,A0A287BHC9,F2Z558 G1SD04,G1T143,G1SZR6,G1TAE2,G1TIX5,G1SXC8,G1SMY6,G1SDY5
11542 D3K5N7,A0A286ZV23,I3LNX4,A0A286ZNN4,F2Z558,A0A287B4M4,F1RHK6,A0A287BHC9 G1TAE2,G1SZE4,G1SXC8,G1T0Y9,G1SDY5,G1TIX5,G1SZT9,G1SMY6
11542 D3K5N7,A0A286ZV23,I3LNX4,A0A286ZNN4,F2Z558,A0A287B4M4,F1RHK6,A0A287BHC9 G1TAE2,G1SZE4,G1SXC8,G1SVF2,G1SDY5,G1TIX5,G1SZT9,G1SMY6
11542 D3K5N7,A0A286ZV23,I3LNX4,A0A286ZNN4,F2Z558,A0A287B4M4,F1RHK6,A0A287BHC9 G1TAE2,G1SZE4,G1SXC8,G1SQU6,G1SDY5,G1TIX5,G1SZT9,G1SMY6
11542 D3K5N7,A0A286ZV23,I3LNX4,F1SKF9,F2Z558,A0A287B4M4,F1RHK6,A0A287BHC9 G1TAE2,G1SZE4,G1SXC8,G1T0Y9,G1SDY5,G1TIX5,G1SZT9,G1SMY6
11542 D3K5N7,A0A286ZV23,I3LNX4,F1SKF9,F2Z558,A0A287B4M4,F1RHK6,A0A287BHC9 G1TAE2,G1SZE4,G1SXC8,G1SVF2,G1SDY5,G1TIX5,G1SZT9,G1SMY6
11542 D3K5N7,A0A286ZV23,I3LNX4,F1SKF9,F2Z558,A0A287B4M4,F1RHK6,A0A287BHC9 G1TAE2,G1SZE4,G1SXC8,G1SQU6,G1SDY5,G1TIX5,G1SZT9,G1SMY6
11542 D3K5N7,A0A286ZV23,I3LNX4,F1SKF9,F2Z558,A0A287B4M4,F1RHK6,A0A286ZQA1 G1TAE2,G1SZE4,G1SXC8,G1T0Y9,G1SDY5,G1TIX5,G1SZT9,G1SMY6
11542 D3K5N7,A0A286ZV23,I3LNX4,F1SKF9,F2Z558,A0A287B4M4,F1RHK6,A0A286ZQA1 G1TAE2,G1SZE4,G1SXC8,G1SQU6,G1SDY5,G1TIX5,G1SZT9,G1SMY6
11542 D3K5N7,A0A286ZV23,I3LNX4,F1SMW9,F2Z558,A0A287B4M4,F1RHK6,A0A287BHC9 G1TAE2,G1SZE4,G1SXC8,G1T0Y9,G1SDY5,G1TIX5,G1SZT9,G1SMY6
11542 D3K5N7,A0A286ZV23,I3LNX4,F1SMW9,F2Z558,A0A287B4M4,F1RHK6,A0A287BHC9 G1TAE2,G1SZE4,G1SXC8,G1SVF2,G1SDY5,G1TIX5,G1SZT9,G1SMY6
11542 D3K5N7,A0A286ZV23,I3LNX4,F1SMW9,F2Z558,A0A287B4M4,F1RHK6,A0A287BHC9 G1TAE2,G1SZE4,G1SXC8,G1SQU6,G1SDY5,G1TIX5,G1SZT9,G1SMY6
