Q99LC8 Q64270
O55226 A0A0H2UHB8
Q3UHI4 M0RAT6
E9Q1H7 D4A0Q3
Q99JX7 F1MA52
Q8BMU0 F1LNL6
P58465 M0R4W4
Q9Z0Y2 P04055
A2AH22 F1LNQ2
D3Z3A3 Q6IE50
E9Q774 D3ZS99
Q9WTM5 G3V8T5
A0A1N9NPH8 A4L9P8
Q3U309 A0A0G2JXZ4
A2AT37 D3ZT03
G3X8R0 B2RZ37
Q9WU62 A0A0G2K0Q6
Q9D2V5 B1WC03
P60670 F1LQX9
M9MMK0 D3ZHJ3
P58659 D4A895
E9Q9A6 B8K1X9
P56942 G3V6L0
Q3U1Z5 Q6MG88
P68500 F1M173
Q91V79 D3ZIQ3
P41183 B2GUV8
F6UC55 F1M6X3
Q3UN58 D4AAA5
Q62447 G3V738
Q9D1C3 Q5U1Z8
Q8K352 B5DFK2
G3UVW3 F1LRY2
P97766 D3ZGN3
Q9WUD1 D4A4T0
O35310 G3V7E2
P97318 Q8CJH2
Q8BWG9 F1LNX2
Q9D976 D3ZIG2
P68254 P68255
Q9CZ69 Q7TNZ9
Q3U741 A0A096MIX2
Q9CPX9 D3ZXM2
Q99MB1 F1LN63
Q91VD1 D3ZBX1
Q9JKV9 D3ZFI7
Q8BJD1 M0RAR2
A2AWP8 M0RBM9
Q76LW6 D3ZGN3
Q6P549 V9GZ88
Q9D0F1 F7F189
Q3UIL6 A0A0G2K6Z8
G5E872 M0RA44
Q9DCN7 D3ZG84
Q8CI52 D4A135
Q62108 P31016
P19785 A0A0G2K0D4
Q9JKQ4 A0A0G2K2M1
Q3UHQ6 A0A0G2JXD9
Q61526 G3V6N1
Q3UHD6 M0RBS9
Q3UFB7 P35739
Q62440 D3ZCM7
Q60722 A0A0G2JWU7
P98200 D4A3X6
Q5U4C1 M0R9R0
A2A259 D3ZDT6
Q6NSU3 Q6AYF6
Q9DD03 P35286
P0C192 D3ZSC1
A2ANX3 D4AA47
P49182 Q64268
Q9DBF7 G3V6I3
A0A1B0GR74 M0R8G5
Q62120 D3ZHJ4
Q3TPJ7 D4AE48
Q3UJV1 D4AE81
Q6EBV9 D4ABD5
Q9D554 P81155
A2CGA5 F7FLN8
P43021 D3ZGK9
Q9WTX6 B1WBY1
Q3U4G0 D3ZYC4
Q9Z1W9 O88506
A2ANY6 A0A0G2K9L9
Q9WTV7 B2RZD1
Q3UJV1 A0JPP8
Q9QYK5 D4A6E6
Q9CPV2 D3ZDN9
Q8R1C3 B5DEK8
Q8VEE4 Q7TP21
Q99M51 G3V7X3
P70160 P01257
O35160 P81062
Q8JZS7 D4A5C3
Q91WG5 A0A140UHX4
Q6P5F9 Q80U96
Q5SVQ0 A0A0G2K9F0
P62137 P62138
Q9DBQ9 D3ZHR0
Q80TG9 G3V7J3
Q60841 F1LZI7
Q9D3R3 D3ZVQ1
Q91YI4 P29067
Q3UQ17 Q5S3S9
Q61532 P27704
Q61080 M0R8R8
E9Q4F7 D3ZSU6
Q8VE19 D3Z9C0
P22518 D4ADG3
Q8BHG3 D3Z9E9
Q9WUV0 A0A0G2K6D6
Q91UZ1 F1LNK2
Q3TQQ9 Q5XI94
Q9WUP0 Q9JHJ1
Q9CVI2 Q505I5
Q8CJ70 D3ZFI7
Q99MV1 D4A3N0
A2A891 Q3KQW8
Q8VHQ3 D4AA72
Q3TMU8 F1LNT0
Q8VCR3 D4A7K0
Q9QZ26 A5HKJ1
B7ZBV9 F1M6X3
P61211 P61212
P70372 B5DF91
B2RRL2 M0R5M5
P70390 G3V7M9
Q80T69 D4A1U7
Q64010 Q63768
Q3ULW6 Q5XIR4
Q9ERE9 G3V9M2
Q3TDN2 Q5BK32
O70263 B6RHI6
Q8BTW3 D4ABC5
Q8BUN5 P84025
Q63844 P21708
P43135 O09018
P02340 P10361
Q8VHG2 A0A0G2JX94
Q9ESF1 Q9ERC5
E9Q156 D4A0Q3
Q60954 B1WC31
P97792 Q9R066
P97813 F1LPQ4
D3YX87 D3ZMW3
A0A0R4IZW5 Q9R0T4
Q8R5L1 O35796
Q8BGT0 Q4QQU9
P47873 G3V890
D3Z656 Q62910
Q9CPX5 Q4KLN5
Q8JZM6 Q5BK67
Q811Q9 G3V7M5
Q9JKC8 Q6IRG9
Q64343 G3V642
Q3V1U8 D3ZDJ3
Q9CQJ4 Q4KLY4
Q8VEJ3 D4ADQ6
Q9R0N0 Q5RKH2
B2RWS6 A0A0G2QC09
A2BGN7 Q5BJY8
Q2TV84 F1M9X0
E9Q289 Q6DGF9
P61080 D3ZDK2
P35456 M0R3P2
Q9DB43 M0RCA3
P25118 A0A0G2JSU9
Q8K3I4 D3ZTL2
Q9D0A3 D4A1B2
F8VPX2 F1MAM1
H3BJD7 G3V877
Q99K46 Q5D006
P13412 P27768
Q8R5A3 D3ZDZ1
E9PUA2 D3ZKR9
Q6P5B0 M0R3M8
Q8BH70 B1WBR8
Q3UGS4 B0BN72
D6RH62 Q3ZAU5
E9QK16 F1LMF4
Q99LU8 Q7TP28
Q9EQ14 Q91Z84
A0A0R4J1E2 Q68FR9
Q922G2 D3ZEU8
Q8R464 F1M7V6
Q60838 D3ZB71
P18762 Q8VBU7
P42866 P33535
P09535 P01346
Q04207 Q7TQN4
Q9WUC3 F1LNW6
P54276 D4A0U9
Q8R1H8 D3ZT85
Q9R078 P80386
P26450 F1LNG5
Q5SV80 D3Z8I9
Q7TN31 F1MAK0
Q562D6 Q4V7E0
O35459 Q62651
Q9EPW4 D4A0E3
Q61826 O70540
Q9QZW9 M0R6D8
D3Z1Q2 D4AE95
A2AQ52 Q5PQV1
Q9DBB4 M0RC73
Q9Z1K6 D3ZJB8
P63087 P63088
P54823 D3ZD73
Q60676 P53042
O35544 F1LR26
Q8BSM7 F7FL53
A2ARI4 Q9Z2H4
Q05769 P35355
P12850 G3V6C6
Q52KF3 D3ZEX7
F6ZFU0 Q68FR9
P39428 M0R5V5
P70168 F2Z3Q8
Q148W0 D4AA47
F7AC58 A0A0G2JWS3
O88992 D3ZEN8
O08537 Q59IV8
P62259 P62260
Q64385 Q99MF4
P68510 P68511
Q9Z1R2 Q6MG49
P62340 D4A898
P51637 P51638
B9EKE5 A0A0H2UI37
Q8BVR6 A0A0G2K1G4
E9Q5D9 F1M9B2
Q9R059 D3ZPF0
Q99LI9 Q5PQL4
Q9D979 D4A8L7
Q9CYX7 Q5M947
Q8CI75 D3ZIL9
A7L9Z8 M0RAF9
Q78YZ6 Q5RJZ6
Q9JHQ5 Q562C6
P14142 P19357
Q62158 B5DFI5
Q505D1 F1M400
Q3TTL0 Q66H33
Q3TQ39 F1LS98
Q62376 B2RZ74
Q0VDY1 D3ZSJ1
B7ZCC9 A0A0G2JXP6
P62715 P62716
Q8R373 Q8K1G0
O89013 Q9JLS8
Q7TNS2 B2RYW8
Q80TN5 E9PTT0
Q9CXV9 Q5PPL2
Q8CGN4 D4A2J9
Q8BHD7 Q9Z118
E9QKM8 O70509
Q91VR7 Q6XVN8
Q60754 M0R9F7
P28700 Q0VJ96
B2RQE8 F1M2Q1
O70551 E9PTN4
Q91Y86 F1LP66
Q9CPW4 Q4KLF8
Q8K249 E9PU35
Q8BTW3 D3ZW38
Q9WVB0 F1M9Y9
Q56A06 F1M369
P20029 P06761
Q6PAJ1 F1LXF1
O70469 D3ZHJ4
P63085 P63086
E9QJS7 A0A0G2JSI4
P19091 A0A0G2JSI8
Q9EQH4 D3ZY89
P29121 D3ZKU8
Q9CZX5 A4L691
Q7TMD7 Q6W3B0
Q64323 D4AAY7
Q8CG64 Q4KLJ4
Q9D0T2 Q9JIM4
Q03526 D4A7W7
Q8BMJ8 D3ZQL2
Q80U70 A0A0G2K2I0
M0QW46 D3ZS54
A2RTU1 D3Z9R9
Q3ULF4 Q7TT47
P60766 Q8CFN2
P01193 Q8K422
P59941 Q4FZY2
Q9ERD7 Q4QRB4
Q9D7F2 D3ZUF1
A0A286YDD7 D3ZKR9
E9Q6P5 A0A0G2JXJ6
E9QK89 Q5U2M8
O55222 Q99J82
Q8CFE2 D3ZMN2
A0A1L1SU27 D3ZQ60
Q1RNF8 D3ZMX5
Q61502 F1LRB5
Q9D8T0 B5DFJ2
O35226 O88321
Q9QZS8 A0A0G2JYH7
Q925H1 D3Z9R9
Q64131 A0A0G2K9V0
D3Z5T8 F1LZD2
Q9DBP0 A0A0H2UHZ0
Q3U3I9 F1LMF4
E9Q4M7 Q6AZ60
Q9EQS9 F7EL93
D3Z5N8 G3V9A0
P29788 Q3KR94
Q8BIJ7 F1LR42
F8VPR5 F1M9G7
Q5F289 D3ZZ79
Q9JKV9 D4A2T8
Q9CQG3 Q7TSV3
P46938 Q2EJA0
Q9JLV1 Q5U2U8
Q9CQV8 P35213
Q3UZB0 D4A548
Q91ZD1 Q6AY34
P35377 P35370
E9PUB7 D3ZMW3
P97428 Q4L0E9
D3YXK6 D3ZJW0
P20722 Q04906
Q62312 P38438
P36898 M0R3J4
Q61115 Q6UY90
Q8R317 A0A140TAI1
Q6Y4S4 Q7TSB7
Q14DH7 A0A0G2K047
S4R1V8 A0A0G2JSI4
P51908 P38483
Q8C253 P08699
O08788 D4A8U7
Q8VC60 B1WBS6
O35903 Q32PX4
Q923E4 A0A182DWI7
Q921E6 B5DF02
P61407 D3Z9I3
Q8BIV3 D4A634
P43407 Q6IRK3
Q8C708 Q5BK39
Q7TMB8 D4A8H8
O88947 A0A0H2UHR6
Q3U1D0 D3ZVQ9
Q9D842 F6Q5G6
Q00560 F1LPK1
Q5RJI4 F1LMM4
Q3UC65 Q5U2S0
Q64387 Q62923
Q80W22 Q5M7T9
Q9EQX0 Q9QYH7
Q76LW6 F1LV65
E9QK82 P06907
Q8R1F9 Q5BK64
Q8BKJ9 B2RZ55
Q9DBY4 Q496Z2
Q80VP5 F1LWN5
Q6NVF0 D3ZGS3
Q64441 Q09128
A0A0B4J1F1 D4A7E9
D3YXQ7 F1LR39
Q811Q9 A0A096MK76
P18828 P26260
P01108 P09416
Q8BJA2 D3ZM22
Q5M9N4 B2GUT8
P42227 P52631
P05627 P17325
Q8C0M0 D3ZGZ9
Q8C0D4 A0A0G2K1Z2
Q99LM2 Q642E3
Q07832 A0A140TAD2
Q9JI48 B5DF36
Q9QZ09 F1M8G0
Q9QZS2 O88846
O08992 Q9JI92
Q01279 G3V6K6
Q69ZS0 A0A0G2K4K7
Q99JB6 D4Q8I2
O88855 Q9R0Q2
A2ATK9 D4A7Y4
F8WIJ5 Q3ZAU5
O09106 Q4QQW4
O35375 O35276
O35864 F7EUU4
Q8R2G4 Q6AYJ9
Q8K3K7 D4AC45
Q9CRA0 F1MA10
P70196 B5DF45
P61219 O88828
A0A0B4J1E2 D4A8G7
Q9DAY6 D4AEK7
P97473 Q3SWU0
A2ABU4 D4A228
Q8BW56 Q53E76
Q8CBD1 G3V672
Q9ERG0 F1LR10
Q3TRM8 A0A0G2JST6
Q3TD49 Q5PQL3
P70377 Q9ERW3
O88876 Q3B7V0
Q7TS68 B1WC69
E0CXC6 Q5XIU7
Q3UR42 D4A9D6
Q80WJ6 F1M7G9
Q80WJ1 Q66HC8
O54864 G3V6S6
Q9CWQ8 Q5BJZ0
Q04744 D3ZCK7
P20181 P18280
P60710 P60711
A0A0R4J0I7 G3V877
Q8VI59 D3ZSQ1
Q3UTJ7 Q6AZ60
A0A0R4IZZ1 F1LRS5
A0A0R4J0T0 D3ZME7
P10300 G3V6V7
E9QJU7 F1LS93
Q32NY8 A0A0G2JYQ8
P48754 G3V8S5
Q7TQK4 D3ZT51
Q80UL9 D4A1C2
Q4VBE8 A0A0G2K9Y9
Q8R1N0 Q3MHS2
Q61488 G3V7Y0
Q3V2J9 D3ZBW4
Q6NVG5 D4A9U9
Q8BTI8 A0A0G2K2M9
Q3UQ84 Q68FW7
Q8BGN2 Q5M845
Q810D6 A0A140TAH3
Q91YK8 O55162
Q8BQR7 G3V932
G3UYL9 G3V7D9
P13634 B0BNN3
P32082 Q02644
P12023 P08592
F7C846 A0A0G2JU49
Q8VEK3 Q6IMY8
Q8R0L1 A0A0G2JYH7
Q06890 G3V836
A2RRY8 A0A0G2K8X4
Q3TUA9 Q4V8A9
G3UW60 D3ZSC1
Q8K450 A0A0G2K9K6
Q61187 Q6IRE4
Q920H1 Q71MM7
Q61069 O35410
Q8R010 A0A0A0MXY5
E9PYR6 Q9ERC5
Q3TY60 F8WFH6
Q61878 G3V729
P80313 D4AC23
P59240 G3V9Y6
Q8R326 Q4KLH4
Q5SSH7 D3ZG78
Q8CHD8 Q66H66
Q9JLV5 A0A0G2JSP3
Q68FH0 F1M2K6
Q8K249 D0V9T4
Q80V62 A0A0G2K5U0
Q5M9N4 D4A0Z0
P63157 P63156
Q99J78 Q4V8I4
Q6ZQJ5 A0A0H2UH92
Q8JZL2 P97639
P63056 P63057
Q8VIG3 A0A0G2K8M2
Q99LL5 D4A1H8
Q8C708 Q6IRH4
Q7TPG5 B1H244
P97377 Q6P751
Q9CQQ0 G3V8Z7
Q8VIG1 D4A7T2
Q9JJV5 Q8VHX0
Q91W63 Q6AY91
Q8BKE6 F1LSK6
P39429 B5DFH7
P49769 P97887
P08113 A0A0G2K099
O35284 D4A7E1
Q8CI61 F1M3K6
Q9CQE6 D3ZFM1
Q9D6N5 A0JPP1
P42582 P13832
E9Q3H6 D3ZX74
A0A0R4J0R3 Q6AXU3
Q3U3I9 M0R740
Q9R0K7 P11506
Q8CB76 M0R5T3
Q4VBE8 F1LR39
A2AQJ8 D4A7G5
A2CGA3 F7FLN8
Q91UZ1 D4A8C5
Q3U595 M0RBE6
Q71KT5 Q5BK21
Q6PGH1 O70454
Q61062 D4ADV8
P16254 B2RYW7
Q9JMI7 G3V8N9
Q80WM7 D4AB49
Q78IQ7 A0A0H2UHY4
Q9Z0F6 D3ZXM2
P54751 E9PSJ1
P68369 P68370
Q62053 Q62928
D3YXQ7 A0A0G2K9Y9
Q61510 D4A9N5
A2AJW5 D3ZSF0
O35679 E9PU35
P32443 G3V6T9
A2AEG2 D3ZUD5
Q9R0S2 A0A0G2KA10
