9689 Q9TUB2,A0A287AKH6,A0A287B4M4,A0A286ZQA1,A0A286ZV23,F2Z558,D3K5N7,A0A286ZS33 G1TVU3,G1SL48,G1TIX5,G1SIC9,G1SZE4,G1SDY5,G1TAE2,G1SKM1
10623 A0A287A2J9,Q9TUB2,A0A286ZQA1,A0A286ZV23,A0A287BHC9,A0A287BF06,D3K5N7,F2Z558 G1SZR6,G1T143,G1SIC9,G1SZE4,G1SMY6,G1TN62,G1TAE2,G1SDY5
9647 Q9TUB2,A0A286ZV23,A0A287A2J9,A0A287B4M4,A0A286ZQA1,D3K5N7,F1RGG1,F2Z558 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1TAE2,G1TN62,G1SDY5
9647 Q9TUB2,A0A286ZV23,A0A287A2J9,A0A287B4M4,A0A286ZQA1,D3K5N7,A0A287BSE8,F2Z558 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1TAE2,G1SDP7,G1SDY5
9647 Q9TUB2,A0A286ZV23,A0A287A2J9,A0A287B4M4,A0A286ZQA1,D3K5N7,A0A287BF06,F2Z558 G1TVU3,G1SZE4,G1SZR6,G1TIX5,G1SIC9,G1TAE2,G1TN62,G1SDY5
9268 Q9TUB2,A0A287A2J9,A0A286ZV23,A0A286ZQA1,A0A287B4M4,K7GRS5,D3K5N7,F2Z558 G1TVU3,G1SZR6,G1SZE4,G1SIC9,G1TIX5,G1TPJ7,G1TAE2,G1SDY5
11171 Q9TUB2,A0A287A2J9,A0A286ZQA1,F1RHK6,A0A287B4M4,A0A286ZS33,A0A287BHC9,A0A287AB66 G1TVU3,G1SZR6,G1SIC9,G1SZT9,G1TIX5,G1SKM1,G1SMY6,G1TRW0
11171 Q9TUB2,A0A287A2J9,A0A286ZQA1,F1RHK6,A0A287B4M4,A0A286ZS33,A0A287BHC9,A0A287AUP1 G1TVU3,G1SZR6,G1SIC9,G1SZT9,G1TIX5,G1SKM1,G1SMY6,G1TRW0
9332 A0A286ZV23,A0A286ZS33,A0A287A2J9,D3K5N7,K7GR70,P79307,A0A287BHC9,F2Z558 G1SZE4,G1SKM1,G1SZR6,G1TAE2,G1TVU3,G1SZM2,G1SMY6,G1SDY5
9332 A0A286ZV23,A0A286ZS33,A0A287A2J9,D3K5N7,K7GR70,P79307,A0A287BHC9,F2Z558 G1SZE4,G1SKM1,G1SZR6,G1TAE2,G1T143,G1SZM2,G1SMY6,G1SDY5
9332 A0A286ZV23,A0A286ZS33,A0A287A2J9,D3K5N7,K7GR70,P79307,A0A287BHC9,O02705 G1SZE4,G1SKM1,G1SZR6,G1TAE2,G1TVU3,G1SZM2,G1SMY6,G1SDY5
9332 A0A286ZV23,A0A286ZS33,A0A287A2J9,D3K5N7,K7GR70,P79307,A0A287BHC9,O02705 G1SZE4,G1SKM1,G1SZR6,G1TAE2,G1T143,G1SZM2,G1SMY6,G1SDY5
9332 A0A287A2J9,A0A286ZV23,I3LM88,A0A286ZS33,A0A287BHC9,D3K5N7,F2Z558,F1RHK6 G1SZR6,G1SZE4,G1SJW3,G1SKM1,G1SIC9,G1TAE2,G1SDY5,G1SZT9
4714 A0A286ZV23,A0A287B4M4,A5GFY4,Q9TUB2,I3L897,D3K5N7,F1RHK6,F2Z558 G1SZE4,G1TIX5,G1SZ83,G1TVU3,G1SXS3,G1TAE2,G1SZT9,G1SDY5
4714 A0A286ZV23,A0A287B4M4,F1RN84,Q9TUB2,I3L897,D3K5N7,F1RHK6,F2Z558 G1SZE4,G1TIX5,G1TA41,G1TVU3,G1SXS3,G1TAE2,G1SZT9,G1SDY5
4714 A0A286ZV23,A0A287B4M4,A0A286ZQL9,Q9TUB2,I3L897,D3K5N7,F1RHK6,F2Z558 G1SZE4,G1TIX5,G1T579,G1TVU3,G1SXS3,G1TAE2,G1SZT9,G1SDY5
4714 A0A286ZV23,A0A287B4M4,A0A286ZQL9,Q9TUB2,I3L897,D3K5N7,F1RHK6,F2Z558 G1SZE4,G1TIX5,G1SZ83,G1TVU3,G1SXS3,G1TAE2,G1SZT9,G1SDY5
4714 A0A286ZV23,A0A287B4M4,I3LPN4,Q9TUB2,I3L897,D3K5N7,F1RHK6,F2Z558 G1SZE4,G1TIX5,G1T579,G1TVU3,G1SXS3,G1TAE2,G1SZT9,G1SDY5
10515 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A286ZQA1,A0A286ZS33,D3K5N7,F1RX16 G1TVU3,G1TIX5,G1SZE4,G1SZT9,G1SIC9,G1SKM1,G1TAE2,G1T336
10515 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A286ZQA1,A0A286ZS33,D3K5N7,F1RIG2 G1TVU3,G1TIX5,G1SZE4,G1SZT9,G1SIC9,G1SKM1,G1TAE2,G1T617
10515 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A286ZQA1,A0A286ZS33,D3K5N7,F1RJ01 G1TVU3,G1TIX5,G1SZE4,G1SZT9,G1SIC9,G1SKM1,G1TAE2,G1T617
10517 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A286ZQA1,A0A286ZS33,D3K5N7,F1SMV6 G1TVU3,G1TIX5,G1SZE4,G1SZT9,G1SIC9,G1SKM1,G1TAE2,G1TVT0
10517 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A286ZQA1,A0A286ZS33,D3K5N7,F1RSE6 G1TVU3,G1TIX5,G1SZE4,G1SZT9,G1SIC9,G1SKM1,G1TAE2,G1TVT0
10517 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A286ZQA1,A0A286ZS33,D3K5N7,F1RSE6 G1TVU3,G1TIX5,G1SZE4,G1SZT9,G1SIC9,G1SKM1,G1TAE2,G1SFY9
10517 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A286ZQA1,A0A286ZS33,D3K5N7,F1RSE6 G1TVU3,G1TIX5,G1SZE4,G1SZT9,G1SIC9,G1SKM1,G1TAE2,G1T0H3
10332 A0A287A2J9,I3LM88,Q9TUB2,A0A287BHC9,A0A286ZS33,F2Z558,F1RHK6,D3K5N7 G1SZR6,G1SJW3,G1T143,G1SMY6,G1SKM1,G1SDY5,G1SZT9,G1TAE2
10332 A0A287A2J9,I3LM88,Q9TUB2,A0A287BHC9,A0A286ZS33,F2Z558,F1RHK6,D3K5N7 G1SZR6,G1TBS9,G1T143,G1SMY6,G1SKM1,G1SDY5,G1SZT9,G1TAE2
7945 A0A287B4M4,F1S9X6,A0A286ZV23,F1RHK6,Q9TUB2,F2Z5I5,D3K5N7,F2Z558 G1TIX5,G1SQR5,G1SZE4,G1SZT9,G1TVU3,G1U419,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,A0A287A096,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SCY4,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,A0A287A096,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1T1X4,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,A0A287A096,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SWA1,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,A0A287B401,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SLM0,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,A0A287B401,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1T1X4,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,F1SFQ4,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SCY4,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,F1SFQ4,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1T1X4,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,F1SFQ4,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SWA1,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 A0A287B4M4,A0A286ZV23,Q9TUB2,A0A286ZMP7,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SCY4,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 A0A287B4M4,A0A286ZV23,Q9TUB2,A0A286ZMP7,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1T1X4,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,P61292,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SLM0,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,I3LRY4,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SLM0,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,I3LRY4,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1T1X4,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,I3LRY4,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SWA1,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,I3LP37,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SCY4,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,I3LP37,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1T1X4,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,I3LP37,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SWA1,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,A0A287AEI6,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SCY4,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,A0A287AEI6,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1T2C3,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,A0A287AEI6,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SWA1,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,A0A287BLB3,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SCY4,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,A0A287BLB3,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1T1X4,G1SZT9,G1SKM1,G1TAE2,G1SDY5
9421 Q9TUB2,A0A286ZV23,A0A287B4M4,A0A287BLB3,F1RHK6,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1SZE4,G1TVU3,G1SWA1,G1SZT9,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RP44,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RP44,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,U3KN03,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RP44,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TPN2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RP44,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKW5,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RP44,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1T6B3,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RJX8,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RJX8,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,U3KN03,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RJX8,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKW5,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RJX8,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1T6B3,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1S0D9,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1S0D9,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,B7NZD2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1S0D9,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,U3KN03,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1S0D9,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TPN2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1S0D9,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKW5,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1S0D9,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1T6B3,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A288CG47,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A288CG47,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKZ3,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A288CG47,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,B7NZD2,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A288CG47,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TPN2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,I3LR86,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,I3LR86,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKZ3,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,I3LR86,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,B7NZD2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,I3LR86,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,U3KN03,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,I3LR86,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TPN2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287B5K5,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1T9H0,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287B5K5,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SQG5,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287B5K5,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1T6B3,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1SAU5,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1SAU5,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,U3KN03,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1SAU5,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TPN2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1SAU5,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKW5,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1SAU5,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1T6B3,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287A6L4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287A6L4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,U3KN03,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287A6L4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TPN2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287A6L4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKW5,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287A6L4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1T6B3,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287BNK4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287BNK4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKZ3,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287BNK4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,B7NZD2,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287BNK4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,U3KN03,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,A0A287BNK4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TPN2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287A4H3,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKW5,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,A0A287A4H3,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1T6B3,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F1SID1,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F1SID1,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SKZ3,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F1SID1,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,B7NZD2,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F1SID1,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,U3KN03,G1SKM1,G1TAE2,G1SDY5
10486 A0A287B4M4,Q9TUB2,A0A286ZV23,F1RHK6,F1SID1,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1TPN2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,F1RQZ0,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SQG5,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,M3TYJ4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,G1SH00,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,M3TYJ4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,B7NZD2,G1SKM1,G1TAE2,G1SDY5
10486 Q9TUB2,A0A287B4M4,A0A286ZV23,F1RHK6,M3TYJ4,A0A286ZS33,D3K5N7,F2Z558 G1TIX5,G1TVU3,G1SZE4,G1SZT9,U3KN03,G1SKM1,G1TAE2,G1SDY5
