A0A287BAP6 A0A287AIE4
A0A287BLR6 A0A287AYE2
K7GR11 A0A287ALR6
A0A287AZI4 A0A287AZI4
F1RU22 F1RU22
A0A287A8A9 A0A287A8A9
A0A287BBR4 F1RXX4
A0A287BDP3 F1SSQ5
F1SJB5 F1SJB5
A0A286ZJ48 F1S467
A0A287B469 F1RKE0
A0A287BFC6 A0A286ZMZ8
I3LCK2 F1ST22
F1S475 F1S475
A0A287B425 Q28987
I3L5H9 I3L5H9
A0A286ZZW4 A0A286ZZW4
A0A287B182 F1RF78
A0A287B4K8 A0A287ATG8
F1S6Q9 F1S6Q9
A0A287AMV5 A0A287AZ54
F1SGD7 F1SGD7
F1RV73 I3LVN6
A0A287B144 A0A287B144
F1RG99 F1RG99
M3VK31 F1S5B2
F1SLM7 F1SLM7
F1SB65 F1SS65
D3Y270 D3Y270
A0A287BA13 A0A287B585
A0A287AA47 F1SGG6
I3LIL0 I3LIL0
A0A287A2Y6 A0A287A2Y6
A0A287BJY9 A0A287BJY9
F1SIZ8 A0A287BFL6
I3LG10 F1SAZ7
F1SLC7 K7GLC1
A0A287BR67 F1SLN1
P18430 Q59HI6
A0A287B677 F1S5B2
A0A286ZMB2 F1S5D3
F1RJ58 F1RJ58
F1SEC3 A0A286ZQI0
F1S041 F1S041
A0A287AZ31 A0A287AZ31
F1RNW6 F1RNW6
A0A287B540 A0A287B540
F1SBW5 A0A286ZP72
A0A286ZSD4 F1SNB4
I3LTQ6 I3LTQ6
A0A287B0E9 A0A287B0E9
A0A286ZRF4 A0A286ZRF4
A0A287ACY5 I3LG49
A0A287ACT6 A0A287ACT6
I3LHE7 A0A287B6C7
C9K505 C9K505
F1RW03 F1SKJ0
A0A287AA61 A0A287AA61
A0A287B8R2 A0A287B8R2
B2CZF8 B2CZF8
A0A286ZZC6 P23695
F1S5D3 I3LBA6
A8S2C3 A8S2C3
F1SA74 F1SA74
I3LAL1 F1SUY1
I3LRY4 A0A287A096
I3LA49 F1RX70
A0A287A3E8 F1RWF9
F1S8W8 A0A287AV79
A0A287BKR8 A0A287AZI1
F1RGP5 F1RGP5
A0A287BAP4 A0A287BAP4
I3LQD7 F1SRC5
F1SCJ1 Q28987
F1RUR8 I3L7Z6
A0A287B7G9 F1RPV0
K7GS70 I3LHE7
I3LTJ3 F1RM11
B0LUW3 B0LUW3
A0A286ZT47 A0A287APX6
A0A288CFU9 A0A286ZZU7
F1S7U2 F1S7U2
F1SAA5 F1SAA5
A0A286ZJ33 A0A286ZJ33
F1STH0 A0A287B6C7
A0A287AMN8 A0A287A447
F1SBK5 I3L9K6
F1RMX5 I3LTW0
F1SIZ8 F1STU9
A0A287BPI3 F1SSZ0
F1S348 F1S348
F1SS00 F1SCM8
K9J4W3 F1SRD2
I3LIB1 I3LIB1
A0A286ZQL2 A0A286ZT33
F1SS82 Q95266
A4U9C9 F1SV01
F1RW98 A0A287B7K2
M9NIX2 F1S4B7
F1RT09 A0A286ZMT8
F1RK24 F1RSQ2
A0A287ATP5 E5F1H6
A0A286ZTU1 A0A286ZTU1
A5GHK9 A5GHK9
A5GFP8 A5GFP8
A0A287B5U9 A0A287B5U9
F1S9R4 F1S9R4
A0A287AMM6 A0A287BMK7
F1RNP8 F1RNP8
F1SJY2 F1SGX2
A0A287AHQ9 A0A287AHQ9
A0A287AZI4 F1RL13
A0A287AF60 F1RNQ3
F1RIF6 A0A287B0L2
A1E295 A1E295
I3LAB4 A0A287BPY6
A0A286ZYG8 A0A286ZYG8
F2Z5V1 F2Z5V1
Q95266 F1S7L7
B8Q504 A5GFN6
A0A287BM92 A0A287BM92
F2Z587 F1SET7
A0A287AWQ9 A0A287AG28
A0A287APK5 A0A287BAP6
Q8WNW2 F1SAH1
A0A287BHL2 I3LG10
K7GQZ2 K7GQZ2
I3LHL8 F1RZV8
A0A287AVQ0 A0A287AVQ0
I3LFB6 I3LFB6
A0A287A6N8 F1RUA0
F1RSD3 F1RSD3
I3LHE7 A0A287BJT5
A0A287ARW8 A0A287ARW8
I3LU21 A0A287B5B7
A0A287BH46 A0A287BH46
A0A287AQ36 I3LPV8
F1SGG6 F1SGG6
A0A287B7J8 A0A287B7J8
F1RMB8 F1RMB8
I3L5P4 I3L5P4
F1SKB0 F1SKB0
I3LAL1 I3LAL1
A0A287B2D0 A0A287B2D0
A0A287BD45 F1SLW7
Q4PS85 F1SFM0
B0LY42 B0LY42
A0A287B223 A9UHP1
F1RX92 A0A287ARB0
A0A287BIN4 A0A287BIN4
F1SED7 O18887
K7GND6 K7GND6
F1SDN3 A0A287A7J0
F1S467 F1RTK1
F1S9W5 F2Z5R8
I3LH88 F1RHK8
F1REZ4 F1REZ4
F1S4W8 A0A287ABI7
F1SUS6 F1SQ08
F1S4E9 F1SRN1
K7GL66 F1S1D3
F1RYP8 F1SKT4
A0A286ZPP8 A0A286ZPP8
A0A287AB68 A0A287AB68
I3LG10 F1SRN9
A0A287B6K3 A0A287B6K3
F1SLS8 F1SLS8
F1RVY1 F1SFC1
I3LL04 I3LL04
A0A286ZK88 A0A286ZK88
A0A287APX2 A0A287A800
F1SA23 I3LP66
E7D6R3 Q8SPR7
I3LJQ0 A0A286ZTW4
A0A287A450 I3LPJ3
F1SNW8 F1SNW8
P61288 P61288
F1S860 F1S860
F1SPI9 F1RY95
K9J4W3 F1SA23
A7WLI1 I3LFW6
F1RHN8 F1SK28
A0A286ZYS4 A0A287AWQ9
A0A287ARG0 F1RPB6
A0A287AU31 A0A287A7L1
F1S1H2 F1S265
F1RSG0 I3LE33
A0A287BDY2 A0A287BDY2
K7GPQ5 A0A286ZTX2
F1RS82 F1RNN7
F1SUY1 A0A286ZNE4
I3L5T0 I3L5T0
F1RQS5 F1RQS5
A0A287AA06 A0A287AH79
F1RP07 A0A287A1Y5
I3LJP2 I3LJP2
F1RPV0 F1RIV1
A0A287B0I6 A0A287B0I6
K7GN34 A0A287AMN8
F1STB6 F1STB6
A0A287AJF0 A0A287AJF0
A0A287BAU3 A0A287BAU3
A0A287BNU9 F1S855
I3LQ78 F1S064
Q864U8 Q864U8
I3LG34 I3LG34
A0A287AA47 A0A287AA47
A0A287AR61 F1S523
F1SB65 I3LCK2
F1RZI3 F1RSG0
G9F6X8 A0A287AXH6
F1SUD4 D3K5K5
K7GLC1 F1RS05
F1SKG2 F1RMJ3
F2Z5R8 Q8HYA9
Q3I5G7 Q3I5G7
I3LAL1 F1SFG4
A0A287ADY7 I3LUY4
I3LBJ3 F1RJF5
A0A287A8L7 A0A287A8L7
Q06AB2 A0A287BPB4
I3LCP8 F1SLB6
F1RRW2 I3LUH9
A0A287BGY5 A0A287BGY5
A0A286ZYR1 A0A287ATR1
F1RZ97 F1RZ97
P49927 P49927
A0A287AG61 A0A286ZPX7
F1RHW0 F1SGG6
D3Y268 A0A287B487
A0A287B6N3 I3LFB5
A0A286ZJ70 A0A286ZJ70
P34999 P34999
I3LVJ9 F1S448
I3LR13 I3LR13
A0A287B6H5 F1RX70
F1RFB7 F1RU77
F2Z5E6 F1RFD3
F1RNN7 F1RS82
A0A287AAN9 A0A287AAN9
I3LK93 F1RJF5
A0A286ZXE1 F1SBF2
A0A287AKR9 A0A287AKR9
A0A286ZNE4 I3LUT9
P01274 P01274
F1SJ12 F1SJ12
F1RI80 F1RI80
A0A287A7M2 A0A287B9L2
A0A286ZY04 F1RWZ0
A0A287A720 A0A140UHW4
I3LUX4 G9K122
A0A287B6C7 I3LHE7
F1S6G8 A0A287B2X3
F1RY67 A0A287AHQ9
A0A286ZHY0 A0A287BRY2
I3LNJ8 I3LNJ8
F1SSN6 F1SPI9
F1SIW4 F1SIW4
A0A287AMN8 G9K122
I3L8W5 A0A287AN34
F1S7T8 F1S7T8
A0A286ZRS5 A0A287AEF8
I3LCU3 F1RL90
A0A287BBB7 F1SUS3
I3LBQ4 F1REY3
A0A287A9M9 A0A287A9M9
F1SCE3 F1S856
F1RJI0 F1RJI0
A0A287BJH6 Q3S853
F1STN2 F1STN2
F1RQM2 F1RQM2
F1S0X6 F1SNG8
F1S615 F1S1X5
J9JIL2 F1S632
A0A286ZQE2 F1SAM0
A0A286ZNE4 F1SUY1
A0A287AN37 A0A287BFE6
A0A287A2C8 F1RXX3
I3L855 I3L855
A0A287AUT3 A0A287AUT3
F1S430 A0A287AI94
F1S5K9 F1SJ88
K7GQS5 K7GQS5
A0A287BEB8 A0A287ALR6
F1SUA0 A0A287BDU8
A0A286ZRF4 F1RSQ2
A0A287B017 A0A287B017
F1RT09 A0A287AZ63
I3LN88 A0A287B4V5
F1SKK1 F1SLZ3
F1RWM3 F1RWM3
M3UZ00 M3UZ00
F1RLC1 A0A287BGT9
A0A287ARG0 K7GMG2
I3L5K2 I3L5K2
A0A287AJ30 A0A287AJ30
F1S373 F1S373
F1S8X0 I3L8W5
A0A287AI02 F1ST61
I3LLY8 F1RP25
F1RL04 F1RL04
I3LH38 I3LH38
F1RJE3 A0A287A8L7
A0A287BKR8 A0A287BB55
A0A287ANH9 A0A287ANH9
A0A287ARV3 F1RZH1
A0A286ZR59 A0A286ZR59
I3L8W5 F1RZV8
M3VH47 M3VH47
F1S9Z3 F1S9Z3
F1RR25 A0A0A0MY60
F1RNA5 F1RNA5
A0A287B209 F1S116
F1SUB2 F1SNW8
F1RPN0 I3LLP1
A0A287AXH0 A0A287AXH0
F1S5N6 F1SP25
I3LBP8 I3LBP8
F1RX92 K7GMG2
F1RR45 Q8SPJ9
F1RGM6 F1RGM6
F1SNT8 F1SNT8
F1SDX6 F1S373
F1RY95 A0A287APU1
A0A287AJL9 A0A287AJL9
F1SFN1 F1SFN1
I3LLX9 F1RT67
F1RT41 I3LRD1
K7GMF6 K7GMF6
F1SIS1 A0A287B1K1
A0A287ASY7 A0A287ASY7
F1RT09 A0A287BDA1
Q8WNW8 Q8WNW8
F1RJX6 A0A287ALR6
K7GNY7 K7GS94
P67937 P67937
F1S7L6 F1S7L6
A0A287AF85 F1SJG2
F1SIK8 F1S0T9
F1RT87 M3VJZ7
F1S5B2 F1S5B2
A0A287A6N8 A0A287A6N8
A0A287B519 A0A287B519
A0A287A9Y2 A0A287A9Y2
I3LJ12 A0A286ZWL3
F1RVS6 Q6RWA7
Q1W0Y2 A0A287ALE5
A0A287AHC7 M9MMN1
A0A287B0C9 A0A287BC40
A0A287B1J5 A0A287ATM8
I3L9K6 F1SFC1
F1SC46 F1SC46
A0A287AGA6 A0A287AN30
F1SKN8 F1SKN8
A0A287AZS4 A0A287AZS4
F1SUW7 F1SUW7
F1SJI1 F1SJI1
A0A287AEI6 A0A287AEI6
I3L7T4 I3L7T4
I3LFB5 F1RSK2
F1SGQ7 A0A287BEQ2
F1SEX4 A0A287A8Y0
F1RHQ3 F1RHQ3
A0A287AZJ1 A0A287AZJ1
A0A287BIK7 A0A287BIK7
I3LQB2 I3LQB2
F1S5N6 I3LBY1
F1SAA5 K9J4V0
A0A287BSR1 K9IWC9
K7GLM8 K7GLM8
F1RX65 F1S7L6
F1S196 F1S196
A0A287AIE4 A0A287APK5
K7GQH5 I3LIL0
I3LLK9 I3LLK9
F1SAZ7 A0A287BHL2
I3LU21 A0A287A527
F1SEP5 F1SEP5
K9IWC9 A0A287BSR1
C3S7K6 C3S7K6
A0A287ALR5 F1RZI3
A0A287AWP2 F1S2I2
A0A286ZYH6 A0A287ACM5
A0A286ZIN7 A0A286ZIN7
F1S0S4 F1S0S4
A0A287BFA5 A0A287AGA6
I3LA49 A0A287B6H5
F1RI75 F1RI75
F1SC59 F1RF24
F1SS61 F1SK28
A0A287BJT5 A0A287BJT5
I3LJ73 I3LJ73
F1S1G0 A0A287AK10
F1RUA7 B5KFA0
F1SC78 A0A287B293
F1S0T9 F1SSH9
I3LIC4 A0A287A7Y2
I3LFB8 P01219
F1RXC9 F1RXC9
A0A286ZLD7 A0A286ZLD7
F1RMY9 F1RMY9
F1RM11 I3LTJ3
A0A287BAG5 I3LU16
A0A287BP46 A0A287BP46
A0A287B7G9 A0A287BCK2
I3LBY1 I3LBY1
K9J6J2 K9J6J2
A0A287AZ57 A0A287AZ57
F1RJC5 F1SGH9
A0A287B5N1 F1SI67
A0A286ZWN9 F1SUD4
F1SG07 F1RFG5
A0A287A6E8 E7CXS0
F1S182 F1S182
A0A287A6Q1 F1RGT4
A0A287BMK7 F1SRP0
I3L7E5 F1SAX3
F1SET7 F1SET7
F1SRA2 A0A287A6C1
A0A287B519 A0A287AV79
F1S8X0 F1S8X0
A0A286ZHZ6 A0A286ZHZ6
I3LAB4 F1SE66
A3RID9 A3RID9
K7GNX2 A0A286ZUN2
A0A287A6L4 F1SAU5
I3LU08 F1SHP6
F1RU55 F1RT31
A0A287BR67 I3LLK9
A0A286ZS00 A0A286ZS00
A0A287BRV4 A0A287BRX1
A0A287AGR7 A0A287AGR7
F1RVY1 F1SJ23
F1RSN9 F1RSN9
A0A286ZPX7 A0A287AG61
A0A287AY26 A0A287AY26
I3LJ12 I3LHL8
F1RRW0 A0A287AN30
I3LL93 I3LL93
F1RPD2 F1RVX6
I3LFB5 A0A287B6N3
A0A287AYQ4 C0JPM4
A0A287AWQ9 E5F1H9
I3LS09 I3LS09
F1RPW2 F1RUA7
F1RWM1 F1RWM1
F1SHF7 F1SHF7
A0A287B183 A0A287B183
F1STB7 F1STB7
F1S8C6 F1S8C6
F1RQP0 I3LQZ5
A0A287AJ91 A0A287AJ91
F1SLF9 A0A287BPN6
Q6RWA7 I3LTW0
C6JWG4 C6JWG4
A0A287A8S2 F1S9V9
A0A287B0E9 Q8HYA9
I3LHK5 Q06AB2
Q4PS85 D5K8A0
F1SRK8 F1SRK8
I3L8C8 I3L8C8
F1RJG8 F1RJG8
A0A286ZJB7 A0A287AG84
A0A287B737 A0A287A9A9
F1SAK9 F1SAK9
B7TY21 F1SK28
A0A287A1S1 A0A287A1S1
F1RY56 F1SA99
F1SAN7 K7GQ93
A0A287AIR5 A0A287AIR5
A0A287ASH2 A0A287ASH2
F1S0D5 F1S0D5
F1SND2 F1RV27
F1RQP2 A0A287AB60
F1SIA3 A0A287ANP5
A0A287A6E8 A0A287A6E8
A0A287BI14 A0A287AYA3
I3LD41 I3LD41
F1SAH1 A0A287B5N1
A0A287BL78 A0A287BL78
A0A287AQA2 A0A287AQA2
I3LGD6 P36968
A0A287AGA1 A0A287AGA1
F1RIR3 A0A286ZSY9
A0A286ZTW4 F1S1L2
F1SLZ5 F1SLZ5
A0A287B478 I3LNH3
F1RMX5 A0A287ADY8
A0A287A5X3 A0A287A5X3
A5GFN6 A0A287A985
A0A287ADD9 K7GN67
I3LQD8 F1SAS5
A0A287B8U5 A0A287B8U5
A0A287B425 F1SCJ1
F1S1F1 F1SD90
A0A287BG25 F1S1I7
I3LK82 I3LK82
A0A286ZMB2 I3LCP8
A0A287B4X1 A0A286ZU72
F1SUI6 F1SUI6
A5GFP7 A5GFP7
F1RFC0 F1RFC0
A0A287BIA7 A0A287AQI5
A0A287AF08 I3LBD8
A0A287BIA7 F1RIV1
F1S223 A0A287B3P0
A0A287BD43 A0A287BD43
F6PY91 F1SV80
F1RM59 F1RM59
F1SKT4 P13222
F1S632 F1S632
A0A286ZZD3 A0A286ZZD3
