Q6P9S1 F1S010
Q8CIV7 A0A287AYQ4
Q6KAQ7 F1SCJ1
G3X956 I3L9X2
Q99KG3 K7GNC8
P16546 A0A287A531
E9Q921 F1RW30
Q8BW72 F1SEI1
Q2QI47 F1RUM0
Q8CFT3 F1SCF5
Q9DAW6 F1SPR8
Q8BGB2 A0A286ZVC0
Q80X98 A0A287AXH6
Q3U309 F1S8N9
Q8C5T4 F1RNQ2
Q3UFY8 A0A287BSE8
Q61151 A0A287B3M4
Q9JMG9 I3LVJ1
Q9Z0H0 A0A287A407
Q80XU3 I3LUP4
E9PVA8 A0A287BS39
Q8BUL6 A0A287AAX2
Q91XU3 F1SKH6
Q62311 F1RHJ1
Q9CQ06 I3LBT8
Q99K46 A0A287AJL4
P97473 A0A287B559
E9QNX7 F1RM59
Q9CQE6 F1SF37
Q810A1 F1S8N9
Q8VEI3 A0A287B735
O08586 A0A287BDW6
Q3UX43 F1S834
E9PXE2 I3LIP2
Q07076 I3LEY2
Q8BQY8 A0A287A8S7
Q8CHP8 F1SRN9
Q9CZ69 A0A287AG50
Q8VDG5 F1SF93
A0A1L1SU27 F1RFX5
O88947 F1RN41
F8VPX2 A0A287B4V5
Q9D880 I3LC09
P51908 F1SLW4
B1AZ99 A0A287BHA0
Q9R1B9 F1SKI6
G3UWB6 Q8HYN8
Q62311 A0A287AZJ9
Q8BTG7 A0A287A8A4
E9QK16 A0A287B856
P27782 A0A287AFJ7
P01108 F1RRR8
Q91VR7 D2KQR0
Q9JKQ4 A0A286ZKM7
Q6NVF0 K7GRA1
Q8BHG3 F1SRU8
Q0VBF2 A0A286ZYQ9
Q99N57 I3LAS8
Q9QXV3 A0A287BKR1
Q99MH5 I3LN92
Q1HL35 A0A286ZLA1
Q61112 A0A287ACL1
P47811 F1RYA1
Q64151 F1SP25
P63006 F2Z531
A3KFM7 F1SDV1
A2A6M5 F1RWF7
Q60676 F1RM25
E9QNX9 A0A286ZJV6
P68368 A0A286ZNY1
O35730 A5D9P0
P61804 Q29036
P62878 A0A287B501
G3X972 A0A286ZWP6
Q793I8 F1STU2
Q8K368 F1SPR8
Q5SW46 F1RRP2
Q9JKL4 F1RZ96
O88477 A0A286ZS00
Q7TSQ8 F1RGS3
O08648 I3LNR5
Q80UG2 A0A287AJW5
Q9CR33 A0A287AFY4
Q7TSN6 F1RM11
A0A0R4IZZ1 A0A287B007
Q03173 A0A287B621
O08919 A0A286ZJP2
Q3U1F9 F1RXA1
P54254 F1RUJ3
O35387 F1RGL0
Q9R1M5 F1SAZ7
Q52KB6 F1SUR6
Q8BNE1 F1SSJ0
Q91V01 I3LS35
Q99JF5 B7U6F1
Q8C1Z7 A0A287AKU1
A0A0R4J0W0 A0A286ZWR0
Q8CD26 F1S9W2
Q8C708 I3LLL0
P61290 P61291
Q62311 P79432
A2AWA9 F1S7K1
Q8BJD1 F1RUM0
Q8K0D7 F1S4A8
Q3UES3 F1SCW9
P27782 F1S064
Q8VEJ3 F1SE23
Q62158 K7GND2
Q62311 A0A287BI89
Q6PAR0 A0A286ZWR0
P63163 F1S001
Q8BSK8 A0A287B1A2
Q8R2Q8 A0A287A9J8
Q9CR63 F1RFS1
Q921E6 A0A287B4M4
Q8CAF4 F1S4K9
Q60665 F1STR7
P62889 A0A287AZA7
Q9EST5 A0A287ARU6
Q8BMU0 I3L7Y8
Q9QWW1 A0A287B2S7
Q8R310 F1S5A6
A0A0R4J1C9 F1S3D0
Q60754 H2F098
Q9JLN9 A0A287AWH2
Q62053 F1SFF0
Q99LL5 I3LDL8
Q80YE4 A0A287BS85
O89090 A0A286ZZJ6
O08614 F1SJV7
Q03717 F1SBE6
Q9WVS8 F1S034
O88477 I3L9X2
P63163 F1S034
E9Q774 A0A287AKX1
Q91X60 F1RJS5
Q9D906 I3LBT8
E9QP49 A0A287A991
A2A7S8 A0A286ZUR0
D3YYZ1 I3L8C8
Q9JJN1 I3LMT5
Q6NZQ4 A0A286ZXL7
Q9QY66 F1RQU8
D6RGR1 Q767L9
Q3TLH4 F1SG38
P63157 D7R811
P37242 A0A287B916
Q8BKX6 F1S1F6
Q9R171 A8S2B8
Q60953 I3LK68
P50149 A0A287B2S7
P61080 A0A287BBK4
P97813 F1S2K2
P14602 Q5S1U1
Q8VCM3 A0A287BE50
E9PUB7 F1RX98
Q91Y47 F1RKY2
Q9DAW6 I3LDL8
P51683 Q6YT42
Q3TTL0 F1SLW4
Q3B7Z2 O77735
Q3U487 F1S364
P60670 A0A287BF71
A0A0R4IZW5 A0A287BPL8
P48025 A0A286ZZ61
Q9Z2J6 K7GSF2
Q9CYA0 F1RXR2
Q68FL6 A0A286ZVJ4
P35456 A0A287B9N1
Q9Z324 F1SGV8
E9QP49 A0A287BIC6
Q9JHT5 F1SC14
Q9Z1R2 A5D9M6
Q8K2J7 F1S4K9
E9PYF7 F1S1Z5
P41969 F1RKS0
Q3UH93 F1SPK1
Q8R373 I3LEL6
O88992 I3LHU4
P56484 I3LK04
O88888 F1SNZ3
Q9D7X3 B7U6F4
Q8C5Q4 F1RGS3
Q9JIT1 F1SHV1
A0A0B4J1E2 I3L897
P15806 Q007T2
O08688 F1SUK6
G3UWB6 A5GFS7
Q9JLN9 F1SMW9
Q8CFT3 F1S001
Q8C6C9 F1S2I9
Q8VBW6 F1RVT6
A2AWA9 F1SG38
A2AWA9 I3L5F7
Q9JKL4 F1SI67
Q9D906 F1RVT6
Q3UKC1 A0A287A273
Q9JIF3 F1RS19
E9PVA8 F1SID1
Q8CFT3 F1RVT6
Q9QXJ1 F1RMN5
P29452 A0A286ZZS2
Q99LG2 O77735
Q8BKN5 F1SIS1
P26883 F1SKH6
A0A0N4SVL0 A0A287AF76
Q8C1Z7 A0A287AKX1
Q04750 F1S9R5
Q8BZH4 A0A287A2C8
A2A4P0 F1RGS3
Q9CQ40 A0A0R4J8D6
Q8CGN4 F1RXQ4
E9Q2I3 F1SAZ7
Q8CEC4 P79288
Q8K0Y7 A0A287AE27
Q62074 F1S224
Q9JKV9 F1SEZ1
Q9ERK7 F1RGM6
Q9JKL4 A0A287B5N1
B1AZA5 Q767L9
Q8VE97 I3L5P4
P07147 F6Q7U8
P11087 A0A287A1S6
A2A259 F1S8V0
A0A286YCI8 A0A287B6S0
A2ANX3 A0A287ARC5
E9PXY8 F1RKZ6
A2APF3 Q28987
Q8VHQ3 F1SDW9
P52795 A0A287BK49
Q9ERI5 F1S064
Q9D868 F1SJV7
Q920Q2 A0A287B8J8
A0A1B0GSR7 I3LDS3
Q61214 I3L9V1
Q9D3X8 F1SEQ8
P0C7N9 A0A287AV79
E9Q411 A0A287B5J4
P70160 A6P7L6
Q8CAF4 F1RRI6
Q45KJ6 F1RYQ5
P62889 A0A287APV1
Q9QZC7 F1SPR3
Q76I79 A0A286ZZW4
Q8VCG4 A0SEH3
G3X959 F1RKS0
G3X9F2 A0A286ZW96
Q99LG2 F1RMJ9
Q8CA71 A0A287B144
P10107 A0A287ADE6
Q8CEC0 F1RGS3
P97377 A0A287AXP1
Q61286 Q06AS8
Q63844 A0A287BLM6
Q9CPN9 A0A287BAL0
G3UVW3 A0A287ASC7
Q8C2R7 A0A287A5F8
Q8BHB7 A0A287A6T8
Q8BP71 F1SFK0
P10107 F1SJB5
D3Z3U5 A0A286ZVC7
Q8BQM8 F1SDY7
P42227 Q19S50
Q9CWQ8 F1RFD7
E5FYH1 I3LT49
Q9R078 F1RL45
Q8BJ64 F1SH89
P61219 F1SKN8
D3Z3U5 I3LPU5
Q8BWY4 A0A287BHL2
Q9R229 A0A287A7C6
O70494 A0A287B877
G3UVW3 F1SRV0
Q8VHV1 J9JIL2
Q9D9W0 I3LH35
Q4FZG9 I3L5R5
P08103 A0A286ZZ61
Q8VHZ7 F1RYY5
Q9ES74 A0A287BE42
Q64387 F1RJR1
Q9D3P8 A0A286ZI26
G5E872 F1SIP3
Q9JI48 F1RVD7
P02340 Q9TUB2
Q3UFY8 F1SL15
J3KMG9 A0A287AFJ7
Q8C708 A0A287BRX1
Q148W0 A0A287ARC5
Q8BH57 F1SCF5
P63087 Q2EHH7
Q9JHT5 F1RP24
Q9DD03 F1RFW5
Q60665 A0A287AFJ7
Q9DC29 K7GNC6
Q925H1 A0A287AW55
Q3UR70 I3LIP2
Q99LL5 I3LG73
Q8VHE6 A0A286ZQY1
Q6P9R2 A0A286ZNG8
P33033 A0A287AHC8
P63157 F1S0T9
Q61982 A0A287B6S0
P26450 F1SKR9
O55013 E5F1H9
Q9QY39 F1SP95
A2A7H5 F1SGZ6
Q62311 F1S001
O88342 F1RGS3
Q9D939 I3L9A0
P52955 A0A287BRX1
Q8R0S4 A0A287AHZ5
Q8BJQ4 A0A287BMU9
P33033 I3LTQ7
E9PYR6 F1SN65
Q9CQA5 A0A286ZZ81
Q6NVG5 F1SS22
Q9WVS8 A0A287AKE2
P49183 A0A287BNY8
O88199 I3LMT5
P35584 F1RM41
P97358 F1RY56
Q8R1G1 I3L5K2
Q9ERI5 F1SEI1
Q3U213 A0A286ZW78
Q8K2J7 F1RRI6
Q8BKX6 A0A287BIH8
O70494 A0A287BSV9
Q8VDF2 A0A287B621
P27782 A0A287B877
Q91YK8 F1RMV7
Q3UFY8 I3LPU5
A3KGS3 A0A287BAL0
A2A7S8 A0A287BIC6
Q8BGE6 I3LUD1
Q9QZ82 P10612
Q9JMG9 F1STR7
Q8CFC7 F1RYY5
Q3V1U8 F1SV31
B7ZBV9 A0A287ALK7
Q9CYX7 A0A287AR18
Q8K3H0 B5LX40
H3BJD7 A0A286ZUN2
F8VQ87 F1SKG4
Q3UFY8 A0A286ZLT0
P63163 A0A287AZJ9
G3X956 F1S8K5
Q8BW72 A0A287B877
P26687 F1S4Y2
Q8BJS8 F1S287
Q9D906 A0A287AZJ9
Q7TSQ1 K7GRR9
Q6PAR0 F1RGS3
Q8C033 F1RR45
Q8CAF4 A0A287AB40
A2A7S8 F1RRI6
Q64701 A0A287BBQ5
Q8BYI6 F1RF12
Q8VHP6 I3LUG5
Q9CQA9 K7GNC8
Q14DH7 A0A286ZJB9
E9Q774 A0A287AKU1
Q60769 F1S6A4
O08547 F1SB09
P07724 A0A287BAY9
Q9DA15 A0A286ZMR3
Q9ET30 A0A287AT90
Q60715 A1X898
A2APM2 E5Q8C6
Q9QXN5 A0A287BB52
Q8K441 F1RV26
Q78IQ7 F1RSN9
Q76LS9 F1SML3
Q8C253 A3EX84
Q9CQZ0 F1RHE3
Q04750 P62844
Q8BMF5 F1S9S0
A0A0J9YUA8 A0A287AGK8
Q8VBW6 F1SCF5
Q03173 F1S8V5
F8VPK8 A0A287BB06
E9Q616 F1SJB5
Q9JKN1 A0A287B7T8
Q9ERE9 A0A286ZPK2
P49182 F1RKY2
P69566 F1RV77
Q9CQ60 F1S956
Q3TMP1 I3L9F2
Q62311 A0A286ZKK7
Q9JIF7 F1S982
P25118 A0A286ZVH7
Q6NWV3 F1SPK3
O08919 A0A287B798
P52955 F1RY10
P68254 A0A287A5I0
Q09M02 A0A287A3F5
Q9DB75 A0A287B2G8
A2ATK9 I3LC77
A2AGH6 A0A286ZWP6
Q9WTV7 F1RPK6
O88876 F1RF61
Q8K2J7 A0A287A991
Q3UWW6 F1RXU4
D2J0Y4 F1SDM2
Q06180 D5KJI2
Q06180 F1SQT2
A2AEG2 P79432
E9Q555 A0A287A377
Q3UFY8 F1SU46
Q64347 F1SAZ7
P97855 A0A287AX48
P14152 I3LK68
F6V5B0 F1SUK6
Q3TJD7 F2Z4Z6
Q8BJU0 F1S8G6
O08919 A0A287BKF0
Q3TY92 F1SL57
P32883 B7U6F4
Q91W82 A0A287AMU4
Q8BW72 F1S4Y2
P26687 A0A287B877
O70166 A0A287AZJ5
Q8VE98 M3VK17
Q8C142 A0A286ZKE4
Q80X98 A0A287A6G5
P62307 A0A288CFV7
Q9JLR9 F1RXU4
Q9DD03 F1SRN4
Q80V31 A0A287BFS6
O35679 F1SE75
Q91W29 A0A287A440
Q8BH57 C3RZ98
Q9D159 A0A287AHC8
Q811Q9 K7GNX2
Q64237 F1S041
A2AWA9 I3LCN0
E9Q6Y8 A0A287A450
Q8BZR9 F1RGS3
Q5SF07 F2Z4Y0
Q3U2G2 I3LQB7
Q9R0S3 I3L740
Q08AT1 F1RSW9
Q9ES03 A0A287BRV4
O08811 F1SE73
E9Q4P1 I3LBP0
A2ABU4 A0A287ANE3
P26687 I3LVJ1
P70445 A0A287A4Z1
P62137 Q2EHH8
B2RRA7 F1RI33
Q61187 K9IVE3
Q8C156 A0A286ZVC7
Q61160 Q56VC2
Q9D6V8 F2Z503
Q09200 F1SL46
Q9CXV9 A0A287AKX1
Q9ERZ4 A0A287BAI1
P21129 I3LHU4
Q2QI47 A0A287B6R5
Q4VA93 F1RV14
Q3U4G0 I3LLK3
Q60953 F1SE73
P52955 F1SSH9
P58334 A0A287B098
O88597 A0A286ZI96
O08582 A5GFR3
Q60953 Q8HZV3
P37242 F1S4Y2
Q9CQ06 A0A286ZKK7
A2APF3 F1RZA6
Q9Z238 F1RY56
Q99M51 I3LP69
Q91XU3 A0A287AJL9
G3UVW3 F1SMZ8
P35377 A0A286ZN72
Q922G7 F1S0L9
Q58Y75 I3LMD0
P37242 A0A287BSV9
Q60665 F1SH27
Q8C1Z7 F1S484
Q03526 A0A286ZPK2
P39447 A0A287AQR4
P50228 P22952
E9PXB7 A0A287AX02
Q9Z0V8 A0A287BNY8
Q3TMP1 F1SN14
Q91UZ5 F1SBT9
Q8CE33 A0A287BJU1
A2APM2 I6L6T2
Q3U2C5 F1STG1
Q78ZA7 A0A286ZS00
Q9R1A8 F1S705
Q9DBY4 F1SIG2
E9Q2I3 F1RYU8
Q91UZ5 I3LIH2
Q8VHZ7 A0A287A2C8
Q8BW72 F1SH27
Q8K297 A0A287AXP9
Q91Y47 A0A286ZVK1
P41233 F1SP55
Q8BZ36 I3LPN4
Q5SUQ9 A0A287BD82
P48787 I3LLI0
Q8K0D7 I3LK04
G3UYL9 P50131
F8VQJ3 I3LRL0
P97402 A0A287A5Z0
Q9R0N0 F1RVY7
Q62227 A0A287B877
Q9D7I0 A0A287AXD7
Q64347 I3LG10
Q91VJ5 F2Z4Y3
P68510 F2Z4Y1
Q9DBF7 A0A286ZKR9
Q9WV31 A0A287B2S7
O35887 F1SMN1
P48754 A0A286ZS33
E9PXE2 A0A287BK63
Q9R1T2 Q95250
Q793I8 F1S141
Q8BWY4 F1SUK6
Q9EQC1 A0A286ZXF3
Q76I79 A0A287AT90
P59326 A0A287AV47
Q3UR42 K7GND3
Q3ULW6 A0A287ALZ2
Q99JA5 F1RVR8
Q9D0A3 A0A287B5T1
Q61115 I3LVF2
Q5IRJ6 I3LR13
Q9JKN1 B6V6V4
Q8C8J0 A0A287BQ36
Q6PDK0 A0A286ZI78
Q9CQA9 F1RGU8
Q9CQJ4 A0A286ZX77
A7DTG3 I3LUP4
P62984 F1SKG2
Q8VHV1 F1S493
F8WJE0 F1RM08
A2AH22 A0A287ACI1
Q8K0Y7 A0A287B0C9
Q9Z2X8 Q684M4
O35375 I3LB28
Q9CYA6 I3LDL8
P70434 A0ZVR0
F7BWJ7 A0A287AV79
Q9QZ28 F1SSH9
Q8JZL2 F1SRB6
Q8K3R3 Q8SPR7
P63168 D9U8D1
Q62227 I3LVJ1
Q505D1 A0A287BAC0
Q9D842 A0A286ZWF3
Q7TSQ8 A5GFR3
P46414 K7GND6
Q8CI61 A0A287AP23
Q6KAQ7 F1S9R4
Q80TJ1 F1SGF6
Q60953 A0A286ZIJ9
O35607 F1SI16
Q9Z2C5 I3LF48
Q99KR8 A0A287AWK9
Q8VDF2 F1SG38
Q62415 F1SAQ6
Q61625 I3L7T2
Q922L6 A0A286ZQL9
P56484 F1RFS1
Q6NSU3 F1SH98
P47212 P07480
Q62035 A0A287AYT3
Q9WTQ5 A0A287BE06
Q3U3I9 F1S8W8
O08537 F1SRR6
P27782 A0A287BSV9
P57716 A0A286ZSI3
Q8CFT3 A0A287AKE2
Q3V1L4 F1SL15
Q99MV1 I3LKM6
Q61081 Q684M6
P43021 A0A287AVE0
P31750 A0A287AL02
Q9ERI5 A0A287BSV9
A0A0R4J187 F1SRE0
P01139 A0A287AYU3
Q8VBW6 F1S001
G3X9H5 F1S8N5
P47738 A0A287AR18
F6TVP2 F1RM08
E9Q6P5 A0A287BK91
O55237 Q3ZDR4
P22518 B1A9K1
E9PZ54 F1RZH1
F8VPK0 A0A287AXH6
Q62108 I3LMS7
Q920G9 F1SLC6
Q9D906 A0A287AKE2
E9QP49 F1S4K9
P52795 F1RGU8
Q9CXV9 A0A287AWK9
A0A0G2LB90 F1SAG1
O55013 A0A286ZYS4
Q9D976 A0A287AZT0
O35343 F1RHC5
Q4VGL6 A0A287AD26
Q64729 K7GSM3
Q3TMP8 F1S9V9
F8VPX2 F1S5N5
O70494 A0A287B916
G3X972 F1SPR8
G3X9F2 K7GMR6
Q2TV84 A0A287BRX1
G3X9K4 F1RSV8
Q8K249 F1SE75
Q8C8U0 I3LCN0
P53690 I3LEE9
O54946 A0A287A9H2
Q7TS68 F1RWA0
G3X9F4 F1SEP9
A5D6P6 F2Z5R9
Q9JMG9 A0A287B8H9
M9MMK0 A0A287ATR5
Q922G2 A0A287ARD1
P49582 F1SNR6
Q8VBW6 I3LBT8
F6RGI3 A0A286ZYG8
Q9D309 A0A287BQE5
Q9JM51 Q2TJZ7
Q99L45 F1RKW8
Q9CYD3 F1SP25
Q9CQA9 A0A287BK49
Q640R3 F1S794
E9Q555 Q28987
E9QAS7 F1SDI6
Q6PDL0 A0A287AMU4
P49182 A0A286ZVK1
Q80W04 F1S4A6
Q58Y75 A0A287BHA0
P49615 P62272
Q3TD49 A0A287BCL8
Q924W5 F1SCS4
Q9CPQ3 A0A287AGT7
D3YXJ5 A0A287AAX2
P26687 A0A287B916
Q3U0V1 A0A286ZS00
Q9QYC7 F1S5N6
Q6PDM2 Q3YLA6
Q9JJG0 I3LC62
P58334 A0A287AM94
O35385 F1SAZ7
P17047 A0A287B836
E9QK83 F1SRI4
Q3TQQ9 A0A287AH98
Q9JMG9 A0A287AFJ7
Q9EPB5 A0A286ZYD0
P97813 F2Z5N9
F8VQB2 A0A287BSW5
Q9JMG9 A0A287B877
E9PWG6 F1RGU8
Q03173 A0A287ATW2
B2RPS7 A0A287BNT0
Q8VE92 A0A287AMU4
O35160 F1S8T0
A0A1B0GQY9 A0A287AW55
Q80TQ2 F1REZ6
P70196 A7XUJ6
Q8BW72 A0A287BSV9
Q8VCG1 A0A286ZYB5
P59941 F1S7P1
O55226 A0A287A461
Q8BP00 F1SQ17
Q0HA38 F1RPM9
O70263 A0A287BIK0
Q8BW72 F1STR7
Q8K1A5 K7GS69
Q9D032 A0A287BIX3
Q8R5A3 I3LFA7
O88700 F1RMJ3
Q8CFC7 F1RXX3
A2ARP1 F1SI76
P50149 F1S603
Q60954 A0A287A728
Q3UB74 I3LBA2
Q9WVF7 A0A287B611
F8WJE0 F1RGG1
Q9CQ06 F1RVT6
Q3ULA2 A0A286ZU41
Q9QZN4 F1RF93
B2RUJ5 F2Z5C6
Q99LU8 A0A287AA29
A0A1B0GT63 A0A287ARC5
Q99KR8 A0A287AKX1
A2A8L1 A0A286ZJ13
Q8C156 I3LPU5
Q8K4G5 F1S224
Q8BH80 A5GFS8
Q3U741 A0A286ZLI8
Q69ZZ6 F1SPK0
Q925H1 F1RK76
P49698 A0A288CG37
P63163 A0A287AKE2
Q99ME2 A0A287AFX1
Q8C025 B6V6V4
P26687 F1S064
P61514 A0A287AME4
Q810A1 F1S8W8
O08688 A0A287BHL2
Q8BWY4 F1SIX8
Q922R1 A0A287BJH7
E9Q555 F1S9R4
Q6PAM1 A0A286ZR64
Q07076 A0A287B9K7
Q61097 F1RJ53
Q6P5D4 F1SIC1
O70494 F1STR7
O55082 A0A287AC39
P63101 F2Z558
Q6P9S1 A0A287B6L2
E9PUK6 A0A287AV47
Q78WZ7 F1RP24
P29699 F1SFI7
P63239 F1RNV5
E9Q6S0 A0A286ZSG5
E9PX57 F1RVQ6
Q9CQA1 F1SCJ1
P63157 F1SIK8
P42866 A0A287A116
Q9WUR9 B1NI70
Q8BM92 F1SMX9
Q6PAR0 F1RUP2
Q80WM7 I3LBU8
Q8C5Q4 F1RUP2
P62984 A0A287BE06
O89110 Q56VC3
J3KMG9 A0A287B8H9
G3X9X7 A0A287B0J6
P97318 A1Y2K0
Q04207 B0LXP3
G3UVW3 F1SLE8
Q62432 A0A287AE86
Q9JLL0 F1S412
O88597 A0A287BIH8
Q9QZ09 F1SBQ7
Q3U487 A0A286ZJW1
Q6P3A8 F1S715
P27782 F1SH27
Q3UFY8 A0A287AXH6
Q9D6K5 F1S360
Q6Y7W8 F1RT53
P15920 F1RFL9
Q9CQW2 F1SFL1
O88597 A0A287BD11
Q8BGB2 A0A287AB40
A2TJV2 F1SD58
O08811 A0A287B7I6
P63056 I3L5K2
Q8BQM4 A0A287B9Q1
P97334 F1S8W5
Q3UKJ7 A0A287A9U8
Q8VCR2 I3L5K3
Q9DB43 F1RQT4
P24161 F1RSW8
Q6P9R2 F1SUT8
Q61114 A7J149
Q64701 F1SLK9
F8WJE0 I3LG77
P58659 I3LVN6
A2AGH6 F1RSV8
Q9R0N4 F1SGD3
P70445 A0A286ZLA1
Q9ESU7 F1RM08
A7DTG3 I3L9K5
Q501J2 F1RG48
P63163 P79432
Q62415 F1SHF6
Q6I6G8 E3US74
E9Q616 A0A287A608
Q69ZS7 A0A287AR18
Q5SSH7 A0A287B0L4
Q9JHT5 I3LTD2
A0A0R4J046 F1S4Q6
Q9JMH6 I3LCN0
Q8VBW6 A0A287BI89
Q3UP88 A0A287ALS3
Q99LG4 F1S8F7
B9EII4 A0A287AJB7
P09103 F1SID1
Q8R1J3 A0A287A570
Q01279 A0A286ZV23
A2A8L1 A0A287BE50
Q8VHV1 A0A287B6L2
Q9CQA1 F1S9R4
Q9CXV9 A0A287AKU1
P30987 A0A287A102
Q9D9N5 A0A287B531
Q9CQA1 Q28987
Q69ZX8 F1RLA7
P58334 I3LC62
P55821 F1RWM1
Q8CHP8 I3LG10
Q8CJ69 I3LAF3
Q7TMK9 I3LG73
Q01705 A0A287B1L8
Q8C156 F1SL15
Q9CUS9 F1RJH1
Q8BMI0 F1RLB1
Q3UL97 A0A287ARW8
Q5SWP3 I3LMS3
Q2VPA6 F1RVE2
O08919 F1S2R7
O35730 F1RKW8
A2A6A1 A0A287B540
P48025 F1S525
Q9QZ28 A0A286ZW96
Q03173 I3L5F7
Q62227 A0A287BSV9
P56479 A0A286ZUI2
Q8C8U0 A0A287AM68
O88888 A0A287B798
P42230 F1RR25
Q8BW72 A0A287AFJ7
Q8CCS6 A0A286ZS52
O35385 A0A287BHL2
Q06180 F1RMN5
A0A0A0MQ97 A0A287AV73
Q9D0F1 F1SBC5
P54728 F1SP32
Q64337 F1SNT8
Q78WZ7 F1SC14
Q62074 A0A287B1A2
P56480 F1SB63
Q3U487 F1SUE3
Q9QWW1 A0A287B294
Q8VBW6 A0A287AZJ9
Q9WVB0 A0A287BLU9
Q9WUL8 I3LC62
Q3UHD6 F1ST14
P05214 A0A288CFV7
Q9R1B9 F1RZ96
Q8K288 A0A287AZY6
Q4QQM5 I3LNZ6
P97310 F1SPF3
Q8BG32 A5D9P0
Q8C4Q6 A0A286ZKM4
Q5M9N4 A0A287BEL1
O08688 F1SIX8
E9Q2I3 A0A287BHL2
Q8CG64 F1RM20
B1AWD9 F1SMW9
Q3V1N5 F1S6Z4
Q78ZA7 F1S8K5
O54786 F1RHS7
P62192 F2Z5J1
Q4QQM5 I3L6C0
A0A0R4J0T0 A0A287AIR5
Q99JT2 I3LCX3
O55047 A0A287AM68
Q8CFT3 I3LFS1
Q61187 F1SU46
Q8BP92 F1SJ93
Q91ZK4 F1S3W3
Q8VBX6 F1SMP5
P27782 A0A287B916
Q91YU7 P15203
Q8VHZ7 F1RXX3
F6TVP2 I3LG77
Q6IRU2 P67937
Q9R0N0 A0A287AR18
Q8BHE3 I3L5K2
P27782 F1SEI1
E9Q555 F1RZA6
P28700 K9J6K3
Q8CHP8 F1RYU8
A2AWT5 F1RQY4
P63166 A7WLH8
Q8CHK4 A0A287BIK4
P30545 A0A287BMY4
Q60715 A0A288CFV7
O35887 A0A287AQR4
Q6KAQ7 A5GFN3
Q8R5L3 F1SFK5
Q3TLH4 I3LCN0
P51942 I3L5Q7
Q921J4 A0A286ZMX2
Q8BHN9 A0A287A6T8
P35761 F1RQL2
Q64337 A0A287BLE1
Q9CPX5 I3LUA2
Q922G7 I3LC11
F7BWJ7 F1S8N9
Q64727 A0A287BS39
Q9Z265 F1S6G9
Q8BJY1 I3L9N5
Q9QYC7 I3LB10
Q91YD9 F1SUT8
Q60864 I3LNG8
Q9D1G2 Q29081
Q61502 F1RXB8
F6UC55 A0A287BNA8
Q61184 A0A287B9N3
P70371 A0A287ALL2
Q9D1L9 Q66X52
A0A0R4J0M9 F1RTZ5
Q91YI4 A0A287A233
Q8BHN9 A0A287AAE5
Q99KR8 F1RQL3
E5FYH1 F1SGX3
P49312 A0A286ZPE3
Q05769 A0A286ZV73
Q78T81 A0A286ZY83
A2AT37 A0A287BFL0
Q9CYA6 A0A287AR18
P58465 I3L819
Q9WUD1 A0A287BGG6
Q8BUR9 A0A287AS02
Q923J1 A0A287BRP0
P35802 I3LFC7
Q9QZ28 F1S0T9
Q9QZ04 F1SNR9
