G3X9H5 F1S8N5
Q3TJD7 A0A287BEH6
D3YXK2 F1RPX1
A0A0A0MQ97 A0A287AV73
Q8BZ33 A5GFN3
P39447 A0A287AQR4
Q60996 F1S9Y5
A0A0R4J0I7 F1S360
Q8BK67 B5APV0
P59326 A0A287AV47
Q80ZJ1 F1SSV2
Q8K368 F1RVY7
Q60676 F1RM25
P50149 A0A287B2S7
Q5Y5T3 F1SP96
Q8K021 F1RMJ9
Q6KAQ7 F1SCJ1
A7DTG3 I3L9K5
Q05769 M3VK28
Q8BZ33 Q28987
Q3THW5 K7GNR7
P25799 K7GNS9
Q9EPS3 A0A287AV73
Q9CQA1 A0A287B425
A0A0B4J1E2 I3L897
O08919 F1S7P5
O08648 I3LNR5
O08919 A0A286ZJP2
Q99LL5 F1SPR8
Q80TN5 A0A287BPQ8
Q78J03 A0A287AB06
P70227 F1ST66
Q9JHT5 F1SC14
Q8BZH4 A0A287B6U5
P25118 A0A286ZVH7
Q78IQ7 F1RSN9
Q80ZJ1 I3LTC6
P31750 A0A287AL02
Q9DC29 F1SR85
E9Q555 F1RXE4
O88602 A0A287B294
O88888 A0A287BKF0
A2A513 I3LDS3
Q80ZJ1 A0A286ZUT3
Q9CYX7 A0A287B559
Q3UPF5 F1S9R5
O35465 A0A287BBJ7
Q8C1Q4 A0A286ZXQ9
O70263 A0A287BIK0
O89110 Q56VC3
Q9CQ40 A0A287B559
Q9CYX7 F1RVY7
Q9QUJ7 A0A287BK93
Q64337 F1SNT8
Q9CQV8 A0A287BBC3
O08582 F1RGS3
Q91Z22 A0A287AE68
P35276 A0A286ZKE4
Q8BH02 F1RVY0
A2APF3 A0A287A377
P97473 I3LDL8
Q8BZR9 F1RUP2
Q9CYA6 F1RVY7
Q9WVS6 A0A287A4T0
Q9QZ82 P10612
P50149 A0A287B294
Q99LL5 A0A287B559
Q8CEC0 F1RUP2
Q3TMP1 A0A287BGY4
P27577 M3VH47
Q8BG18 A0A287B321
B2RSU7 F1ST91
P63085 A0A286ZPF5
O35730 A5D9P0
O88477 I3L9X2
Q9JI48 A0A287A5L5
Q9CYA6 A0A287B559
F8VQI6 A0A287BRJ4
Q7TSQ8 F1RUP2
A2ARP1 F1SI76
O08919 F1S2R7
P58334 I3LC62
E9QNN1 K7GND3
Q3UQV5 F1SFR7
F6VPT9 A0A287BPI7
Q9R0N0 A0A0R4J8D6
Q9D6K5 K7GR08
A2APF3 F1RXE4
Q8BJQ2 A0A287A7J8
Q5BU09 A0A287BPQ8
O08788 F1SNT8
Q8BZR9 A5GFR3
Q8VHZ7 F1RYY5
Q9Z2D1 A0A287AUM4
Q3TMP1 F1SN14
Q3TQ39 B5KFD7
H3BJD7 K7GR08
Q6PAR0 F1RGS3
P18762 A7BJW1
Q69ZS7 A0A0R4J8D6
O08919 O62807
Q3U741 A0A286ZLI8
Q9WUL8 A0A287AM94
Q04750 P62844
Q80XU3 I3L9K5
Q9WV55 A0A287BBB5
Q811Q9 K7GR08
Q9Z0V8 A0A287BJ79
Q78WZ7 F1SC14
Q9JI48 F1RLE6
Q8K297 A0A287AXP9
Q91W82 K7GNR7
P20029 A0A287BIL8
Q3UKJ7 A0A287A9U8
Q9ERZ4 A0A287BAI1
Q8R007 I3LLB5
F6VPT9 F1RFX4
Q9WV31 F1S603
P25322 A0A287BRJ4
Q8K363 I3L7B7
Q3UES3 F1SCW9
Q6PD10 I3LLX4
A2A8L1 F1S5B5
Q8VIG1 K7GNC6
Q91WR3 I3LPN4
P42230 F1RR25
Q80V62 A0A286ZQA1
Q61526 I3L6Z7
Q5IRJ6 I3LR13
A0A0J9YUA8 A0A287AGK8
Q78IK4 I3LKM6
Q8BGG7 F1S9R5
Q32NY6 A0A287AV73
Q8BZH4 F1RYY5
Q9CYA6 I3LDL8
Q07076 A0A287B9K7
Q9JI48 F1RVD7
P23804 A0A287BEY7
Q61666 I3L9X2
A0A0R4J097 F1RFX4
Q99L45 A5D9P0
Q9CQA9 A0A287BK49
P63001 F1RPQ3
P19091 F1RTM6
D3YXR2 F1S215
Q07076 I3LEY2
O88477 F1S8K5
Q9CQ40 A0A0R4J8D6
Q91YI4 A0A287A233
O88342 F1RUP2
Q9CYX7 A0A0R4J8D6
P46935 P82460
Q9R123 F1SFF0
Q9D6K5 A0A286ZUN2
P97348 I3LKS1
G3X972 A0A286ZWP6
O35343 A0A287ATD3
O88888 F1S7P5
Q9QZ09 F1SBQ7
P52795 A0A287BK49
Q8CFC7 F1RYY5
Q80ZJ1 F1SS99
A0A0R4J0W0 F1RUP2
Q80T69 I3LIT1
Q8CFC7 A0A287AYD9
Q3UPF5 P62844
H3BJD7 A0A286ZUN2
Q9CQA1 Q28987
D3YXR2 A0A287AC39
E9PWG6 K7GNC8
Q3THW5 A0A287AMU4
Q8C863 A0A286ZL14
Q5IRJ6 A0A287AV73
Q07832 I3LII4
E0CZD6 A0A286ZTE3
P62878 A0A287B501
Q9D7X3 B7U6F4
E9QKM8 I6L6T2
F8VPX2 A0A287BK29
Q6P8K8 F1SI76
Q9CY50 B5LX40
Q9DAW6 F1SPR8
P32883 A0A287B854
Q9CQA9 K7GNC8
P26450 A0A0U2ETD0
P47738 A0A0R4J8D6
P59326 A0A287BDL6
P33896 K7GT58
G3X956 A0A286ZS00
Q78ZA7 F1S8K5
Q9R0N0 A0A287AR18
Q3UH93 F1SPK1
A2AKB9 A0A287B5B5
O55082 F1S215
P23738 F1SQH5
Q8K368 A0A287AR18
P97473 A0A287AR18
Q99JT2 A0A287B854
B2RWS6 I3L9U8
Q920L5 A0A287AXV6
Q9CQA1 F1S9R4
P39429 F1RVZ4
Q8BZH4 A0A287AYD9
Q8BJQ2 A0A287A8Q7
E9PXE2 F1SCW9
Q9JHE7 A0A286ZKE4
Q8BZ33 F1S9R4
Q811Q9 K7GNX2
Q9QWW1 A0A287B294
Q8R0W6 F1RM52
Q8BZR9 A0A286ZWR0
E9PWG6 F1RGU8
Q3U2G2 I3LQB7
Q9WV31 A0A287B2S7
O08919 F1SNZ3
Q9JIF7 F1S982
Q9CYX7 A0A287AR18
Q99LU8 A0A287AA29
E9QNN1 I3LQB7
Q9CQ40 A0A287AR18
Q3UFB7 F1RHK6
P42227 Q19S50
Q3TMP1 A0A286ZV44
Q99JT2 I3LCX3
E9QKA4 A0A287BDL6
Q923E4 A7LKB1
Q921S7 F1RGS3
Q80TQ2 F1REZ6
O70405 F1RN84
Q8CG64 F1RM20
A0A0R4J0I7 A0A286ZUN2
F8VPK0 A0A287A6G5
Q80W04 F1S360
Q8CI61 A0A287AP23
A0A0R4J0E0 A0A287BPQ8
Q91YL2 A0A287B425
P97310 F1SPF3
O08919 A0A287BKF0
E9PXE2 A0A287BK63
Q4VA93 B5KFD7
Q9CQ40 F1RVY7
Q80V31 A0A287BFS6
Q8R010 A0A287B749
P62259 A0A287A2R9
Q3B7Z2 F1SEX5
Q6PDL0 Q06AT9
Q8VCM3 A0A286ZJ13
O08537 F1SRR6
F6U5V1 A0A287A176
E9Q4P1 I3LBP0
Q61510 K7GR70
Q9CUN6 I3LTD6
Q60631 B6E241
Q8VE92 A0A287AMU4
A0A087WSD0 A0A287BNT0
F6U5V1 K7GNR7
P47857 F1SMW9
O88602 A0A287B2S7
Q0P678 M3UZ00
Q6PE01 F1SVA6
Q52KB6 F1SUR6
Q60760 B5KFD7
Q3TWW8 I3L9N5
P70340 Q864V7
O88477 A0A286ZS00
Q9EPS3 I3LR13
B2RPS7 A0A287BNT0
F8VPK8 A0A287BB06
P83510 A0A287BA39
Q69ZS7 A0A287AR18
Q3UR42 I3LQB7
Q78WZ7 I3LTD2
P59326 A0A286ZI96
Q8VHZ7 A0A287B6U5
Q99LG2 O77735
P47738 F1RVY7
Q8BZ33 F1SCJ1
Q7TSQ8 F1RGS3
Q9R1T2 Q95250
Q9D9V4 F1S9W2
Q8BGG7 P62844
Q8C142 A0A286ZKE4
A2A4P0 A5GFR3
Q9JIT1 F1SHV1
F8WJF7 A0A287BMU9
Q3TJD7 A0A288CG37
F8WJF7 F1RFA9
Q8R3P2 A0A287B5B5
Q3UR42 F1SMW9
F6UC55 A0A287BNA8
Q8CEC0 A5GFR3
Q99MW1 F1ST91
Q5D078 A0A287AC39
Q6P5F9 A0A287BHC9
Q01114 F1RGX9
P32443 F1SEJ3
Q7TSQ8 A5GFR3
Q8VHZ7 A0A287A2C8
Q91YT7 I3L7B7
A0A0R4J0I7 K7GR08
P97313 F1RSE6
Q6I6G8 E3US74
Q99LI9 A0A286ZKE4
Q8BMF5 F1S9S0
Q8CHK4 A0A287BIK4
Q3TE40 F1STM9
Q3U0V1 I3L5I1
Q99KG3 K7GNC8
P58465 I3L819
O08582 A5GFR3
Q8BZH4 I3LP32
Q91YK2 I3L5I1
Q8VEE4 I3LHB2
Q80X98 A0A287AR48
E9Q6P5 A0A287BK91
A2A432 I3L5M8
Q8R1N4 F1SSH4
Q6PAM1 A0A286ZR64
Q3TJD7 F2Z4Z6
Q9DAW6 I3LDL8
Q64337 A0A287BLE1
Q6PDL0 K7GNR7
A0A0R4J187 F1SRE0
P60710 Q6QAQ1
Q91V57 F1SPR3
Q9WUL6 F1RR25
E9QNN1 F1SMW9
Q8VHZ7 A0A287AYD9
P56480 A0A286ZIV3
Q9CX84 F1RN84
Q8BUN5 K7GM45
Q8R1N4 A0A287BGP7
P33896 A0A287B098
Q6PAM1 A0A287BRJ4
O88888 F1SNZ3
E9PXE2 I3LIP2
Q9JHT5 I3LTD2
Q91YK2 A0A286ZS00
P70196 A7XUJ6
P70340 A0A287A5F6
Q9JJG0 K7GT58
Q9DC29 K7GNC6
A0A1B0GSR7 I3LDS3
A0A0A0MQ97 F1SIU0
Q9QZC7 F1SPR3
Q8BZR9 F1RGS3
P63001 A0A287B4G4
P12023 P79307
Q6PAR0 A5GFR3
P29699 F1SFI7
Q9CQ71 A0A286ZL14
Q9R0N0 A0A287B559
P59326 A0A287BA12
Q62312 K7GL93
A0A0J9YUA8 F1SUR6
Q8BZ33 A0A287A377
P97477 F1SE06
Q5S006 F1SHN7
P49183 A0A287BNY8
P97473 A0A287B559
O70551 B7UCT2
Q8BJQ4 A0A287BMU9
A0A0R4J0W0 A0A286ZWR0
G3X956 I3L9X2
P26450 F1SKR9
Q9CQA1 A5GFN3
P58334 A0A287AM94
Q3UR70 I3LIP2
Q8K2Z4 F1RQR3
Q8VEB1 F1S417
P97473 F1RVY7
F8VPX2 F1SEX6
H3BJD7 F1S360
E9Q555 Q28987
P49698 A0A288CG37
Q9JLV5 A0A287A2J9
Q6KAQ7 F1S9R4
Q6PAR0 F1RUP2
Q8K021 O77735
G3X914 I3LFR2
Q5SXC4 F1RSB8
O35226 A0A286ZJM4
Q9QYI3 F1S0P4
E9Q555 F1S9R4
A0A0R4J0T0 A0A287AIR5
P70333 A0A286ZWW2
Q8K368 F1SPR8
Q9D7F2 F1S0F8
E9Q555 A5GFN3
Q9EQ61 F1RPE5
Q9QWW1 A0A287B2S7
Q8VCM3 A0A287BE50
Q9CQA1 F1RZA6
P48754 A0A286ZS33
F8VPX2 A0A287B4V5
A0A0R4IZW5 A0A287BPL8
Q9CQ60 F1S956
Q9CYA6 A0A287AR18
P46935 A0A286ZL61
Q8CFC7 I3LP32
Q52KB6 K9IVJ6
Q8VC60 F1SR82
Q91W82 A0A287AMU4
Q9D309 A0A287BQE5
Q9WUL8 A0A287B098
Q9CQX2 A0A287BA78
Q8BWC0 A0A287A8S2
Q80UN1 F1RJU1
A2APF3 F1RZA6
P97813 F2Z5N9
P32883 I3LCX3
P11031 I6L6T2
Q8BZH4 F1RXX3
Q3TMP1 F1S5V0
Q8K368 I3LDL8
Q8BJQ2 A0A287BEV5
Q9D0B0 I3L7B7
Q9JJG0 A0A287AM94
Q99LG2 F1SEX5
Q62432 A0A287AE86
Q60664 F1SQH5
O88838 F1SLT6
Q3UH85 A0A286ZWH8
Q3U2C5 F1STG1
A0A0A0MQ97 I3LR13
P70372 D3K5N7
P41233 F1S5B5
Q923E4 K7GND6
Q69ZS7 F1RVY7
P47738 F1SPR8
Q8C142 F1STU0
Q3U0V1 F1RPX1
Q499D0 A0A286ZLJ9
A0A0R4J0I7 F1S4A6
P61750 B5LX40
Q9CPW4 B5APV0
Q78IK4 F1SR85
G3X972 I3LDL8
Q8CFC7 F1RXX3
Q99MW1 P10612
G3X972 A0A0R4J8D6
Q61488 F1SJ10
F8VPX2 F1S5N5
Q6NVF9 F1SH64
Q9JJG0 I3LC62
Q8BZ33 F1RZA6
Q3B7Z2 O77735
Q3U1D0 F1SR95
P47740 A0A287BLV8
Q922G2 A0A287ARD1
Q91XQ0 A0A287BE50
P97473 F1SPR8
Q6PD10 F1SPR3
Q8BG32 A5D9P0
P56480 F1SB63
Q8R2N2 A0A287B1A2
E9QJU6 A0A286ZTE3
A0A0R4J097 A0A287BPI7
Q91W82 A0A287A176
Q9JHT5 F1RP24
Q9CQA1 A0A287A377
P97473 A0A0R4J8D6
Q9CR52 M3UZ00
H3BJD7 F1S4A6
Q8K368 A0A0R4J8D6
Q811Q9 A0A286ZUN2
Q8C7B8 F1SD76
Q9WV31 A0A287B294
Q8JZL0 A0A286ZP97
Q9CQ40 F1SPR8
Q8VI93 F1RN84
P52795 F1S5C5
G3X956 F1S8K5
A0A286YD96 A0A287AV73
Q8BZ33 F1RXE4
Q8R1N4 Q95250
Q8VIG1 A0A287APE0
E9Q0B8 F1SRE0
P15806 Q007T2
Q9EPS3 F1SIU0
P97813 F1RFV6
P47738 A0A287AR18
P53690 I3LEE9
Q91YK2 F1RPX1
Q61081 Q684M6
Q80X98 A0A287AXH6
A0A0R4J0W0 A5GFR3
A2APF3 F1SCJ1
O88888 A0A287B798
Q99LI9 F1STU0
D3YXK2 I3L5I1
Q8C5Q4 A5GFR3
A2A4P0 F1RUP2
Q8JZL0 F1SI41
O08919 F1SMJ4
Q8VHZ7 F1RXX3
Q9CQA1 F1RXE4
P97855 F1RSE6
Q8BHJ6 F1RF26
Q5IRJ6 F1SIU0
A0A0R4J0W0 F1RGS3
Q91W82 Q06AT9
Q9CQA1 F1SCJ1
O08582 A0A286ZWR0
P61080 A0A287ARZ0
Q8K368 A0A287B559
Q99JB6 K7GQT5
P62509 A0A287BBC6
Q3UFY8 A0A287AXH6
P41233 F1SP55
Q80XU3 I3LUP4
Q99MV1 K7GNC6
A2A8L1 F1SP55
Q9CQD1 Q06AU6
Q3TMP8 F1S9V9
P22518 B1A9K1
Q3UR42 K7GND3
Q921S7 A5GFR3
Q8VDS4 A0A287BF49
Q99LG2 F1RMJ9
Q9CQA9 F1RGU8
Q9CYA6 F1SPR8
P12813 A0A287ANK9
Q8K021 F1SEX5
Q9DC29 I3LKM6
O08586 A0A287BDW6
Q9JLR1 F2Z5D0
S4R2G5 F1RM74
A2A8L1 A0A286ZJ13
Q9D7X3 I3LCX3
Q91YK8 F1RMV7
G3X972 A0A287B559
Q8CA71 A0A287B144
P47740 A0A287BBJ7
A2APF3 Q28987
P52795 F1RGU8
P02340 Q9TUB2
P61082 A0A287BNE4
O08969 D3Y268
Q9Z265 Q864V7
Q8VE92 Q06AT9
Q9CR52 A0PFK5
O08919 A0A287BQ14
Q9QZC7 I3LLX4
Q99JX7 I3LNX4
O09030 A0A287AB06
Q6KAQ7 A5GFN3
Q8VHX6 F1S0P4
E9Q7L6 I3LTD2
Q9D9V4 F1RRH7
Q62420 F1SNE5
Q99LL5 I3LDL8
Q8C5Q4 F1RGS3
A2RSQ0 A0A287BNA8
E9Q555 F1SCJ1
Q8BMA6 F1RYA4
E9Q555 F1RZA6
Q9D032 A0A287BIX3
Q9ES00 F1RIG2
Q3U4H6 F1S009
Q9D451 F1RK75
Q9CQA9 F1S5C5
P97477 F1RWM5
Q8R1N4 A0A287B749
Q62108 I3LMS7
E9PUK6 A0A287AV47
O70333 A0A286ZRB8
A0A0J9YUA8 K9IVJ6
Q5NCI0 F1RN84
Q921E6 A0A287B4M4
O88342 F1RGS3
A2A4P0 F1RGS3
Q3TMP1 I3L9F2
Q8R370 A0A287AGK8
A2AKB9 F1ST66
Q65Z95 A0A286ZWH8
O35864 F2Z540
E9PWG6 F1S5C5
P62192 F2Z5J1
A0A0R4J0E0 A0A286ZLJ9
Q3U0V1 A0A286ZS00
B7ZBV9 A0A287BNA8
P33896 A0A287AM94
P40630 I3L5I1
Q8CFC7 A0A287A2C8
P97813 F1S2K2
P49698 F2Z4Z6
Q7TSQ8 A0A286ZWR0
O35343 F1RHC5
O35887 A0A287AQR4
P97313 A0A286ZTN5
P62192 A0A287A2U9
Q3U2G2 K7GND3
E9Q555 A0A287A377
P62492 A0A287B854
Q9QZS3 A0A287AZZ6
A2AIX1 A0A286ZV83
Q01279 A0A286ZV23
P16054 F1S5K7
E9Q7L6 F1RP24
A2APF3 F1S9R4
P11087 A0A287A1S6
O70333 A0A287AB06
P49183 A0A287BJ79
E9Q7L6 F1SC14
E9PUK6 A0A287BDL6
Q80X98 A0A287A6G5
Q61115 I3LVF2
Q6PDL0 A0A287A176
A2CGA5 O62640
Q61160 Q56VC2
P26450 G9F6X8
P28867 A0A287BBY6
A2A8L1 A0A287BE50
Q5D078 F1S215
Q9DBF7 A0A286ZKR9
Q91XQ0 F1RVR2
Q811Q9 F1S4A6
Q5SRY7 A0A287BCR0
O09030 A0A286ZRB8
Q99LL5 I3LG73
P97377 A0A287AXP1
Q924Z4 F1SS96
Q8R422 A0A287BK63
Q8CI32 A0A287BRD8
Q8VCG4 A0SEH3
Q8JZV4 A0A287A5S5
Q6KAQ7 Q28987
Q08AT1 F1RSW9
O55082 A0A287AC39
E9QKA4 A0A287AV47
P97812 A0A287B487
Q8R317 A0A287B231
O08582 F1RUP2
O35730 F1RKW8
Q8C142 F2Z566
B2RRL2 F1SQH5
E9QNX7 F1RM59
Q8R0S4 A0A287AHZ5
Q3THW5 Q06AT9
P28033 I6L6T2
A2ACG1 A0A287BJT4
P47738 A0A287B559
P63101 F2Z558
Q91UZ5 F1SBT9
O88888 A0A287BQ14
Q99MV1 F1SR85
Q78ZA7 I3L9X2
Q9WUL8 K7GT58
Q8BJQ4 F1RFA9
A7DTG3 I3LUP4
Q8CFC7 A0A287B6U5
Q60664 A0A286ZUL4
P46467 A0A287BA12
Q99KG3 F1S5C5
P70227 A0A287B5B5
Q8R3P2 F1ST66
Q78ZA7 A0A286ZS00
Q99LM2 F1RWH6
Q91V57 I3LLX4
Q61286 Q06AS8
P01108 F1RRR8
O08919 A0A287B798
