I3LLB5 Q8R007
A0A287APE0 Q78IK4
I3L9N5 Q3TWW8
F1S009 Q3U4H6
A0A287B559 Q9CYA6
F1SC14 E9Q7L6
I3L819 P58465
A0A286ZV44 Q3TMP1
F1RXX3 Q8BZH4
F1S2R7 O08919
F1RSE6 P97313
F1RGU8 Q9CQA9
I3LIT1 Q80T69
A0A287BHC9 Q6P5F9
F1RPX1 Q3U0V1
A0A286ZKE4 Q99LI9
I3LKM6 Q99MV1
A0A286ZWH8 Q65Z95
F1RVR2 Q8VCM3
A0A287BA78 Q9CQX2
A0A287AXP1 P97377
A0A287AHZ5 Q8R0S4
F1S215 D3YXR2
F1RSW9 Q08AT1
A0A287AM94 Q9WUL8
F1RMV7 Q91YK8
F1RSN9 Q78IQ7
F1SQH5 P23738
I3L9F2 Q3TMP1
A0A287BK93 Q9QUJ7
Q9TUB2 P02340
A0A287A5F6 P70340
A0A286ZV23 Q01279
Q007T2 P15806
F1RGS3 Q8BZR9
O62640 A2CGA3
D3Y268 O08969
F1RPQ3 P63001
Q95250 Q9R1T2
F1S956 Q9CQ60
A0A286ZR64 Q6PAM1
F1S7P5 O08919
K7GNC6 Q99MV1
I3LTD2 Q78WZ7
A0A287AV47 E9QKA4
Q52NJ3 Q99JZ4
F1SMJ4 O08919
I3LP32 Q8VHZ7
I3L7B7 Q91YT7
F1SPF3 P97310
A0A287BLV8 O35465
F1RUP2 O08582
A0A287BEH6 Q3TJD7
A0A287B5S7 Q8CJG0
I3LB28 O35375
K9IVJ6 A0A0J9YUA8
F1SR85 Q99MV1
A5GFR3 Q8BZR9
A0A286ZUN2 Q9D6K5
F1RGU8 P52795
A0SEH3 Q8VCG4
A0A287ARZ0 P61080
A0A287BNA8 B7ZBV9
M3VH47 P27577
F1RTM6 P19091
A0A287B501 P62878
F1RUP2 Q8CEC0
A0A287B854 P32883
F1SPR8 P47738
A0A287AR18 Q9CYA6
F1SD76 Q8C7B8
B6E241 Q60631
F1S8N5 G3X9H5
A0A286ZWR0 Q8BZR9
A0A0U2ETD0 P26450
I3LPN4 Q91WR3
Q864V7 Q9Z265
A0A286ZL14 Q8C863
A0A287B425 Q9CQA1
F1RK75 Q9D451
A0A287BPI7 A0A0R4J097
A0A287BF49 Q8VDS4
F1SHN7 Q5S006
A0A287A5L5 Q9JI48
I3LDL8 P47738
F1RRR8 P01108
A0A287BLV8 P47740
A0A287B098 P58334
A0A287B559 Q8K368
I3LEY2 Q07076
I6L6T2 P28033
A0A287A377 Q6KAQ7
F1RR25 Q9WUL6
A0A287B5B5 Q8R3P2
A0A287BLE1 O08788
A0A287B4M4 Q921E6
A0A287B559 G3X972
A0A287BBK4 P61080
A0A287B559 P47738
A0A0R4J8D6 G3X972
A0A287AMU4 Q3THW5
I3LDS3 A2A513
Q864V7 P70340
A0A287A1S6 P11087
I3LTC6 Q80ZJ1
A0A287AR18 Q69ZS7
F1SUR6 Q52KB6
A0A286ZNY1 P68368
A0A287AYD9 Q8VHZ7
A0A287B854 P62492
A0A287BA12 P59326
A0A287BE50 Q91XQ0
I6L6T2 P11031
F1S603 Q9WV31
A0A286ZS33 P48754
Q865K8 Q80ZE4
P79307 P12023
Q06AT9 Q6PDL0
I6L6T2 A2APM2
A0A287BDL6 P59326
A0A287BK63 E9PXE2
A0A287A176 Q6PDL0
K7GM45 Q8BUN5
F1S4A6 Q9D6K5
I3L6Z7 Q61526
I3LKM6 Q9DC29
A0A287BCR0 Q5SRY7
F1S5B5 P41233
D3K5N7 P70372
A0A287B231 Q8R317
I3LEE9 P53690
F1SPR8 G3X972
A0A287AMU4 Q6PDL0
F1S5K7 P16054
K7GP28 Q99N15
F1S0P4 Q9QYI3
A0A286ZJP2 O08919
F1RGS3 A0A0R4J0W0
F1ST66 P70227
A0A287A5X3 O88342
A0A287BIX3 Q9D032
A0A287A377 Q9CQA1
I3LCX3 Q99JT2
F1SCW9 Q3UES3
A0A287A6G5 F8VPK0
A0A287AR48 Q80X98
A0A287BJ79 Q9Z0V8
A0A287B8F0 D3YYU8
I3LQB7 Q3U2G2
A0A287BEY7 P23804
F1RGS3 Q6PAR0
F1SR85 Q9DC29
A0A0R4J8D6 Q69ZS7
A0A286ZWR0 A0A0R4J0W0
F1RVY7 Q69ZS7
F1RUP2 A0A0R4J0W0
F1SLT6 O88838
F1REZ6 Q80TQ2
F1S8K5 Q78ZA7
A0A286ZS00 Q3U0V1
I3L5I1 Q3U0V1
F1S360 Q9D6K5
A0A0R4J8D6 Q9CQ40
K7GR08 H3BJD7
I3LR13 Q32NY6
A5GFR3 A0A0R4J0W0
A0A286ZRB8 O70333
A0A287A8Q7 Q8BJQ2
K7GNX2 Q811Q9
F1RRH7 Q9D9V4
I3LCX3 P32883
K7GR08 Q811Q9
A0A287BRJ4 P25322
I3LIT1 Q5SXC4
I3L9X2 G3X956
A7UNK0 Q8VHZ7
A0A287AP23 Q8CI61
F1RMJ9 Q3B7Z2
F2Z5N9 P97813
A0A286ZUL4 P23738
F1SHV1 Q9JIT1
F1S5N5 F8VPX2
F1S9S0 Q8BMF5
A0A287AXH6 Q3UFY8
A0A287BBJ7 O35465
A0A287BMU9 F8WJF7
F2Z4Z6 P49698
A0A287B5B5 P70227
A7XUJ6 P70196
A0A287ANK9 P12813
I3LII4 Q07832
A5GFR3 Q8C5Q4
A0A287BGY4 Q3TMP1
A0A287AV73 Q32NY6
A0A287BGP7 Q8R1N4
A0A287B098 Q9JJG0
F2Z566 Q8C142
F1ST66 A2AKB9
A0A287BQE5 Q9D309
B5KFD7 Q3TQ39
F1SFI7 P29699
A0A287B6U5 Q8VHZ7
A0A287B294 Q9QWW1
F1S5C5 Q9CQA9
F1RIG2 Q9ES00
F1SCJ1 Q6KAQ7
F1S9V9 Q3TMP8
F1RN84 Q9CX84
A0A287A9U8 Q3UKJ7
A0A287AXH6 F8VPK0
O77735 Q8K021
A0A287AR18 Q9CQ40
A0A286ZJ13 P41233
A0A287AUM4 Q9Z2D1
M3UZ00 Q9CR52
I3LR13 Q5IRJ6
F1RGS3 Q921S7
F1SJ10 Q61488
A0A287BK29 F8VPX2
A0A286ZUN2 H3BJD7
F1RP24 E9Q7L6
A0A286ZKE4 P35276
F1SNE5 Q62420
A0A287B2S7 O88602
F1SRE0 E9Q0B8
A0A287AR18 P97473
K7GL93 Q62312
F1SBQ7 Q9QZ09
F1SBT9 Q91UZ5
A0A287AXQ4 Q8VHN8
F1RYY5 Q8CFC7
F1SIU0 Q9EPS3
A0A286ZUN2 Q811Q9
F1ST91 Q9QZ82
F1RUP2 Q921S7
A0A286ZLJ9 A0A0R4J0E0
F1SMW9 E9QNN1
A0A287AQR4 P39447
F1S9W2 Q9D9V4
A0A286ZQA1 Q80V62
I3LDL8 Q99LL5
A5GFR3 Q921S7
A0A287AV73 Q5IRJ6
A0A287BNY8 Q9Z0V8
F1SMW9 Q3UR42
A0A287AQR4 O35887
A5GFR3 Q7TSQ8
A0A287BBB5 Q9WV55
A0A287B2S7 Q9QWW1
I3L9N5 Q8BJY1
F1SCJ1 Q9CQA1
F1RWH6 Q99LM2
I3L9K5 Q80XU3
K7GQT5 Q99JB6
K7GT58 Q9JJG0
F1SNT8 O08788
A0A286ZS00 Q78ZA7
A0A286ZZ81 Q9CQA5
I3L9U8 B2RWS6
A0A287AYT3 Q62035
K7GNC8 Q99KG3
B7U6F4 Q99JT2
A0A287BNU5 P61021
A0A287BPQ8 A0A0R4J0E0
F1SPR8 Q8K368
A0A0R4J8D6 P97473
F1RZA6 E9Q555
I3L5M8 A2A432
A0A287BPI7 F6VPT9
Q06AS8 Q9DC51
I3L5I1 D3YXK2
F1SH64 Q6NVF9
K7GL45 O08586
F1RVY7 Q9R0N0
A0A287BFS6 Q80V31
A0A287AIR5 A0A0R4J0T0
Q28987 E9Q555
F1S9Y5 Q60996
K7GNR7 Q8VE92
A0A287AYD9 Q8CFC7
F1RFX4 A0A0R4J097
F1SPR3 Q6PD10
K7GNC8 E9PWG6
A5D9P0 O35730
A0A287A2C8 Q8BZH4
F1RR25 P42230
A0A287AXH6 Q80X98
F1STU0 Q99LI9
A0A287BIK0 O70263
A0A287A2C8 Q8VHZ7
A0A287AV47 P59326
F1RVY7 Q9CYX7
Q06AU6 Q9CQD1
A0A0R4J8D6 Q9CYX7
A0A287BLE1 Q64337
F1RVY7 Q9CQ40
A0A287AV73 Q9EPS3
F1S4A6 A0A0R4J0I7
F1ST66 Q8R3P2
A0A286ZZ96 P26361
B7U6F4 P32883
A0A287A233 Q91YI4
F1ST91 Q99MW1
I3LDL8 Q8K368
K7GT58 P33896
A0A287BE50 Q8VCM3
F1SLX2 Q6GQT1
I3L9K5 A7DTG3
A0A287BBC3 Q9CQV8
A0A288CG37 Q3TJD7
F1SR82 Q8VC60
K7GNR7 Q3THW5
I3L9X2 O88477
F1RM25 Q60676
A0A287BEV5 Q8BJQ2
A0A287AMU4 Q91W82
I3LDL8 Q9CYA6
F1RP24 Q78WZ7
A0A287B798 O88888
A0A287BK63 Q3UES3
A5GFR3 A2A4P0
F1RVY7 P47738
A0A286ZTE3 E9QJU6
F1SAI6 O08912
I3LQB7 Q3UR42
K7GND6 Q923E4
Q95250 Q8R1N4
F1SP96 Q5Y5T3
Q29040 P19785
A0A287BK49 Q9CQA9
A0A286ZUN2 A0A0R4J0I7
F2Z566 Q99LI9
F1RXB8 Q61502
F1RGU8 E9PWG6
F1SPW6 Q8BQR7
A0A0A0MY60 Q9WUL6
A0A287AR18 Q9CYX7
F1SNZ3 O08919
F1RWF7 A2A6M5
I3LIP2 E9PXE2
I3LC62 Q9JJG0
F1RP24 Q9JHT5
A0A286ZP97 Q8JZL0
A0A287BA12 P46467
A0A287BJP3 P19091
A0A287AE68 Q91Z22
F1RGS3 A2A4P0
A0A287A377 E9Q555
F1SNZ3 O88888
F1STU0 Q8C142
F1SKR9 P26450
A0A286ZS00 G3X956
A0A287BA39 P83510
F1RKW8 Q99L45
P62844 Q8BGG7
F1S5V0 Q3TMP1
F1RF26 Q8BHJ6
P62844 Q3UPF5
F1RXX3 Q8CFC7
A0A287AA29 Q99LU8
A0A287BE50 A2A8L1
F1SEJ3 P32443
F1RKW8 Q8BG32
F1SBX2 P70275
A5GFR3 Q8CEC0
A0A286ZUL4 Q60664
A0A288CG37 P49698
K7GNR7 Q91W82
F1SR95 Q3U1D0
A0A287AC39 D3YXR2
F1SQH5 Q60664
F2Z5J1 Q3UJB0
A0A0R4J8D6 P47738
A0A287BBJ7 P47740
F1RFV6 P97813
F1SS96 Q924Z4
P82460 P46935
F1RXX3 Q8VHZ7
P62844 Q04750
A0A287AGK8 A0A0J9YUA8
F1S5C5 Q99KG3
F2Z5J1 P62192
I3LMS7 Q62108
F1RHK6 Q3UFB7
A0A286ZUL4 B2RRL2
A0A286ZJ13 Q8VCM3
A0A287AC39 Q5D078
O77735 Q99LG2
A0A287B559 Q9CYX7
F1S4A6 Q811Q9
A0A287B487 P97812
F2Z540 O35864
I3LVF2 Q61115
A0A287B749 Q8R1N4
B7U6F4 Q9D7X3
F1STG1 Q3U2C5
A0A287BBY6 P28867
A0A287A2C8 Q8CFC7
A0A286ZTE3 E0CZD6
F1S5C5 E9PWG6
F1RGS3 O08582
I3L7B7 Q9D0B0
Q56VC2 Q61160
K7GNC6 Q8VIG1
A0A286ZKR9 Q9DBF7
A0A0R4J8D6 Q9R0N0
F1RNP8 Q8BTZ4
F1SEX5 Q3B7Z2
F1RQT4 Q9DB43
I3LKM6 Q78IK4
A0A287AV73 A0A286YD96
F1RFA9 F8WJF7
A0A287BK49 P52795
O77735 Q3B7Z2
F1SIU0 Q5IRJ6
A0A287B2S7 Q9WV31
F1S2K2 P97813
A0A287BMU9 Q8BJQ4
K7GND3 Q3U2G2
A7LKB1 Q923E4
A0A287A2R9 P62259
A0A287BAI1 Q9ERZ4
F1SCW9 E9PXE2
Q2EHH7 P63087
A0A287BRJ4 Q6PAM1
F1SC14 Q9JHT5
A5GFR3 O08582
F1SPR3 Q9QZC7
O62640 A2CGA5
A0A287B4V5 F8VPX2
A0A287BPL8 A0A0R4IZW5
F1SPR8 Q99LL5
A0A286ZWR0 O08582
I3LDL8 G3X972
A0A287BDL6 E9QKA4
F1SI76 A2ARP1
A0A287A7J8 Q8BJQ2
F1RGX9 Q01114
F1S0P4 Q8VHX6
A0A287B559 Q99LL5
A0A287BKF0 O08919
A0A287B144 Q8CA71
I3LR13 Q9EPS3
F1RUP2 A2A4P0
B1A9K1 P22518
F1RYY5 Q8VHZ7
F1RPX1 Q91YK2
A0A286ZKE4 Q9JHE7
F1SCJ1 E9Q555
F1SCJ1 A2APF3
K7GNR7 F6U5V1
A0A286ZKE4 Q8C142
A0A287A8S2 Q8BWC0
F1RM20 Q8CG64
A0A286ZJP2 O88888
A0A287BPQ8 Q5BU09
I6L6T2 E9QKM8
F1SSV2 Q80ZJ1
F1S9R5 Q3UPF5
F1RXE4 Q9CQA1
I3LKS1 P97348
K7GNC8 Q9CQA9
A0A287BJU1 Q8CE33
A0A286ZS00 O88477
F1RLE6 Q9JI48
A7BJW1 P18762
A0A287B6U5 Q8CFC7
I3LDS3 A0A1B0GSR7
A0A287A176 F6U5V1
B5APV0 Q8BK67
A0A287AXP9 Q8K297
K7GR08 Q9D6K5
A0A287B2S7 P50149
F1SRR6 O08537
F1SRE0 A0A0R4J187
A0A287B294 O88602
F1S215 Q5D078
A0A286ZPF5 P63085
A0A287AYD9 Q8BZH4
Q06AT9 Q91W82
F1RFA9 Q8BJQ4
A0A286ZRB8 O09030
F1SR85 Q78IK4
F1S1U5 Q99JX3
F1RM59 E9QNX7
A0A286ZWP6 G3X972
B5LX40 Q9CY50
A0A286ZL61 P46935
F1S9R4 E9Q555
A0A287B798 O08919
A0A287AB06 Q78J03
A0A287AGK8 Q8R370
F1S9R5 Q04750
F1RVY7 Q8K368
F1SPK1 Q3UH93
A0A287A377 Q8BZ33
F1RHC5 O35343
K7GNC8 P52795
I3L897 A0A0B4J1E2
F1RVR2 Q91XQ0
Q06AT9 Q8VE92
A0A286ZLI8 Q3U741
A0PFK5 Q9CR52
F2Z4Z6 Q3TJD7
F1S9R4 Q8BZ33
F1SQH5 B2RRL2
O62807 O08919
F1SNT8 Q64337
F1RN84 O70405
A0A287B294 Q9WV31
A0A287BNY8 P49183
Q6QAQ1 P60710
A0A287BNT0 B2RPS7
A7LKB1 Q07076
A0A287BRD8 Q8CI32
F1S360 Q80W04
A0A287BNA8 A2RSQ0
A0A287AMU4 Q8VE92
A0A287AM94 P58334
A0A287ATD3 O35343
A0A287APE0 Q8VIG1
I3LUP4 A7DTG3
I3L5I1 Q91YK2
F1RVY7 P97473
A0A287B321 Q8BG18
A0A287B854 Q99JT2
F1RPE5 Q9EQ61
A0A287BNT0 A0A087WSD0
A0A287AXV6 Q920L5
I3LR13 A0A286YD96
A0A287BB06 F8VPK8
F1S7P5 O88888
A0A287B294 P50149
A0A286ZX77 Q9CQJ4
A0A287AL02 P31750
A0A286ZLJ9 Q499D0
A0A287B854 Q9D7X3
A0A286ZI96 P59326
F1SCQ9 Q5Y5T3
A0A286ZIV3 P56480
A0A286ZXQ9 Q8C1Q4
A0A286ZUT3 Q80ZJ1
A0A287BBC6 P62509
A0A287A4T0 Q9WVS6
K7GT58 P58334
B5APV0 Q9CPW4
R4JU57 Q8K2F8
A0A287B559 Q9CQ40
F1SEX6 F8VPX2
M3UZ00 Q0P678
A5GFN3 E9Q555
I3LDL8 P97473
A0A287A2U9 P62192
F1SPR3 Q91V57
F1RM52 Q8R0W6
A0A287B1A2 Q8R2N2
F1ST91 B2RSU7
F1SMW9 P47857
F1S8K5 O88477
F1RZA6 Q9CQA1
A5GFN3 Q9CQA1
F1S9R5 Q8BGG7
A0A286ZKE4 Q8BPB0
F2Z5D0 Q9JLR1
A0A287BIK4 Q8CHK4
A0A287BNA8 F6UC55
Q56VC3 O89110
P10612 Q99MW1
F1SUR6 A0A0J9YUA8
F1SEX5 Q8K021
I3LR13 A0A0A0MQ97
A0A286ZTN5 P97855
A5GFN3 Q8BZ33
Q06AS8 Q61286
A0A287A2J9 Q9JLV5
F1RVY7 Q9CYA6
Q28987 A2APF3
A0A287B749 Q8R010
I3L9X2 Q78ZA7
A0A287B098 Q9WUL8
F1RFX4 F6VPT9
F2Z558 P63101
I3L5I1 P40630
A0A287BDL6 E9PUK6
F1S4A6 H3BJD7
Q684M6 Q61081
F1RTW1 Q8VIG1
B5KFD7 Q60760
A0A287ARD1 Q922G2
A0A287B4G4 P63001
B5KFD7 Q4VA93
F1RUP2 O88342
A5GFN3 Q6KAQ7
I3LUP4 Q80XU3
K9IVJ6 Q52KB6
A0A287AR18 P47738
I3LP32 Q8BZH4
F1SP55 P41233
A0A287ANN0 Q8JZL7
A0A286ZS00 Q91YK2
F1RUP2 Q6PAR0
A0A287AV73 A0A0A0MQ97
I3LIH2 Q91UZ5
F1SPR8 Q9DAW6
F1S417 Q8VEB1
A5GFR3 Q6PAR0
F1RVY0 Q8BH02
I3LNR5 O08648
F1S360 A0A0R4J0I7
A0A287BK63 Q8R422
A0A287APW0 Q61545
I3LNX4 Q99JX7
A0A287BIL8 P20029
K7GT58 Q9WUL8
A0A287AB06 O70333
I3LFR2 G3X914
F1RXE4 E9Q555
F1S9R4 Q9CQA1
A0A287BDL6 Q9CY50
A0A286ZTN5 P97313
Q19S50 P42227
F1SVA6 Q6PE01
A0A287AM94 Q9JJG0
F1STM9 Q3TE40
A0A286ZJ13 A2A8L1
F1SFR7 Q3UQV5
F1RGS3 O88342
A0A286ZWW2 P70333
A0A287B5B5 A2AKB9
A0A287A377 A2APF3
F1RYA4 Q8BMA6
A0A287BDW6 O08586
A0A287BJT4 A2ACG1
A0A287B559 Q69ZS7
F1SSH4 Q8R1N4
F1RGS3 Q8C5Q4
F1SPR8 Q9CYA6
F1S9R4 Q6KAQ7
M3VH47 P84089
B5LX40 P61750
A0A287AZZ6 Q9QZS3
F1SS99 Q80ZJ1
A0A287BRJ4 F8VQI6
A0A287B559 P97473
G9F6X8 P26450
I3LTD2 Q9JHT5
F1SIU0 A0A0A0MQ97
K7GR08 A0A0R4J0I7
I3LLX4 Q6PD10
F1S0F8 Q9D7F2
A0A286ZWH8 Q3UH85
A0A287A5S5 Q8JZV4
F1RN84 Q8VI93
F1RUP2 Q8C5Q4
F2Z5I5 Q9WVS6
A0PFK5 Q0P678
K7GNR7 Q6PDL0
F1RTW1 Q78IK4
A0A287BE42 Q9ES74
F1SMW9 Q3U2G2
F1RZA6 Q8BZ33
I3LLX4 Q91V57
Q29549 P70340
I3LLX4 Q9QZC7
A0A287AE86 Q62432
A0A287AC39 O55082
A0A287A8Q7 Q9EQU3
F1SN14 Q3TMP1
F1S603 P50149
F1RGS3 Q8CEC0
A0A287BK49 E9PWG6
F1S8K5 G3X956
I3LTD6 Q9CUN6
I3LG73 Q99LL5
Q28987 Q8BZ33
F1RMJ9 Q99LG2
A0A287B425 Q91YL2
A0A287AGK8 Q52KB6
F1RWM5 P97477
A5D9P0 Q99L45
E3US74 Q6I6G8
I3LCX3 Q9D7X3
F1SFF0 Q9R123
F1S5C5 P52795
