F2Z5I5 G1U419
A0A287BJH4 G1SEN5
F1S5N6 G1SJI9
F1S5N6 G1STP3
F1SHD4 G1U6P9
I3LNC2 U3KMD4
D4P3C2 U3KN58
D3K5N7 G1TAE2
A0A287BBM7 G1SI70
F1SB65 G1TMG7
A0A286ZVH7 G1SYP2
A0A287AZ31 G1TCZ9
F1RRS6 U3KMX0
F1SU06 G1SW67
D7RA28 Q8MK68
F1RKX9 G1SE50
I3L7Q7 G1SP98
A0A287A5F6 U3KN87
A0A287BPL8 G1TYT3
F1S412 G1SFR1
A0A287B653 G1SV73
P67937 G1SP98
A0A287AMD7 G1T632
A0A287BL28 U3KN12
A0A287A4L2 G1SVB7
P79307 G1SZM2
A0A287AQR4 G1ST56
A0A286ZV23 G1SZE4
F1RLE6 G1T757
F1SFF0 G1T3P3
D7RA34 G1SQM7
I3L7Q7 G1SY36
A0A286ZZ95 G1SJ89
I3LG73 G1T2K5
F1SG88 G1SGY7
F2Z5R6 G1SN14
A0A287A2R9 G1TF91
F1RHK6 G1SZT9
A0A287BQA2 G1TE36
A0A287BQ14 G1SZK4
F2Z5N6 G1SX32
E7CXS0 G1TGB4
A0A287BBB5 G1SVI9
A0A287ARD7 G1U730
A0A287ANK9 G1T1W2
A0A287A2J9 G1SZR6
F1S106 G1SZJ7
A0A287AWP7 U3KNV2
K7GQT5 G1SYN1
I3LBY1 G1STP3
F1SUF1 P79218
Q52NJ3 G1SWN0
F1SU06 G1SRH7
A0A287AU22 G1SMV8
F1RFG5 G1SI70
A0A287AD78 G1SW67
I3LIL0 G1T856
A0A287AD78 G1T1E3
A0A286ZMY6 G1T866
F1RPE5 G1T8P3
A0A286ZRB8 G1SXR5
F1SI55 G1SZQ7
A0A287B4M4 G1TIX5
A0A286ZT34 G1TIP3
A0A287AJJ6 G1SEN5
F1SSH4 G1U427
I3L897 G1SXS3
A0A287B1A7 G1T2K5
F1SP25 G1SZJ7
F1S1M5 A6N4D0
Q19S50 G1T0H3
I3LN88 G1T165
F1SPR8 G1SN37
I3LLY4 G1TBR1
I3LE14 G1SI26
F1ST22 G1TCS7
F1SJL3 G1SSS6
A0A287A7J8 G1SE83
F1SA91 G1SVF3
I3LR41 G1TDU3
A0A287BEW6 G1STW3
B1A9K1 G1SZR1
A7XUJ6 U3KNH2
F1RKW0 G1T919
A0A287A6E8 G1TGB4
A0A287BGY8 G1T5U9
A0A286ZM08 G1T4R1
F1SKF9 G1SQU6
F1SGI2 E2J6N2
A0A287B726 G1SX32
I3LJ47 G1STH6
A0A286ZN56 G1SVQ8
A0A287BIR6 G1T839
A0A287ARA4 G1SX32
A0A287BBY6 G1T035
Q9GJR5 G1SQN9
A0A287BKR2 G1TRW0
I3LIT1 G1SKC4
I4IYB5 Q6ECK6
F1SB42 G1SWW8
F1SP25 G1SHE2
F1SB65 G1STW3
A0A286ZVL0 G1T7H0
K9IVL0 G1SVF3
A0A287BEU1 G1SGJ3
I3LF69 G1SUI1
B6E241 G1SR27
I3LI16 G1STQ2
F1ST61 G1TYJ9
A3EX84 P47845
F1RWT7 G1SMQ1
A0A286ZJ88 G1SL22
F1S1D3 G1SWQ8
F1SPE5 G1TCG7
A0A287B5M8 G1TIU4
F1SAG1 G1SUJ9
F1RP05 G1T866
I3LU32 G1SYA1
K7GL66 G1SGU6
A0A287BBE4 G1T168
A0A287B653 G1U0W2
B5APU6 G1TVH9
F1SC64 G1TVH9
F1SE91 G1U998
A0A287ANH9 G1SML4
B5LX40 G1TP25
F1SPF9 G1ST95
F1RNA6 G1SP89
Q06AA7 G1U9B4
P23563 P04924
A0A287AU22 U3KPJ9
A0A287AB06 G1SXR5
F1SUV0 U3KMN9
F1S5N5 G1SVQ9
F1S034 G1T168
F1RLT7 G1SK06
F2Z5J1 G1T8P3
F1SEX6 G1T4R0
B5KFD7 G1T8H7
F1SRB6 G1U8V0
A0A287B6J8 G1U9B2
F1SPR8 G1T062
F1SAK9 G1TAB1
A0A287BBC6 G1U631
A0A287AE42 G1U3I5
I3LVB2 G1TY37
I3LJ47 G1SZF2
I3LFX5 G1TAR0
A0A287B653 G1SZF2
F1S034 G1TAR0
A0A287A7H6 G1T7B5
A0A287B1A7 G1TRM4
K7GND2 G1SZ36
F1RUH7 G1SKJ6
A0A287B4V5 G1T4R0
Q6QAQ1 G1SIT9
F1SUH8 G1SSE2
A0A287A3D8 G1SJT2
P34999 G1TA77
A0A286ZQA1 G1SIC9
F2Z5N6 G1SLH7
I3LTD6 G1TBF1
F1RK46 G1SLV2
I3LMS7 G1TZS4
A0A287ARD1 G1T876
A0A287ANE3 G1SRL1
A1Y2K0 G1TD81
A0A286ZZ03 G1T1H3
F1ST22 G1TMG7
F1SLL4 G1SVI0
F1S5N5 G1T4R0
I3LN88 G1SEV9
A0A287A9Y2 G1TIP3
I3LVB8 G1T1J5
F1S5N6 G1TID3
A0A287BEU1 G1SWQ8
I3LFX5 G1T168
F1RFL8 G1SJT1
F1SCL0 G1U0V9
F1RVD7 U3KPC9
A8U4R4 G1TAH7
A0A287AU87 G1TC95
Q767K6 P47823
M9MMN1 G1T1L1
F1SGS8 G1SFD1
K7GR70 G1T143
F1SUF1 G1SXH5
A0A287AQ46 G1TW52
F1RP49 G1SUN2
F1S1D3 G1SGU6
I3LDL8 G1SN37
I3LTU2 G1TUQ4
F1SPR8 G1T3N8
Q08353 G1T9W2
F1ST01 G1TT06
F1RJG8 G1U4S3
F1SCL0 G1U105
A0A286ZJV8 G1SM20
R4JU57 G1SEN5
F1S106 G1TSP4
A0A287A2C8 G1SMD5
F1RG69 G1SG61
F1SS65 G1TMG7
A0A287A9W0 G1T2L6
A0A287AJU8 G1SIC8
A0A287ACE1 G1TDK5
I3LDL8 G1T062
A0A286ZKH9 G1TB50
I6L6T2 G1SQM7
I3LM52 G1TAP3
F1RP05 G1SGB3
A7BJW1 G1TAV7
I3L7K2 G1TWB1
A0A286ZQA8 G1SXD4
F1S5K5 G1TWB1
O02705 A0A0G2JH20
A0A287AI32 G1SR82
F1SMG4 G1T5Z6
F1S034 G1SGX4
A0A287AV47 G1SV63
Q767K6 G1SGY7
F1SD83 G1SR82
A0A286ZJP2 G1SXX9
B8Y650 G1T4I7
A0A287BEY7 G1SMQ9
F1RXX3 G1SIG3
A0A287BK29 G1T0X6
F1RSB8 G1TE66
F1RPE5 G1T0H1
F1RFG5 G1TXL5
F1S439 G1TN11
A0A286ZL14 G1T9A1
F1STM9 G1TBZ1
A0A287AHF0 G1T2V7
F2Z558 G1SDY5
F1RF93 G1TIW9
A0A287A5J3 G1TN11
F1SP25 G1TSP4
F1RP15 G1T4A9
I3LV81 G1SIJ3
F1SV31 G1T250
F1RNP8 G1SI60
F1S3R9 G1TRQ7
A0A287AF06 G1SID9
F1SGI2 G1SHX4
I3LMS3 G1U1Z6
F1SRE0 G1SS22
A0A286ZTD8 G1SIG2
A0A287BRP0 G1SJ36
A0A287B1A7 G1SGX4
F1RP05 G1SMK8
F1RYE9 G1SGZ9
F1RGX9 G1SXF3
Q56VC2 G1T8W9
A0A287A000 G1U7J6
B1PHQ8 G1U6P9
F1ST22 G1T6A2
F1S8W2 G1T1R8
F2Z5I0 G1TBZ1
F1SPG1 G1SY36
F1RWM5 G1SZL0
F1REZ6 G1T481
A0A287AFY4 G1SKU2
A0A287BMU9 G1TGG7
A0A286ZLJ9 G1SLQ0
I3L8G0 G1SD04
F1RP05 G1SH00
A0A287AB06 G1T5Y0
I3LJ47 G1SV73
F1SST2 G1SP94
A0A286ZRB8 G1T5Y0
A0A287B1Z3 G1SDE9
F1RZS8 G1T8H5
I3LFX5 G1TEZ2
A0A287ADD9 G1T9W8
F1SFK5 G1T0R4
B5APV0 G1TV31
I3LNX4 G1SXC8
F1S8N5 G1SY00
F1S1U5 G1T8N1
F1SSX7 G1SHX4
F1RJ53 G1T1S7
A0A287BBE4 G1T2K5
A0A287BEW6 G1TMG7
I3LP32 G1SIG3
I3LFX5 G1SGX4
A0A287BBC6 G1SMN9
F1S5N5 G1TGC0
F1SHN7 G1STZ5
A0A287BNT0 G1TE94
I3L8A2 G1T632
A0A287BQM5 G1SSS6
A0A287BDL6 G1T221
Q29549 G1SQ27
F1SRR6 G1SN63
A0A287BL78 G1TAA3
A0A287BHC9 G1SMY6
A0A287AMU0 G1TWA4
A0A287BCR0 G1SYB4
F1SHD4 G1T2X4
K9IVV5 U3KMP1
F2Z5J1 G1SMY1
A0A287ANH9 G1U9B4
I3LPB3 G1TL87
F1SG88 G1SQM7
Q2EHH7 G1SWW8
I3L7K2 G1SSM2
F1RIG2 G1T617
I3LFX5 G1TRM4
F2Z4Y1 B7NZM8
F1SP25 G1TID3
A0A286ZM08 G1U6Y3
F1SSX7 E2J6N2
