Q9QZN4 F1RF93
Q9CR52 A0PFK5
A2BFE8 I3LMT5
Q9JLN9 A5A8V7
Q7TMK9 F1S0N2
Q6TYB5 I3LA60
Q9ERI5 A0A287BSV9
Q9CQV8 A0A287BL05
Q5HZH2 F1RFZ6
P63163 A0A287BI89
P24452 A0A286ZYD0
Q8CJ61 A0A286ZIP7
P10107 F1SJB5
O70201 A0A287ACX2
P63085 A0A286ZPF5
Q8CD26 F1RHE3
Q8K2F8 F1SG38
Q9JMG9 A0A287B916
Q60754 H2F098
P48754 A0A286ZS33
Q62227 F1S4Y2
Q922Q2 I3LCX3
Q9ES00 F1RIG2
G3X9X7 A0A287B0J6
P35456 A0A287B9N1
Q8BFZ9 I3L5I1
Q6I6G8 E5Q8C6
Q9CYD3 A0A287AMJ5
D3YXJ5 F1RRR7
P70274 I3LJP2
Q9CXL1 I3LRC6
Q69ZX8 F1SN51
Q9JMG9 F1SF37
Q91YD9 B7U6F4
Q61069 A0A287AJ18
Q61696 F1SL75
O08811 A0A287BSE8
P25911 F1RT53
Q9JI39 I3L6C0
Q8BP71 I3LQF8
Q9CYD3 F1SP25
D6RIL3 A0A287B1K1
Q62137 A0A287AZJ5
P47857 A0A286ZIJ9
Q8BW72 A0A287B877
Q8K3H0 B5LX40
P27782 A0A287B916
Q8BW72 A0A287AFJ7
Q62311 A0A287AKE2
Q8VBW6 A0A287AZJ9
D3YXF5 F1SMJ1
Q03160 F1RX94
Q99JA5 F1RVR8
P60670 A0A287BF71
Q80ZW2 F1SDV1
O08967 A0A286ZZ53
Q9CQE6 A0A287B877
P23927 Q7M2W6
P42128 F1RI50
Q61982 A0A287B6S0
J3KMG9 F1SEI1
Q64729 Q19ML6
Q8VHV1 F1SB79
Q7TNM2 K7GRD8
A5D6P6 F2Z5R9
P27782 F1SH27
Q8BQY8 A0A286ZUG7
Q5SNZ0 F1SSC2
A2AWT5 F1RQY4
Q8VDP6 D0G6R6
Q3TLH4 R4JU57
Q6P5F9 A0A287BHC9
Q61187 K9IVE3
Q8CAF4 A0A286ZVC0
A0A0R4J0G9 A0A287AA35
Q64151 F1SP25
Q9CUS9 F1RJH1
Q64701 A0A286ZJW1
Q8BW72 F1S4Y2
E9Q2I3 F1SAZ7
P63163 F1RVT6
Q60953 A0A286ZIJ9
P47857 F1SSC2
E9QKM8 E5Q8C6
O54946 F1RSV8
Q9JJN1 I3LMT5
Q8CFT3 F1S001
Q8BW72 F1S064
Q9CQE6 F1STR7
Q9ERI5 A0A287B877
P62307 A0A288CFV7
Q8R1N4 F1RGG1
Q4ZJM9 F1SHB8
Q8BQY8 A0A287A8S7
E9Q2I3 F1RYU8
O35740 A0A287A4Z1
Q3TT38 A0A287ACB5
O70237 F1S5P5
P27782 A0A287AFJ7
Q9JLN9 F1SMW9
P63028 P61288
P29452 F1RMJ3
P32883 F1SUT8
Q64151 F1S5N6
Q01853 A0A286ZUM8
Q6PD29 A0A287AZ31
Q8K2J7 A0A287A991
Q9ERS5 F1RRI6
Q80V62 A0A286ZQA1
Q60715 Q6QAT1
Q03173 F1SG38
E9Q2I3 F1SUK6
P62984 A0A287BE06
P62492 A0A286ZNG8
Q9Z2X8 A0A286ZZ61
Q8VDF2 F1SG38
O88992 I3LHU4
Q8BH57 C3RZ98
P69566 F1RV77
Q91YK2 A0A286ZS52
P35550 I3L5T3
Q8VBW6 I3LFS1
P35550 F2Z562
Q8BW72 F1SEI1
Q8K4G5 F1S224
Q99P69 I3LPN4
Q6ZQ58 A0A287AJQ1
Q9JLV1 F1S415
Q9D0A3 A0A287B5T1
Q5SWP3 I3LMS3
B1ASA5 A0A287BA07
Q8VHV1 F1S493
P0CG50 F1SID1
Q8VHN8 A0A287AXQ4
Q61324 A0A287ALQ4
Q8BP92 F1SJ93
P62984 A0A286ZZS2
Q64343 I3LVB3
Q9ERI5 F1SEI1
A2A6M5 F1RWF7
O88597 A0A286ZI96
E9PYF7 I3L828
O55047 I3LCN0
O70201 Q9GLN5
A2A7H5 F1SGZ6
D6RGR1 Q767L9
Q62419 F1S7L8
Q61575 F1RNC9
O70494 F1S064
J3KMG9 A0A287BBL7
Q69ZX8 F1SGZ6
Q09M02 A0A287A3F5
Q64323 F1SQU5
O88597 F1S1F6
A2ABU4 F1S041
Q8K2F8 A0A287B621
P37242 A0A287AFJ7
P26687 I3LVJ1
Q8VDF2 I3LCN0
Q80ZW2 A0A287BMU4
Q0HA38 F1RPM9
Q8R4G6 A0A287BF42
Q8BSK8 F1S224
P70371 A0A287ALL2
Q99LH1 A0A286ZWP6
Q9JMH6 R4JU57
P32883 A0A287B854
Q8CFT3 I3LBT8
Q8BKN5 A0A287B1K1
Q9EQT3 I3L6G1
Q8VBW6 A0A287BI89
Q9JMH6 A0A287ATW2
Q6P9S1 J9JIL2
Q9JLN9 F1RX57
Q9ET30 A0A286ZZW4
Q3TLH4 I3L5F7
Q99JZ4 F2Z5F2
Q3UHQ6 F1SGX3
H3BJM0 F1RIV2
Q60665 A0A287BSV9
Q91YK2 I3L5I1
Q61214 I3L9V1
E9QP49 F1RRI6
P23804 A0A287BEY7
Q8C8U0 A0A287ATW2
P97358 F1SA99
Q9CR30 F1RH21
Q1HL35 A0A287B2F2
Q3U2C5 F1STG1
A2AWA9 I3L5F7
Q8R1Q8 A0A287AIW3
Q6P9R2 A0A287B854
Q8BQY8 A0A287ALL3
F6TVP2 Q19QT0
H3BLQ9 F1S4G0
P28033 E5Q8C6
A2AWA9 R4JU57
P37242 F1SH27
P48025 Q684M4
Q3TLH4 F1S8V5
Q9CQG3 A0A287AHF0
Q9R1M5 F1SAZ7
Q61510 K7GR70
O55013 A0A287AG28
Q4FZG9 F1SL75
Q9QXJ1 D5KJI2
Q8BQM4 A0A287AGT7
Q3ULA2 A0A286ZU41
Q3V1L4 F1SL15
A2AJW5 F1RJ11
P27782 I3LVJ1
O55047 A0A287AM68
O88992 F1RT51
P63163 P79432
Q8BQM8 A0A287B1K1
Q62311 I3LFS1
P21129 F1SR95
O55013 A0A286ZYS4
Q9CQV8 A0A287BAQ0
P37242 A0A287B916
O08811 A0A286ZVC7
E9QAS7 F1SDI6
Q8C7M3 I3LLR6
Q6GQT0 A0A287AKG6
P63163 A0A287AZJ9
J3KMG9 I3LVJ1
P62984 F1SKG2
O70283 F1SBP6
Q99P72 A0A286ZJX9
Q6P5F7 A0A286ZK79
E9PVA8 A0A287BS39
Q9D906 A0A286ZKK7
D3Z6Q9 A0A286ZYD0
Q9R1M5 F1SRN9
Q99J79 F1SMP5
Q9CQV8 F2Z565
A2AGH6 F1RU38
Q8CFT3 F1RHJ1
Q9EST5 A0A286ZS52
P54823 F1SPF3
P41969 K7GQA4
P27782 F1S4Y2
Q03173 I3LCN0
P63166 A7WLH8
P16546 F1SU06
Q8VBW6 F1RVT6
E9QMA6 K7GN38
O54946 A0A287A9H2
Q8BKX6 F1S1F6
Q9Z2C5 I3LF48
A0A0R4J046 F1S4Q6
P97929 A0A287B8J8
O70303 F1SGQ3
Q8C6L5 I3LM39
Q9CZS3 A0A287ASV1
Q8BGB2 A0A286ZVC0
Q80X71 A0A287B4J0
P42227 Q19S50
P62492 A0A287B854
Q7TPH6 F1RGA9
Q99JT2 A0A287B854
Q91YD9 F1SUT8
B7ZBV9 A0A287ALK7
Q8BSK8 A0A287B1A2
A2TJV2 F1SD58
Q8VDF2 A0A287B621
P61027 F2Z5F2
Q8BX70 A0A287AZG6
Q9JJN1 C6JWG4
P62983 A0A287APV1
A0A1B0GR74 F1RWA0
Q8CG64 A0A287BF42
Q6PAM1 A0A287BAM9
Q9JIM3 A0A287AZP6
Q9Z0H0 A0A287A407
Q69ZX8 F1RLA7
B2RWS6 I3L9U8
P63163 I3LFS1
Q6NWV3 F1SPK3
D3Z3U5 A0A286ZVC7
Q9CQE6 I3LVJ1
O88700 F1SKG2
Q9CQE6 F1SF37
O55047 F1S7K1
Q62074 F1S224
P70445 A0A287B2F2
Q9CYD3 I3LBY1
Q9D7I0 A0A287AXD7
Q8BH57 P79432
Q9JKN5 A0A286ZZ17
Q1RNF8 A0A287BFM2
E9QNX9 A0A286ZVC7
Q03173 F1S8V5
Q62227 I3LVJ1
O70494 A0A287B877
Q3UCQ1 A0A287BIH8
P49312 A0A286ZPE3
Q9CW03 F2Z5G2
Q3UP88 A0A287ALS3
E9QP49 A0A286ZUR0
Q8BHI7 I3LR71
A2A7S8 F1S4K9
A2ATK9 I3LC77
O35253 I3LRW1
Q8BP78 I3L6Q2
P63163 F1S001
Q9ERS5 A0A287BIC6
Q8CHP8 I3LG10
Q3UYH7 A0A287B5J4
Q5SF07 F1SFK0
Q7TSS2 F1RGM7
Q9CYD3 I3LB10
Q6P9R2 A0A286ZNG8
A0A0N4SVL0 A0A287AF76
Q3UJB0 F1RSV8
E9Q2I3 A0A287BHL2
F6RGI3 A0A286ZYG8
Q9Z2C5 F1RYU8
P30681 F1RJ01
Q62311 A0A286ZKK7
Q3UFS0 F1S6I1
Q9WVS8 A0A286ZKK7
P16546 F1SV16
Q61625 I3L7T2
Q9CQE6 F1S064
Q9WTQ5 F1RMJ3
D3Z3U5 F1SU46
B1AZA5 Q767L9
Q8R1N4 Q19QT0
E9Q2I3 I3LG10
Q01705 F1SEV8
Q8BWY4 I3LG10
Q9JJF2 F1S4W0
Q91X88 F1S3V2
Q922Q2 A0A287B854
P26687 F1STR7
A2AWA9 A0A287B621
Q6PI17 C0JPM4
P59054 I3LVB3
P28033 A0A287BDL6
Q9WTV7 F1RPK6
Q8VBW6 F1S001
Q8VCR3 F1SB29
E9Q616 A0A287ADE6
Q91WR3 A5GFY4
Q61545 P67776
F6TVP2 F1RM08
A2A513 I3LDS3
Q3UL36 F2Z517
A0A1L1SU00 A0A287AKG6
E9PXB7 A0A287AX02
Q8BW72 I3LVJ1
Q9R1K5 F1RQY4
Q62227 A0A287BSV9
Q61097 F1RJ53
Q60634 F1RNA6
J3KMG9 I3LQ78
Q9CQ06 F1SCF5
P61804 Q29036
Q9Z2B5 F1S041
Q8C8U0 I3LCN0
P47857 F1SE73
D3YXJ5 A0A287AAX2
Q80WQ8 I3LCM7
A2AGH6 A0A287A9H2
Q9CQE6 F1SEI1
Q922L6 A5GFY4
O08547 F1SB09
O35385 F1RYU8
Q7TPH6 K7GND6
O88199 F1S1Z5
Q8BKX6 A0A287BD11
Q8BP71 F1SFK0
D3Z3U5 A0A287BSE8
Q924Z4 F1SS96
P26687 A0A287B916
Q8CFT3 A0A286ZKK7
Q921J4 A0A286ZYS4
F7C846 Q27HK4
P62878 A0A287B501
Q99LH1 F1RSV8
Q61151 A0A287B3M4
P61290 P61291
P63163 I3LBT8
Q8R1N4 F1SSH4
Q9D3P8 A0A286ZI26
P26687 A0A287B877
P37242 F1S4Y2
Q9QYC7 A0A287AMJ5
A2A7B5 A0A287BBL7
Q9CYH5 I3LDU2
P10107 F1SCS1
Q60665 F1SF37
A2BGN7 F1SR95
Q80TN5 A0A287BPQ8
Q9CYY7 F1S0N7
Q61187 A0A286ZVC7
Q9JLN9 A0A287AWH2
P26687 F1SH27
Q9JMH6 I3L5F7
Q9R1M5 I3LG10
Q8BH57 F1RJL2
Q3TLH4 A0A287ATW2
Q8BJ64 I3LUD1
Q7TMK9 F1SU06
P62492 F1SUT8
A0A286YCI8 A0A287B6S0
Q9Z248 F1SQZ3
Q9WVS8 I3LBT8
Q9ERS5 A0A287A991
Q69ZR2 F1SAQ6
Q6NS82 A0A286ZX89
E5FYH1 I3LT49
O35385 A0A287BHL2
Q9CQE6 A0A287AFJ7
P84104 F1RY92
O89112 F1SSC2
Q8C8U0 F1SG38
Q9CPW4 B5APV0
B1AWD9 A0A287A682
Q76I79 A0A287AT90
Q62227 A0A287B877
O70263 A0A287BIK0
F6RGI3 A0A287BMW8
O55047 A0A287B621
Q62227 A0A287AFJ7
Q8VBX6 F1SMP5
P29452 F1SKG2
Q61043 Q007T2
G3X959 K7GQA4
E9QKM8 A0A286ZSI3
Q8CFT3 A0A287BI89
Q9D906 A0A287AZJ9
Q7TS68 F1RWA0
P37242 I3LVJ1
Q61187 A0A286ZJV6
P26687 A0A287AFJ7
Q07076 A0A287B9K7
P59941 F1S7P1
P31938 A0A287BK75
Q8BP92 I3LMX3
Q4FZG9 I3L5R5
P97310 F1SPF3
Q3U2G2 Q8HZV3
P26687 F1S4Y2
Q8VHV1 J9JIL2
P24161 F1RSW8
P29452 A0A287BE06
B2RTJ2 M3VK38
P10107 A0A287ADE6
Q03173 F1S7K1
Q8C156 A0A287BSE8
Q69ZZ6 F1SPK0
P63163 F1RHJ1
Q61982 A0A287B5Q4
P37242 A0A287B877
Q9CQ06 A0A286ZKK7
P26883 A0A287AJL9
O55222 I3L9C8
Q9CZJ6 A0A287BDY2
Q60665 A0A287AFJ7
Q63871 A0A287A407
Q8BWG9 D3U7X2
Q9EST5 I3L5I1
P97473 A0A287B559
D3Z3U5 I3LPU5
Q69ZZ6 Q6KBX4
Q9EQC5 A0A286ZZ23
O08688 F1SUK6
Q9JI39 F1RG41
O89090 A0A286ZZJ6
Q64010 A0A286ZTD8
Q8BP71 F1RY92
Q8VDV8 F1STE3
Q9DBY5 A0A286ZRM0
Q8VDF2 A0A287AM68
E9Q411 A0A287B5J4
Q9CQE6 A0A287BBL7
Q64151 I3LBY1
Q8CHP8 F1SIX8
B2RUJ5 F1SJD2
Q9WUD1 A0A287BGG6
A2A7S8 F1RRI6
P46414 K7GND6
D2J0Y4 F1SDM2
P21129 I3LHU4
Q9JKN5 F1SGZ6
G3X9K4 A0A287A9H2
Q62227 F1SF37
Q6P9R2 F1SUT8
Q9WVS8 F1SCF5
Q3UB74 I3LBA2
Q8BGF9 I3L828
Q8BI22 A0A286ZYM9
Q9CQE6 A0A287BSV9
P62889 A0A287APV1
Q8K2F8 I3L5F7
Q64727 A0A287BS39
O08537 F1SRR6
Q8VEL0 A0A287AJW8
S4R1Y1 A0A287AWA8
A2AJW5 F1RSS9
P70196 A7XUJ6
P97334 F1S8W5
Q9ERI5 F1S064
P01139 A0A287AYU3
Q6PDK0 A0A286ZI78
E9QP49 F1S4K9
Q9CYD3 F1S5N6
Q920Q2 A0A287B8J8
O70494 F1SEI1
Q8CFT3 F1RVT6
Q8CFT3 I3LFS1
Q3UHG7 F1SRQ4
Q8BNE1 F1SSJ0
P68254 F1RP05
Q60864 I3LNG8
Q03366 F1S8D0
A2A7B5 A0A287B8H9
P00687 A0A287A570
Q80ZE4 Q865K8
Q3U1F9 F1RXA1
Q62227 F1S064
Q9Z1R2 A5D9M6
Q8R1J3 A0A287A570
P35584 F1RM41
Q9QYC1 F1S493
Q9D2K4 A0A287B493
Q63844 A0A287BLM6
Q8CHP8 I3LF48
Q5F2E8 F1RN84
Q60715 A0A288CFV7
B2RY56 F1RJ01
Q8BTZ5 F2Z556
J3KMG9 A0A287AFJ7
D3Z3U5 A0A287B7I6
Q3UFY8 A0A287BSE8
Q9CQ06 I3LBT8
A0A0B4J1E2 I3L897
Q61818 I3LLR6
Q07076 I3LEY2
G3X9K4 F1RSV8
Q8C156 I3LPU5
O08811 I3LPU5
Q4QQM5 I3L6C0
Q9CQ06 A0A287BI89
P35761 F1RQL2
E9Q6Y8 I3LPJ3
Q8K2J7 A0A287BIC6
P11438 F1RN44
Q99JY4 A0A287B8F9
P14152 F1SE73
Q8VBX6 F1SIC1
Q3UNH6 F1SH27
P62137 Q2EHH8
O08586 A0A287BDW6
P84089 A0A287ATD3
Q6PI17 A0A286ZUC3
Q99JF5 B7U6F1
Q8VBW6 I3LBT8
Q80ZW2 A0A287BST7
Q8BHB7 A0A287AAE5
Q64347 F1RYU8
P35802 I3LFC7
Q7TT37 A0A286ZYM6
Q1HL35 A0A287A4Z1
Q7TMK9 F1SML4
Q9R0S3 M3VK17
Q6P9R2 B7U6F4
Q8C8U0 A0A287AM68
Q60665 I3LVJ1
Q7TSA6 F1RM61
Q60634 F1RMN5
Q80TQ2 F1REZ6
Q8BKX6 A0A287BIH8
O35382 F1SSC2
Q3U487 A0A286ZJW1
Q3U487 A0A287BBQ5
Q99P69 A0A286ZQL9
Q9CQE6 F1S4Y2
F8WJE0 I3LG77
E9QM16 F1SIS1
P32883 I3LCX3
Q99J56 A0A286ZNK2
Q8BP78 F1RFZ6
E9QJU6 A0A286ZTE3
Q3U487 F1S364
Q8BZ00 F1SKE4
P14602 Q5S1U1
M9MMK0 A0A287ATR5
Q6P9S1 A0A287B6L2
Q08874 F1S224
Q09200 F1SL46
Q03173 I3L5F7
Q9R1A8 F1S705
Q61696 I3L5R5
A2A7B5 F1SF37
Q8VDF2 I3L5F7
Q6NVG5 F1SS22
Q8BW72 A0A287B916
Q03173 R4JU57
E9PYF7 K7GS69
P09103 F1SID1
Q8C0M0 A0A287AVJ0
Q8BKX6 A0A286ZI96
Q9D850 F1SJ31
G3X9K4 A0A287AKR9
Q9QYC7 I3LB10
Q60665 F1S4Y2
Q91W52 A0A287A9F5
Q9D7X3 I3LCX3
E9Q616 F1SJB5
Q9CXL1 A0A287ASV0
Q91WI7 F1SK87
Q07235 A0A287B2F2
Q99K46 A0A287AJL4
A1Y9I9 A0A287BDK5
P28867 A0A287BBY6
Q9WVS8 A0A287AKE2
P46414 F1RGA9
A2A432 I3L5M8
Q6P9S1 F1SB79
Q3UIL6 A0A287ACE1
Q64347 F1SAZ7
P26687 A0A287BSV9
O70494 A0A287AFJ7
P55200 I3LRW1
A0A1L1SSL9 F1RMJ3
Q60769 F1S6A4
Q8CFT3 A0A287AKE2
Q99P69 A5GFY4
Q8VBW6 F1RHJ1
Q9DB05 F1RLB6
Q9JMH6 A0A287B621
A2AQ07 F1S4P0
P60670 A0A286ZSD7
A2AGH6 A0A286ZWP6
Q8CD26 F1S9W2
P54823 F1SAJ5
Q9CR52 A0A287AJQ1
Q05769 A0A286ZV73
A2BGN7 F1RT51
O35385 I3LF48
Q62313 F1SVB3
Q3V1L4 F1SU46
Q8CHP8 F1RYU8
Q8BJY1 I3L9N5
Q9JKN5 F1S5P5
Q8BUL6 F1RRR7
P02340 Q9TUB2
Q8K274 F1RZZ3
F6U5V1 A0A287A176
Q8K2F8 A0A287AM68
E9QNX9 I3LPU5
P10852 F1SSC2
H3BJM0 F1S4G0
A2APM2 E5Q8C6
Q01705 A0A287B1L8
A2AWA9 I3LCN0
Q64151 F1S106
O55013 A0A286ZMX2
O55047 I3L5F7
Q3UHD6 F1ST14
Q9ERK0 A0A287AEZ1
E9Q3C1 I3L9E6
A0A0R4J066 F1S0N7
E9Q616 A0A287A608
Q64127 F1SNJ6
F8VQ87 F1SKG4
Q8BZ36 A0A286ZQL9
Q8VBW6 A0A286ZKK7
Q62311 F1RVT6
P46935 A0A287AI88
Q9R171 A8S2B8
Q3UFY8 A0A286ZLT0
Q9ERI5 F1STR7
Q9CQE6 A0A287B8H9
Q60665 F1SH27
Q8BFZ9 A0A286ZS52
Q8BQR7 F1SPW6
P19785 Q29040
Q8BJ51 A0A287AFE5
Q04207 B0LXP3
Q8CHK4 A0A287BIK4
P97504 F1RMN5
Q9WVS8 A0A287BI89
Q9D850 F1RT51
Q99N11 A0A287B979
Q9D300 F1S5Q2
Q61043 A0A287ACX2
Q62311 A0A287BI89
Q9WVJ9 F1RU22
Q3UHC7 A0A286ZI96
Q01279 A0A286ZV23
A0A0R4J187 A0A287AXP1
A2APM2 A0A286ZSI3
Q78T81 A0A286ZY83
Q9EPB5 A0A286ZYD0
P26450 F1SKR9
P61804 I3LPI5
Q3V1L4 I3LPU5
Q3TRM8 K7GS73
Q8BG54 F1SBJ7
Q8BH57 F1SCF5
Q6P9S1 F1S010
A2A6A1 A0A287B540
Q3UFY8 F1SU46
P11247 A0A287A5H3
Q03526 A0A286ZPK2
Q9EQC1 A0A286ZXF3
Q06180 D5KJI2
Q3U2G2 I3LK68
Q6PHQ9 A0A287AJQ1
P97358 F1RY56
A2A7B5 I3LQ78
Q8BHT6 F1RSS9
Q9D8U6 A0A287A7I4
O08811 F1SU46
P16627 A5A8V7
Q8CFE2 A0A287BM02
P0CG50 F1SA98
Q8CHP8 F1SRN9
D6RIL3 F1SIS1
E9Q2I3 F1SIX8
Q4QQM5 I3LNZ6
Q8BYI6 F1RF12
Q99L85 A0A287BA29
Q8R2E9 F1RGY8
Q99N15 K7GP28
O70201 F8SIP5
Q3UJB0 F1RU38
F8WJE0 Q19QT0
O70494 F1STR7
Q920L5 A0A287AXV6
M9MMK0 A0A286ZMA9
Q8VE98 I3L740
P14152 Q8HZV3
Q9JLV5 A0A287A2J9
Q8C156 A0A286ZVC7
Q9ERI5 F1SH27
Q9D2K4 F1SP29
E9QM16 A0A287B1K1
P62307 Q6QAT1
Q8CAF4 F1S4K9
F8WJE0 F1RGG1
A2AGH6 A0A287AKR9
P19091 A0A287BJP3
E9QNX9 F1S073
F6TVP2 I3LG77
P47857 I3LK68
Q3U213 A0A286ZW78
Q06180 F1SQT2
Q99MI6 F1SBJ7
P01108 F1RRR8
P68254 A0A287A5I0
O70494 A0A287B916
