A0A287B007 G1SQ43
F1SIG2 G1U4K4
A0A286ZI26 G1SUG3
I3LBD8 G1SWH0
A0A287AQB6 G1SLZ8
F1RLT7 G1SK06
A0A287BSE8 G1SDP7
A0A286ZKH9 G1TB50
F1RPW2 G1U6T0
F1RSH8 G1STW6
F1SRJ6 G1SIW6
A0A287A5X3 U3KNR1
A0A286ZLJ9 G1SLQ0
I3LCM7 G1STB0
P79288 G1SWX5
F1S4Q6 G1TEW4
F1SEX6 G1T4R0
F1S9X6 G1SQR5
F1SE73 G1SV05
F1S1H4 G1SIP0
A0A287A9W0 G1T2L6
F1RX46 G1SMW3
I3LIP2 G1T8K8
F1RWJ5 G1T9F3
F1RP49 G1SUN2
A0A287AKH6 G1SL48
A0A287B6S0 G1T5V5
F1RZR1 G1T1I9
A0A287AL11 G1T3E7
A0A287B653 G1SV73
F1S8N5 G1SY00
A0A287AG87 G1TI07
F1SPR8 G1SN37
F1SC46 G1U7P9
F1SKR9 G1SN87
F1SFF0 G1T3P3
A0A286ZWJ9 G1T361
F1SID1 G1SKZ3
K7GL93 G1TAL4
F1S827 G1SW77
F1RY10 G1SMF9
I3LVB8 G1T1J5
D4P3C2 U3KN58
F1SPK0 G1T4N0
F1SJV7 G1SJI1
F1SL61 G1SLT0
F1SD83 G1SR82
F1RV14 G1U7J6
I3LC09 G1SGY8
Q767K6 G1SGY7
F1ST01 G1TT06
F1S1K0 G1SHV3
A7UNK0 G1T2P2
F1RU60 G1SN13
F1SP25 G1TID3
I3LRY4 G1SWA1
P79288 G1SQT6
K7GM45 G1SXH7
I3LVB2 G1TY37
I3L7Q7 G1SY36
Q2EHH7 G1SWW8
F1RRA6 G1T9T8
K7GND6 G1SH01
F1SBE6 G1TJT3
Q1G1K7 G1TSL1
F1SP25 G1SHE2
F1SV20 G1T7X7
A0A287AXP9 G1TQT7
B5APU6 G1TVH9
F1S203 G1SEC2
F1RF02 G1SL09
A0A287BGY8 G1T5U9
F1RN19 G1T9A8
F1S3D0 G1SY90
F1RJ88 G1TF42
A0A287BBE4 G1T168
F1SSE1 G1SR94
F1SKF9 G1T0Y9
F1S5K5 G1TWB1
A0A287BB06 G1SE15
A0A286ZRL0 G1SE00
F1RGM8 G1SSL4
A0A287B5K5 G1T9H0
F1RRR8 G1T737
A0A287ARW8 G1SV33
I3LEZ7 G1SYN9
F1RQ20 G1TC74
F1RFS1 G1SS71
Q9TUB2 G1TVU3
F2Z5I5 G1U419
I3LI59 G1TX03
F1S415 G1T1S7
F1RGP5 G1TB39
F1S1D3 G1SGU6
A0A287AI32 G1SR82
A0A287BBE4 G1TRM4
A0A286ZVL0 G1T7H0
A0A287BAE1 G1SPY3
D0G777 G1SHD6
A5A770 G1SXV6
A0A287AQ50 G1SVT3
F1RPE5 G1T0H1
F1RHZ5 G1T0P1
P18434 P18597
A0A287AJQ1 G1SDJ7
F1RX16 G1T336
E3US74 G1TJI4
P79432 G1T3E1
F1SRL7 G1STX1
Q8HZV3 G1TCW1
A0A287B3F4 G1TEZ1
F1SID1 U3KN03
I3LQ19 U3KMH3
A0A287BNE4 G1TC10
F1SR95 G1U110
F2Z5G2 G1SKW5
A0A286ZWS8 G1T5V9
A0A287B7T8 G1SWX6
F1SAD7 G1SHS4
C0SW08 G1T0H3
A6P7L6 G1U9R2
A0A287B231 G1SFZ8
F1S106 G1TID3
F1RP15 G1T4A9
A0A287B2H8 G1SVU2
F1RK84 G1T9K9
I3L740 G1U2J8
I3L9U8 G1T1B1
A0A287B0C9 G1SYY7
F1SPZ6 G1TDU3
E7CXS0 G1TGB4
A0A287B3F4 G1U0I7
A0A287B3F4 G1SRP7
A0A287B1A7 G1T168
A0A287BLB3 G1SWA1
I3L7Y8 G1T9V3
F1S106 G1SHE2
A0A287ASJ4 P67828
I3L5H9 G1U8C1
A0A287BNE4 G1TQX1
F1SAU2 G1TVF0
A0A287B9L2 G1TCP1
F1S1D3 G1SGJ3
A0A287AXP9 G1T1X7
F1RN41 G1U6I7
F1RWM1 G1TTM0
A7LKB1 G1U0D5
A0A287A8Y2 G1TVN3
A0A287BHC9 G1SMY6
I3LV81 G1U5D4
F1SI55 G1SZQ7
F1SB65 G1STW3
A0A287ACT6 G1TSK0
A0A286ZJ88 G1SL22
A0A287AMR6 G1SF63
A0A286ZKM4 G1TCV7
D3K5N7 G1TAE2
A0A286ZY20 G1TI55
I3LG77 G1SN60
F1RR20 G1SRM3
A0A286ZQ22 G1T6L3
I3LDL8 G1T062
F1S5N6 G1TID3
A0A287B0Y7 G1SX32
F1RXB8 G1T8R0
F1SU06 G1SRH7
F1SID1 G1TPN2
F1RQZ0 G1SQG5
A5GFX6 U3KP46
I3LFX5 G1TEZ2
A0A287BQ14 G1SZK4
A0A287AA49 G1SE22
A0A287AJF5 G1SEA4
I3LHJ5 A5A4K8
F1S034 G1SGX4
K9IWB2 G1T2Q0
I3LP37 G1T1X4
A0A287B3F4 G1TS42
A0A287B836 G1TMZ6
A0A287B726 G1SX32
A0A287B401 G1SLM0
F1SJA3 G1TCU2
A0A287BDW6 G1T1R4
A0A286ZPK2 G1TFL8
D7R811 G1T4T4
F1SP32 G1SDJ7
A0A286ZND9 G1TWH8
F1RLE6 G1T757
F1REZ6 G1T481
A0A287B9L2 G1U8B5
F1S4G7 G1T9Q0
F1RFX6 G1SYI5
F1SGR7 G1SGX0
I3LBP0 G1SLL8
F1SIU0 G1TD36
Q8HYN8 G1TZ08
A0A287AIA4 G1SHK5
A0A287B9N1 G1TNG2
F1RFG5 G1TXL5
F1RNA6 G1SP89
A0A287BNK4 G1TPN2
A0A286ZWZ7 G1T634
P67937 G1STX3
A0A287B4V5 G1T4R0
F2Z5J1 G1T8P3
M3VK17 G1U2J8
F1SEX5 G1SUT0
I3LIT1 G1SKC4
F1SMX9 G1T9T1
F1S0D9 G1T6B3
F1ST82 G1SLT0
F1SDQ5 G1SRW4
F1RGM8 G1TH06
A0A287AE72 G1SZR0
F1S439 G1SWN0
A0A286ZV23 G1SZE4
F1SRR6 G1SN63
F1SG07 G1T1J5
A0A287ALZ2 G1TGZ4
A0A287BRV4 G1THZ4
F1S8F7 G1SNQ6
F1SGI2 G1SHX4
I3LPU3 G1U992
K7GRR9 G1SG27
F1RTH8 G1TYL1
I3LEB3 G1SHY0
F1S5N6 G1STP3
A0A287BF71 G1SE50
F1ST22 G1T6A2
A0A140TAJ7 G1SPP9
I3LCN0 G1STC9
F1SPJ4 G1T4L4
A0A287ANN0 G1SZB4
A0A287BIH8 G1TN55
I3LQ74 G1SDH7
F1RH71 G1SV55
F1SPK3 G1T4K4
F1SAU5 G1SKW5
A0A286ZZ95 G1SJ89
A0A287ACE1 G1TDK5
I3LDH3 G1SIH0
A0A287AL65 G1SS92
A0A286ZMP7 G1SCY4
A0A287BPL8 G1TYT3
A0A287BQM5 G1SSS6
A0A287B6J8 G1U9B2
I3LDH3 G1TEI0
A0A287BEU1 G1SGJ3
F1ST22 G1TMG7
F1RFL8 G1SJT1
A0A287BBM7 G1SI70
Q2TJZ7 G1TSU1
F1RLY4 G1SEG0
A0A286ZM08 G1T4R1
I3L7K2 G1TWB1
A8U4R4 G1TAH7
I3LCN0 G1TD98
A0A287A0W6 G1TMD0
I3LP69 G1STM8
A0A287BGT4 G1SJP8
I3LE63 G1TEA1
F1RZU1 G1U782
A0A286ZSJ2 G1U8A0
I3LNK6 G1SN38
K7GME7 G1TBT1
F1RXQ4 G1TCX2
B5APV0 G1TV31
A0A287B0Y7 G1SLH7
Q08353 G1T9W2
I3LFX5 G1SGX4
F1RNP8 G1SI60
F2Z566 G1SUD3
A5GFY4 G1SZ83
Q6QAQ1 G1SIT9
A7WLH8 G1TLU5
A0A287A3D8 G1SJT2
I3LU37 G1SDU5
F1RM61 G1TLU0
F1SGV8 G1U4E9
I3LSK3 G1TGR9
I3LBU8 G1SLC3
A0A287BCR0 G1THI9
M3V808 G1SVF0
F1RF12 G1SRK1
I3L5P4 G1TU17
A0A287BFS7 G1TPI6
Q0PY11 P68105
F1SUB0 G1SS19
A0A287A5J3 G1SWN0
Q767L0 G1SGV5
I3L8Q6 G1SN38
A0A287AV47 G1SV63
A0A288CG62 G1T9P0
A0A287BEW6 G1STW3
F1SG38 G1STC9
B3TFD9 G1TEJ1
F1S0L9 G1T5X9
A0A286ZS00 G1SLM0
Q29549 G1SQ27
I3LJ47 G1SQY1
F1SQH3 G1SUF3
A0A287BD27 G1TVF7
A0A287BDP7 G1THP0
F1S034 G1T168
F1S4A8 G1T2B2
F1SA91 G1SVF3
Q867B9 G1TYN2
F1RJU1 G1T6Q2
A0A287ADD9 G1T9W8
F1SLZ5 G1TNE6
F1RP05 G1SGB3
A0A287BQA2 G1TE36
A0A287AQ46 G1TW52
I3LFX5 G1U4L6
A0A287AU99 G1SXP0
A0A287BRP0 G1SJ36
A0A287A2C8 G1SMD5
I3L6Z7 G1TDH0
F1RHK6 G1SZT9
I3LMS7 G1TZS4
A5GFP7 G1SCI7
A0A287A6E8 G1TGB4
A0A287B5K5 G1T6B3
A0A286ZZJ6 G1SL61
F1S493 G1SK88
I3LPD4 G1TBP7
P18434 G1TX36
A0A287BFL0 G1SQL1
F1S034 G1TRM4
A0A287AQR4 G1ST56
A0A287AV76 G1SMK8
A0A287B4M4 G1TIX5
I3LVL0 G1SUH7
F1S4W0 G1SZU7
I3LK59 U3KN85
Q8HZV3 G1T6B3
A0A287ANE3 G1SRL1
F1RPE5 G1TJ36
I3LG77 U3KNB2
F1RVD7 U3KPC9
F1RF93 G1TIW9
A0A287ABT2 G1SSL4
A0A287B5M8 G1TIU4
A0A287BB52 G1TNS9
F1SBH1 G1T0D8
A0A286ZWZ7 G1SNZ2
P84024 U3KPJ1
F1RVF8 G1SUK6
A0A286ZID2 G1SYF7
F1SDD7 G1SIX9
I3LA60 G1T8A5
A0A287A8A4 G1U0A2
A0A287B4I1 G1SHC7
F1SUZ6 G1TGD9
I3LR41 G1TDU3
I3LQB7 G1SSF7
A0A286ZJV6 G1SL62
F1S461 G1TU47
F1SGZ1 G1U5W0
F2Z5J1 G1SMY1
F1S1F6 G1TN55
F1SS06 G1TI48
F1S1M5 A6N4D0
I3LFA7 G1SPS9
F1RXB8 G1T4A3
F1SI55 G1T2N2
B0M1M6 G1T8H5
F1SUF1 P79218
A0A287AD78 G1T1E3
K7GND2 G1SZ36
F1SSX7 E2J6N2
A0A287BKR2 G1TRW0
A0A287AZ31 G1TCZ9
F1SAU5 G1T6B3
A0A287BFZ9 G1SDF0
F1S5N5 G1T4R0
F1SFQ4 G1SWA1
A0A287A4A0 G1U051
A0A287BA07 G1T3B9
F1SSX7 G1SHX4
A0A287AJB7 G1T7G5
F1SRU8 G1T2W5
A0A287BJH7 G1SNC8
K7GM14 G1TJ26
I3LK04 G1T2B2
A0A287AFY2 G1TZM2
F1SCS4 G1TDG0
A0A287AWH2 G1T4N5
K7GP28 G1TES6
I3LP32 G1SIG3
Q9GJR5 G1SQN9
Q06AT4 G1SUV9
A0A287AF06 G1SID9
A0A287BL78 G1TAA3
A0A287AKV5 G1TZJ5
A0A287BBC6 G1SMN9
A0A287B1K1 G1THF6
I3LEH3 G1SHN4
F1RJ01 G1T617
F1STG0 G1SN38
F1STU0 G1SUD3
F1STG6 G1TCA1
B5LX40 G1TTN9
F1SUB2 G1TH06
A0A287BBE4 G1SGX4
F1RZQ1 G1SPP5
F1SS24 G1U9R6
F1SCL0 G1U105
F1RFQ7 G1TAF8
A0A287AI88 G1SMJ8
F1RJ11 G1U0E9
I3LLB5 G1SHE1
F1SEZ1 G1T727
I3LHP5 G1SL22
A0A287B0M4 G1TCN6
A0A287A269 G1TEU7
A0A286ZKI5 G1SGN8
F1S662 G1U0Y2
Q29040 G1SML6
F1RSE6 G1TVT0
F1RJX8 G1SKW5
A0A287BNT0 G1TE94
F1RF26 G1SL56
A0A287BKF2 G1TVJ1
F1SHY4 G1SSI3
F1SDH5 G1U631
I3LFX5 G1TRM4
F1SCS1 G1SS73
P10668 G1T2P2
B8Y650 G1T4I7
F1SPR8 G1U1M3
B5KFD7 G1T8H7
I3LPB3 G1SGJ3
A0A287B4D6 G1TFN4
Q6RVA9 Q09YN6
A0A287BNB0 G1ST95
F1RU38 G1SS73
A0A286ZKV2 G1U255
A0A287AMD7 G1T632
A0A287BC40 G1SXD0
A0A287AHF0 G1T2V7
Q007T2 G1SYB4
I3LUE7 G1U3B9
Q06AA7 G1U9B4
F1RFX5 G1U6Y4
F1RLQ2 G1SYD6
F1RPE5 G1T8P3
F1S141 G1TDZ4
I3LEH8 G1SX52
F1SFR7 G1U907
F1S8F9 G1U392
A0A286ZQA8 G1SXD4
F1RYE9 G1SGZ9
A0A287AE68 G1SQG4
A0A287AVH0 G1SNW9
E7CR01 G1SN60
F1S774 G1T7Y1
A0A287AZT0 G1SWJ9
F1S047 G1U6T2
F1RN84 G1TA41
F1SFW3 G1TXB5
A8S2B8 G1SEH8
F1SEP9 G1SQC1
A0A287A7H6 G1TVH9
F1SM35 G1SUF3
A5GHK9 U3KM97
F1RTL0 G1TD22
P61292 G1SLM0
A0A287ASH2 G1U810
A0A286ZMY6 G1T866
F1SID1 G1SH00
A0A287AEI6 G1T2C3
F1SLC6 G1TA93
F1RP44 G1SKW5
I3LRD1 G1U3D6
F1STD8 G1SJJ8
F1ST61 G1TYJ9
F1SPK1 G1T4M5
A0A287AL11 G1U5W0
F1RJC5 G1STM7
I3LUC3 G1TAZ8
F1S0S2 G1SG51
F1SGI2 E2J6N2
F1RJX8 G1T6B3
A0A286ZX26 G1TUA3
A0A287AJQ1 G1T4N4
A0A287ARC2 G1SRL8
E7CR01 U3KNB2
F1SEZ2 G1T734
F1SB90 G1SEJ8
F1RXU4 G1U5P9
A0A287ADM1 G1U020
A0A287B6Q2 G1TC95
F1RK46 G1SLV2
K7GSM3 G1TBB8
A0A287A6L4 G1T6B3
A0A287AU22 G1SMV8
F1RM25 G1TMD8
A8S2C3 G1SGW5
I6L6T2 P47823
I3LNC2 U3KMD4
I3L740 G1TZK6
I6YP72 G1T8E2
F1SKF9 G1SQU6
A0A287B5S7 G1SQ93
F1SGX3 G1TCC3
A0A287B1A7 G1SGX4
A0A286ZZX0 G1U0W2
Q8HZV3 G1U6X2
F1RWG2 G1U215
F1SFU2 G1U255
F1SD26 G1SND5
F1S034 G1TAR0
F1SP25 G1TSP4
A0A287BHD7 G1T664
A0A287A7M2 G1U0Y2
A0A287AV73 G1SDY4
F1SHY4 G1SZL7
A0A287AU22 U3KPJ9
F1RFG5 G1SI70
F1SEX6 G1SVQ9
A0A286ZN56 G1SVQ8
A0A287A5L5 U3KPC9
A0A286ZVJ4 G1SSX5
F1SS94 G1TBF8
F1RM59 G1U418
I3LI16 G1STQ2
Q2XVP4 G1U466
A0A286ZU41 G1T991
F1ST22 G1TCS7
F1S412 G1SFR1
I3LPB3 G1SWQ8
A0A287AQ46 G1SM25
Q19ML6 G1TBB8
F1RWT7 G1SMQ1
A0A287AP23 G1T9D0
F1SS96 G1U0J6
A0A287B5T1 G1U8U5
F1RS27 G1TMN2
F1SB29 G1TJ05
F1SLW4 G1T6L3
F1SM93 G1SSW4
A0A286ZSI3 G1T7J5
A0A287A096 G1T1X4
F1RTZ5 G1T8X7
A0A286ZND4 G1TF11
G9M5N9 G1SQW6
A0A287B735 G1TJY6
A0A286ZRB8 G1T5Y0
I3LBY1 G1SJI9
A0A287BEU1 G1SGU6
A0A287B653 G1SZF2
O02705 A0A0G2JH20
K7GMR6 G1SMF9
A0A287B3F4 G1T634
F1SV16 G1SKI9
A0A287BBB5 G1SVI9
F1SR02 G1SVW7
F1RKW0 G1T919
A0A287B401 G1T1X4
F1SP25 G1SZJ7
K7GMR6 G1TRU2
P67937 G1SY36
