Q6DFW4 Q9ESX5
Q9CQ33 Q9CQ33
F7DDS0 Q8K119
Q68FF6 Q91V61
Q80VV3 Q9CWY9
Q80UQ2 O70176
Q9CZY2 P70245
Q6PGA2 M0QWA7
Q64151 A0A0R4J092
Q9QXK2 Q8BHD8
A0A1D5RME2 A0A0R4J1C9
P47856 P47856
Q58FA4 A0A0R4J1C5
Q91YD9 Q91YD9
Q7TS99 Q7TS99
Q9ERZ0 Q9ER73
Q9EQX4 Q9EQX4
A0A0R4J099 Q99NF3
O08999 O08999
H3BLC8 P70347
A0A0R4J073 A0A0R4J073
Q4VC33 O88689
Q9Z0R4 Q9Z0R4
Q91VT1 Q9D8Y1
Q8R1C3 Q9WUI0
P11157 P70191
Q4FZG8 Q8VHH8
Q8VE97 A0A140LJC7
Q8C1Z7 Q9D2V5
Q3TBN1 Q9Z1N9
A0A0R4J1C9 A0A1D5RME2
Q9D8P7 Q9D8P7
Q62083 A0JNU3
E9Q958 Q8BLX4
Q4FZG8 A0A0A6YVW5
Q9QZW9 Q9CPX9
Q99JX3 Q8BW96
O89051 O89051
Q80UP3 Q91ZD6
Q8BGF6 Q8BGF6
P25446 O35716
Q8CCE9 Q8CCE9
Q9QZJ6 Q9QZJ6
F6ZDS4 F6ZDS4
Q3UV70 Q3UV70
Q9D2D7 Q9QXV1
Q04888 Q04888
P63072 Q05921
Q3U436 Q9JHG7
Q8VDS3 Q78IK2
P42209 Q9Z180
Q80T11 Q80T11
Q9CQX2 Q9CQX2
Q8K4K3 Q8K4K3
O70475 O70475
P62254 Q80ZU0
Q3UHX2 Q3UHX2
Q9Z110 Q91W43
P98191 G3X939
Q91ZY2 Q0P5X5
Q6ZWY3 P48962
P14719 Q8BHL6
B2RSU7 B2RSU7
Q8VCL5 A2BDX3
Q9QZQ1 P09411
A2BDX3 P0C872
P47931 Q810N5
Q7TSN6 P56479
Q9CRC8 Q9CRC8
Q9DC29 Q8VIG1
Q8K4F6 Q8K4F6
Q8C9D4 Q8C9D4
Q64347 O35385
Q9D8U3 Q66X22
Q7TPG5 Q7TPG5
F6YG30 P70697
D3YXI6 Q9Z1B8
Q3TY60 Q78YZ6
G3X9Z0 Q3UV71
P51658 P51658
Q9ER73 Q3UQZ7
Q9D7N3 Q61074
Q64096 Q8VE97
Q9D7C9 Q9D7C9
Q9QZQ1 Q7TPR4
Q9WUL6 Q9WUL6
A2A7B5 O70494
Q9ERI5 Q8BW72
Q3UH85 Q65Z95
Q2YDW2 Q2YDW2
P53395 Q6ZWY3
Q14CH1 G3X960
P42125 P05977
Q8BKX7 Q2WG77
P43687 P43687
Q8BR07 Q0VGU4
G3XA31 E0CY69
Q8K349 Q91YI1
Q99P69 Q99P69
Q9CQI9 Q9CR73
Q9WV84 Q80U35
Q9WUZ7 Q9R1R0
Q9ERY9 Q9ERY9
O35984 O35984
Q80ZJ8 Q80ZJ8
P58390 A6BLY7
E9Q9M9 E9Q9M9
Q9R0S0 Q9CQI9
Q9Z1X9 Q9CY73
Q80X56 E9PYA3
Q9CX34 Q9QYH6
G3X9Z0 Q9ES03
Q810P2 Q810P2
Q60649 Q5ND34
P20664 O35716
Q9DBT5 Q9DBT5
Q9D4C1 Q9QVN7
Q9R1A8 Q9R1A8
A2AUC9 Q6PIE5
Q6PFE7 Q6PFE7
Q91VZ5 Q91VZ5
P49443 P49443
Q3TLW9 A0A0R4J1J6
Q9JI20 Q9CXT7
Q9WU42 Q8VBV4
Q8BJQ2 Q8BJQ2
O89112 O89112
A2AUC9 E9PV60
Q6PGF2 Q6PGF2
Q9CXW2 Q14C51
Q80ZJ6 Q8BIF0
P49135 Q07813
O70494 P27782
Q9CX48 Q9D1Q1
O70194 Q3UFM5
Q9JKL4 Q9JKL4
P42125 Q6PAL7
P55271 Q8BRM2
Q9JJ78 Q9WV84
Q8CAF4 Q8CAF4
Q9CQ10 Q9CQ10
Q80Z38 Q924Z6
S4R2L8 Q8BRM2
Q60662 Q499E6
Q91W43 F6ZDS4
Q9D0F4 Q62203
Q9WV04 Q69ZK7
Q9D0I4 Q9D3S9
A0A0R4J0V4 A2CG28
Q3V1Z0 Q3V1Z0
P97751 P97751
Q80WR5 Q8K004
Q3U564 Q641P0
A2AIV8 Q3UHD9
Q6P9Q6 Q8R4E9
Q8R3L5 P54369
O70494 O70494
Q9DC59 Q9DC59
E9PWA9 E9PWA9
Q64028 A2AWL7
O35425 Q6R3M4
P52955 Q9ES03
D3Z4R4 Q9DAS1
E9Q2E9 E9Q2E9
E9PUK6 E9QKA4
Q3UHX9 D3Z742
Q8BHJ6 Q8BHJ6
Q80WQ2 Q80WQ2
P60605 P60605
A2BFE8 A2BFE8
A0A0A6YX88 A0A0R4J0H8
Q9D4M9 P23578
Q8VE97 Q8R0Y8
A0A0A6YX89 E9QJU8
Q9Z180 A0A0R4J1V0
Q9WU42 Q9WU42
P24788 Q8VE97
Q9CQJ4 Q9CQJ4
A0A0R4J0B8 A0A0R4J0B8
Q8BU88 Q8VBV3
Q3UTR7 P56485
Q8BI79 Q60695
P10711 Q9CWR2
Q8VHN8 P61082
Q9JKF7 Q14C51
Q9CXV9 Q9D2V5
A0A1L1SU00 A0A1Y7VLC3
A0A0N4SVK4 A0A0N4SVK4
Q9JIF9 Q5XFZ0
Q8R5L1 Q8R5L1
Q8BRM2 S4R2L8
Q8BPQ2 Q8BPQ2
Q56A08 Q56A08
P40646 Q8QZS5
Q8BUR3 Q8K2R5
P53668 A2AUK5
A0A0R4J0E0 A0A0R4J0E0
Q8BXN7 Q61743
P26955 P26955
Q80YA8 A0A1B0GS01
Q3TML0 A0A0R4J098
Q9CQL5 Q9CQL5
Q810A1 Q3U309
Q6P9Q6 Q6P9Q6
O88947 O88947
A0A0R4J1K6 Q2TBA3
Q8CAB8 Q8CAB8
E9QJU7 E9QJU7
Q6P1E7 Q9ERC3
Q8VDV7 Q5GH67
Q99KW9 Q99KW9
P70191 P70191
Q9Z1X9 A0A286YCV9
Q6P8Z1 Q9Z2H6
P35762 P42337
Q4LDD4 Q4LDD4
Q8BMC1 Q9WTW4
Q8VBW5 P62254
Q8BT07 Q5U4H9
E9PV60 Q9QZN1
P54987 P54987
Q8BMQ2 Q8BMQ2
Q02242 Q91WA4
P24610 Q3U436
Q9DBF1 Q8BNV1
F8VQ40 Q9CPY4
B2RUG9 B2RUG9
P17564 Q4VBE7
Q8QZS5 Q8QZS5
P19096 P19096
Q9CQG2 Q3V0C5
Q9JI57 Q6PJN8
Q9ES00 Q9ES00
Q9D1F4 Q80UY2
Q8K441 Q8K441
Q8JZQ2 Q8JZQ2
E9QJU8 A0A0A6YX89
A2ADB0 Q7TSH3
A2AWP8 E9QK82
E9QNR8 A2ADB2
Q8BL06 Q8BL06
O70333 O70333
O35716 Q8C0D7
Q9D159 Q64326
B1AXD8 G3UYS1
Q9CQL4 Q5SVR0
Q60644 Q9JHG7
Q8R4Y8 Q8R4Y8
A2ANQ2 A2ANQ2
O70194 Q8CGF7
E9QNX9 E9QNX9
Q9CQB2 Q3TLW9
Q9ERH7 Q8BYN3
P62334 P62334
Q9DAG9 Q9DAG9
O35544 Q3V2J9
Q3UKU1 Q3UJV1
P14152 P14152
P0C242 Q8QZZ7
Q8R3C0 Q80TF4
Q0VGU4 A2A8Z1
A2ADB2 Q58FA4
Q64096 Q64096
Q9Z191 P0C872
Q8R124 Q6PIE5
Q3UD01 Q9CZR4
P69566 P69566
E9Q958 A0A0A6YXB2
Q8BH80 Q8BH80
Q8VCL5 Q9Z191
Q9R0S0 Q99K74
Q91ZG2 Q9D2D9
Q8BHT7 Q9WTZ1
Q69ZK7 Q9CZI9
Q7TSI0 Q810N5
P01635 P01635
P21619 P21619
P97334 P97334
Q9CRA4 Q9CRA4
P97376 Q3UWW6
Q6VH22 Q4VAH7
Q60575 Q06335
P14131 P14131
Q8BND3 Q9CWT6
Q8BYR2 Q8BYR2
Q8BUB4 Q8BUB4
B2RQE8 P52955
P07725 P07725
Q60695 Q8BI79
Q99MV1 Q78IK4
Q9Z2H6 Q505B8
Q641K5 Q62431
Q9D1H0 Q9D1H0
P70347 H3BKL1
Q5RJ54 Q9CPQ8
Q9R0N0 Q9R0N0
Q9D9R0 Q9D9R0
B9EJX5 B9EJX5
Q9JJI8 P67984
Q6NXY1 Q9QZB7
A2AIW0 Q9D4C5
Q8VDS4 Q8VDS4
O54992 O54992
Q62101 Q62101
Q78RX3 Q78RX3
D3YXJ5 Q9CR78
Q8R5F3 Q9CR80
F8VQ40 Q9CWR2
Q6VGS5 E9PYA3
A0A286YD96 Q32NY6
Q8BI22 Q8BI22
Q9QZS8 P51637
A0A0R4J0I7 H3BJD7
O08614 P31230
P70333 P70333
Q99MY0 A0A1I7Q4A6
Q9D8V7 Q9D8V7
Q9QVN7 Q07231
Q6PFD6 G5E8B9
Q3UNH4 Q3UNH4
Q0VGU4 Q0VGU4
P56371 P56371
Q9CPX6 Q9CPX6
G3X8Q7 Q8K1Y2
B2RPY5 P51944
Q6ZPG2 Q6ZPG2
Q80UK0 Q9CR83
Q9D2M8 O70343
Q68EF4 A6BLY7
P70191 P11157
Q9D7F7 Q9D7F7
P97797 P97797
P49135 Q8CCI5
O70343 Q9D9R0
A0A0A6YX89 E9PUU5
Q6ZQ89 Q6ZQ89
A2AQ07 A2AQ07
Q8K057 Q8BUB4
P70434 P70434
Q8C120 E9QMY5
Q91W43 Q3URQ0
P97303 P97303
A0A0R4J1H2 Q9WV04
Q61357 Q61357
G3UVU5 G3UVU5
P35546 P35546
Q8BVH9 Q91ZG2
Q80YR7 Q80VC6
Q9Z2S7 P70121
Q9D067 A6BLY7
Q5SVR0 Q9Z0V7
Q4VA53 Q4VA53
Q8VE97 P24788
Q8QZS5 E9QNR8
O54917 O54917
P40646 Q58FA4
Q7TSH2 B2RXC1
D3YYU8 D3YYU8
Q99KY4 Q99KY4
Q9QYC7 Q9QYC7
E9QK22 Q64028
Q8CHP8 E9Q2I3
Q69ZK7 Q924W9
Q6PFE1 P35487
Q9D868 Q5HZG4
Q8VCM3 Q91XQ0
Q8CB96 A0A0A0MQ90
Q8BI21 Q91WQ5
Q9WU78 Q9WU78
Q9D706 Q9D706
P28776 O88878
H3BLC4 H3BLC4
Q7TNK1 Q7TNK1
Q6NS46 Q6P4T2
G3X9P9 Q8C4X1
Q3UQZ7 Q9ER73
Q9CZR4 G3X8V6
P42581 G3XA20
Q64729 Q64729
P61211 Q62186
P51908 Q76LS9
Q9JMH7 Q9JMH7
H3BLC8 D3YYQ7
Q6PGA2 Q6ZQA0
Q9Z1T1 Q7TPR4
Q9CR60 Q9CR60
E9Q395 E9Q395
Q8C863 Q8C863
P35375 P35375
F8VPK0 F8VPK0
Q6ZQB6 E9Q9B7
Q8R4U6 P70270
Q9EQ14 Q8R1H8
Q9D6Z0 Q9D084
Q8CFD4 Q8CFD4
Q80VP5 A0A0B4J1F1
Q9WTZ1 P97785
A0A0R4J0F6 Q9ER72
Q9WTJ5 P10751
Q03160 Q03160
H3BKL1 H3BKL1
Q6IFX3 Q6IFX3
P33609 Q9QYB1
Q9JJZ4 P46686
F6QQQ6 F6QQQ6
P60335 P60335
G3X9P9 A0A1L1SU00
P97504 P97504
P15379 P28229
Q3V3N7 Q3V3N7
Q9D3J3 Q9D3J3
Q8CEE7 Q8BUE4
P16054 P16054
E9Q4N7 A2APF4
A2A870 Q9DAX9
Q9CQF3 Q6P4T2
Q9CYY7 Q9CYY7
Q99K41 Q99K41
Q9Z2S7 Q61572
A0A0U1RNL9 Q3UZ64
Q99KW9 Q62209
P16283 Q62486
B2RPS7 B2RPS7
Q8C708 B2RQE8
Q8CHV6 Q8CHV6
Q6NZQ4 Q6NZQ4
P59644 Q99J21
Q924W9 Q99J21
Q9CQW1 Q9CQW1
Q8C0D7 P20664
Q60662 O55074
Q99MS7 A6BLY7
Q9DCC4 Q8CH72
Q64701 Q64701
Q9DBL2 Q9DBL2
P62245 P62245
Q9D3X8 Q9D3X8
Q3UHC2 Q3UHC2
Q58FA4 D3YVH8
P0C872 Q9Z191
Q921G8 Q921G8
Q8BFR5 Q8BFR5
Q9Z277 Q9Z277
P09411 Q9QZQ1
Q3U595 Q3U595
Q9D6I9 Q9DB07
O08848 Q91WN1
Q8BND3 Q9DBC3
Q8K4Q7 Q8K4Q7
Q9DAW6 Q9DAW6
Q8CB96 Q8C0N1
Q8JZR6 Q8JZR6
Q5RL20 Q5RL20
Q9Z180 Q9Z180
P10711 Q9Z0F8
Q9CPT5 P05977
Q8R0L1 Q8R0L1
Q9JJG0 Q9JJG0
O88676 O88676
Q922J9 Q3TTY5
Q5ND34 Q3UHH1
Q8BVH9 Q923K4
A0A0J9YTR2 P00158
A0JNU3 Q62083
D3YW39 Q3UJZ3
Q68FD9 Q8C120
P51944 Q8K1Y2
Q8BVK9 Q80XI3
P41593 Q9D8Y1
Q8BXT1 Q99MV2
Q6P1G0 Q64478
A0A0R4J0I7 Q80W04
E9PZP8 E9PZP8
Q78ZM0 Q80WE4
Q921G9 G3X960
Q9D902 Q5U5I3
Q9CXW3 Q9CXW3
P97431 E9QAP1
Q91VY5 Q8VCD7
Q9D8P7 Q8K3V1
Q80SY9 P97378
Q9WV84 Q9WV84
O70220 Q60987
Q8BIF0 Q6PD05
P59108 A0A0R4J0R3
F8VPZ5 Q7M757
Q8C761 Q3U309
Q80U63 O35239
P61080 P61080
Q9D868 Q9D868
Q9JJU6 A0A0J9YTR2
Q9CXT7 Q3U2V3
Q9DBC3 Q8BND3
Q05921 Q9DCX1
Q8CCI5 P49135
E9Q7L6 E9Q7L6
Q8K0D0 Q9CYZ2
A2ATK9 A2ATK9
Q03288 Q03288
P42932 P42932
G3UX50 G3UX50
Q6P9Q6 Q641P0
Q924N4 Q924N4
P56581 Q61026
Q9D3D0 Q9D3D0
Q810M1 E9PYA3
Q8C3R1 A0A0R4J1N6
Q8BGQ7 Q3UZ39
Q3TYX8 Q3TYX8
Q7TNF0 Q9D067
Q9CXI3 Q9CXI3
Q8R3C0 Q9Z1X9
Q9CPQ8 Q5RJ54
P97343 P97343
Q8CCK0 A2ADH1
Q3SYK4 Q3SYK4
Q9DD02 O54788
A2ACM0 Q08460
Q3V1U8 Q3V1U8
Q9CZT4 Q9CZT4
Q9DBL2 Q8BHS8
Q60979 Q60979
Q6P9Z1 Q8K3I4
Q8C5L7 Q8C5L7
A0A0R4J0D7 Q9Z2V4
P05977 P42125
Q91Y86 Q91Y86
H3BJM3 H3BJM3
Q8BN82 Q99MQ5
Q9JI20 Q3U2V3
Q9D868 Q9D0F4
Q9JJ78 Q80U35
Q3URQ0 O70194
Q9ER64 Q9ER64
Q9ET39 Q5Y5T2
Q9QZ28 B2RQE8
Q9QXK2 Q6URW6
H3BJ52 B2RQE8
O08918 Q7M757
P30276 Q80YR7
A0A1L1STT0 Q99J21
P51637 Q9QZS8
Q5SVR0 Q9CQL4
P01193 P01193
Q8BND5 Q8BND5
E9Q9M9 Q9D4C9
Q9D3W4 Q80VC6
B9EKF4 B9EKF4
A0A0R4J289 O70477
Q99LC4 Q99LC4
P35991 P35991
Q8K2F8 Q8K2F8
P17095 P17095
H3BJ52 Q8R373
Q09324 Q9D2D9
B2RRA7 P97737
Q9Z2N8 Q9JKF7
P14719 H3BKL1
Q62376 Q62376
E9Q0B8 E9Q0B8
Q61627 Q61627
Q06335 Q06335
Q99J78 Q99J78
P41593 P41593
Q3UJZ3 Q8BR27
A8Y5H7 A8Y5H7
P49650 P98191
Q8BGQ7 Q9EPL8
Q6P3A8 Q8C1Z7
Q99PN3 Q5U4H9
Q8BHN9 Q8BHN9
Q9JHG7 P24610
Q9CXL3 F6SLK1
Q8VCZ8 Q3UY96
O70194 Q9Z110
Q9CQF3 Q9CQF3
A3KBF5 A3KBF5
A0A0R4J1J6 Q9CQB2
Q9WTZ0 Q8CEG5
Q5Y5T2 Q5Y5T2
Q9DB54 Q8K353
Q921G9 Q921G9
Q8C708 H3BJ52
Q9CR62 Q9R0U0
Q9CZU4 Q9CZU4
Q9JI75 Q9JI75
Q9WV84 Q9JJ78
Q99MJ9 Q99MJ9
Q9CQT2 Q9CQT2
G3X8R8 Q9JJP2
Q60665 A2A7B5
P11862 P11862
Q69ZS0 A2AQR4
Q8K4K3 Q8C0E3
Q8CCI5 Q8CHP6
Q62486 Q9R0U5
Q9D8P7 Q07231
Q8BVE3 P11679
Q9QY14 Q3SYK4
E9QJS7 S4R1V8
P42125 Q9EPA7
Q9D842 Q9D842
Q8BUE4 Q3U1N2
Q9D3W5 Q9D3W5
P03987 P03987
P48026 P48026
B2RQE8 Q3UV71
Q9Z2B5 Q9Z2B5
Q9JJC8 Q9JJC8
Q9JKF4 Q9CYS6
Q9QYC1 Q9QYC1
Q60898 Q60898
Q7TSQ8 Q7TSQ8
Q3UZ64 Q9CQL5
P68037 P68037
Q3TLW9 Q3TLW9
Q8C0C7 Q8C0C7
P49891 P49891
A2A8Z1 Q0VGU4
Q8R0A0 Q9Z1E4
Q5XFZ0 Q9JIF9
Q6PIE5 Q9D1N9
Q9CZY2 Q61471
Q3UA37 Q640N3
Q9CWE0 Q9CWE0
Q9CZT6 Q9CZT6
Q9CRA0 Q9CRA0
Q8R0W1 Q8R0W1
Q8K2W9 A0A0R4J289
P48545 P48545
Q8BH40 Q8BH40
S4R1Y1 S4R1Y1
Q2KHI9 Q810S1
P33609 P33609
P0C7N9 P0C7N9
Q8BH59 Q8BH59
Q9D1I6 Q6PFE1
D6RGR1 A0A0R4J092
O88704 O88704
Q8K119 A0A286YCV9
A0A0R4J1C5 D3YVH8
O55074 Q60662
Q5SWW4 Q5SWW4
Q68ED3 Q2YDW2
Q80VD1 Q80VD1
Q8VCL5 P0C872
Q6P2L7 Q501J7
Q9WVK4 Q9WVK4
S4R1V8 S4R1V8
Q5SSG5 Q80ZU0
Q9QWL7 Q6PGA2
Q9CZR4 Q3UBG2
Q9CQS6 Q9CQS6
P20152 P20152
P59470 Q8C079
Q6P5B0 D3YXQ7
M0QWK1 Q3TXV4
Q8BJ71 Q8BJ71
Q3U1N2 Q9CQN7
Q8C6C9 Q8C6C9
Q9D868 Q62203
Q9D4H2 Q69Z26
Q91X76 Q9CY27
Q9D2F7 P58390
Q8K3I4 P59108
Q3TB92 Q3TB92
Q60773 Q9JK37
P63044 P63044
P24610 Q9JHG7
Q9Z0F6 Q9CPX9
Q8CCF0 Q8CCF0
Q61767 Q61767
Q9CWT6 Q8BND3
Q8BG79 Q8BG79
Q8BHD8 Q6URW6
Q91WG5 Q91WG5
Q61093 Q5SUA5
Q8BMJ8 Q8BKS3
Q91X76 A8C756
Q9CZS1 Q922W5
G3XA34 G3XA34
A2AQR4 Q3UTY6
Q9CXG9 Q9CXG9
P59644 A0A1L1STT0
Q8N9S3 Q5D073
Q8JZV4 Q8JZV4
Q8C0E3 Q4KMS1
A2AIV2 A2AIV2
Q8BTH8 Q8CI96
Q9Z324 Q9JHG1
Q9Z0H1 Q6P1G2
P47856 P21619
P23708 P23708
Q9D2F7 Q68EF4
Q64737 Q64737
O09053 O09053
B1B0C7 Q9CTH6
P13405 P13405
P70321 A2AWL7
P01723 P01723
G3X8Q7 D3YWW5
Q9CQ25 Q9CQ25
B1AT66 B1AT66
Q52KG4 Q0VAV1
Q8C9M8 A0A1L1STT0
Q9QWL7 Q542I8
D3Z5N8 D3Z5N8
Q9CZI9 P59644
P12815 P12815
Q99MV1 Q9DC29
Q9D269 E9Q5L8
E9QN59 Q8C9D4
D3YYL3 Q9D269
Q3TIX6 Q922R8
Q9QYR6 Q922W5
Q9EPA7 Q6PAL7
O09164 O09164
Q9CR83 Q3UHE1
Q61527 P25446
D6RGA0 O88622
P63157 Q9ES03
Q3UPE3 O88875
Q8BGZ1 Q922X9
Q60I23 Q60I23
O35127 Q9ESG9
A0A1L1STT0 A0A0R4J1H2
O35149 O35149
P13412 P13412
Q8K0D0 Q9WVA4
O54825 B2RUP0
Q6RHW0 Q9DBR3
Q80W22 Q62189
Q6Q477 P60605
P47876 Q8BME9
Q9CQI9 Q9D6Z0
O35465 O35465
Q9QY84 Q6NS65
Q9CQT6 P0C7M9
Q5F2E8 Q99P69
Q148W0 Q148W0
Q497N6 Q497N6
A0A087WSD0 A0A087WSD0
Q9R1R0 Q8QZV0
E9Q6D6 O88502
Q62381 Q9DB54
Q07139 Q07139
B1ATC3 B7ZC94
A2A8L1 Q8VCM3
Q3TAP4 Q3TAP4
O88712 O88712
Q8BH01 Q8BH01
Q78YZ6 Q78YZ6
Q920G9 Q920G9
E9QMN1 Q91VR8
O08966 O08966
Q8BWY4 O08688
F8VPT7 F8VPT7
Q8R2R1 Q91ZH7
Q61382 O88351
Q6DR99 Q6DR99
Q3U436 P24610
Q3TQB2 Q3TQB2
Q8CHP8 F6V5B0
Q91WQ5 Q3UG20
Q91ZH7 Q8BHA9
A0A1B0GS21 A0A0R4J1A1
B2RQC6 B2RQC6
Q8K3Z0 Q91WA6
Q8BGI7 Q3UHE1
Q562D6 P51637
A2AQ14 A2AQ14
Q61464 Q61464
Q9CQI1 Q9JHI8
Q9EST4 Q9EST4
Q61009 E9Q4N7
A0A0R4J1K6 A0A0R4J1K6
P31230 Q5HZG4
P0C7M9 Q8C102
Q148R4 Q148R4
A0A1L1SU00 A0A0R4J0V4
Q8K2D0 Q8K2D0
Q8BLG0 Q9D8Y8
Q3TTC2 O70546
A0A0R4J289 Q9QZS0
Q9QZ41 Q9QZ41
P50228 Q6W5C0
Q8BGZ1 Q91ZY2
Q6A009 Q9D4H1
Q8K0G8 Q8K0G8
Q08297 Q08297
Q8R4E9 Q9DBS8
Q8CI96 Q8BTH8
P97377 P97377
A0A140LJC7 P24788
Q5SV02 Q5SV02
Q61275 Q9R0U5
Q9D6I9 D3YXK0
Q3UH85 Q3UH85
Q6PD10 Q91V57
Q9JHB4 Q61743
Q9JM51 Q8VEI3
Q64669 Q8BLG0
Q3UHC7 Q3UHC7
Q64523 Q99JW4
D3YXK2 D3YXK2
Q91XX2 Q91XX2
Q9CZV5 Q9D304
Q9D892 Q8C2B3
Q9DB05 Q9DB05
D3Z5N8 A0A0R4J1S3
P47809 P47809
Q05921 P63072
Q80VV3 A2BDX3
Q8CHY7 Q8BVN8
P29788 P29788
Q8VBV3 A0A0U1RNL9
Q9JMG9 Q9ERI5
H3BLC4 Q6PFE7
Q8VE18 Q80V26
P62858 P62858
A3KFM7 Q9WTV7
Q8C0N1 Q8CB96
Q9QZ41 E9Q309
D3Z6Q9 Q8C2K1
A2AIV2 F6ZDS4
Q9D902 D3Z603
Q91WN1 Q91VI7
Q8BGA5 Q91VE6
Q9R0Q6 Q8BGV4
O08749 O08749
Q6ZPY2 Q6ZPY2
Q9D8Y8 A0A0R4J073
F6ZFP8 F6ZFP8
G3X9Z4 Q6PHZ5
Q80UQ2 Q80UQ2
Q921G8 Q8BRF7
P51642 P51642
E9Q2V7 E9Q2V7
Q5HZK1 Q0VF22
Q99N95 Q9ER72
Q8BPB0 Q8BPB0
P70340 P70340
Q91V61 Q60875
Q9CQG2 Q4VA53
Q80X56 Q6VGS5
P42337 P35762
A0A0A6YVW5 A2RSS2
O35047 O08580
Q8BHL6 Q9D8Q6
Q5NCI0 Q8VI93
Q80UL9 Q80UL9
Q8CJG0 Q8CJG0
Q8R4U6 Q8R4U6
Q922H9 Q922H9
Q80TG9 Q80TG9
Q9QYC7 Q9CYD3
D3Z1S8 D3Z1S8
O88689 P63072
A0A0R4J1N6 A0A087WQ16
Q8BTM9 Q921W7
E9Q394 Q01063
G5E8R8 G5E8R8
E9QMN1 H3BLC4
Q8VE18 Q8CHY3
Q69ZJ7 Q69ZJ7
E9QK82 Q0VFX2
Q9CQS6 A0A0A6YXB2
O70577 O70577
Q9CQI7 Q9JJT9
Q5F2E7 B7ZNG4
Q9CTH6 Q9CTH6
